reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_141_FYL_CA1_1,141_FYL_CA1,"Kirkham","https://new.fylde.gov.uk/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:FYL,,,
D_141_FYL_CA1_2,141_FYL_CA1,"Kirkham","https://new.fylde.gov.uk/conservation-areas/",https://new.fylde.gov.uk/wp-content/uploads/2020/10/A3-Kirkham-CA.pdf,area-map,"",local-authority:FYL,,,
D_141_FYL_CA2_1,141_FYL_CA2,"St. Annes (Porritt Houses / Ashton Gardens)","https://new.fylde.gov.uk/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:FYL,,,
D_141_FYL_CA2_2,141_FYL_CA2,"St. Annes (Porritt Houses / Ashton Gardens)","https://new.fylde.gov.uk/conservation-areas/",https://new.fylde.gov.uk/wp-content/uploads/2019/09/Porrit-Houses.pdf,area-map,"",local-authority:FYL,,,
D_141_FYL_CA3_1,141_FYL_CA3,"Thistleton","https://new.fylde.gov.uk/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:FYL,,,
D_141_FYL_CA3_2,141_FYL_CA3,"Thistleton","https://new.fylde.gov.uk/conservation-areas/",https://new.fylde.gov.uk/wp-content/uploads/2019/09/Thisleton.pdf,area-map,"",local-authority:FYL,,,
D_141_FYL_CA4_1,141_FYL_CA4,"Wrea Green","https://new.fylde.gov.uk/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:FYL,,,
D_141_FYL_CA4_2,141_FYL_CA4,"Wrea Green","https://new.fylde.gov.uk/conservation-areas/",https://new.fylde.gov.uk/wp-content/uploads/2019/09/Wrea-Green.pdf,area-map,"",local-authority:FYL,,,
D_141_FYL_CA5_1,141_FYL_CA5,"Singleton","https://new.fylde.gov.uk/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:FYL,,,
D_141_FYL_CA5_2,141_FYL_CA5,"Singleton","https://new.fylde.gov.uk/conservation-areas/",https://new.fylde.gov.uk/wp-content/uploads/2019/09/Singleton.pdf,area-map,"",local-authority:FYL,,,
D_141_FYL_CA6_1,141_FYL_CA6,"Lytham (Town Centre)","https://new.fylde.gov.uk/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:FYL,,,
D_141_FYL_CA6_2,141_FYL_CA6,"Lytham (Town Centre)","https://new.fylde.gov.uk/conservation-areas/",https://new.fylde.gov.uk/wp-content/uploads/2019/09/Lytham.pdf,area-map,"",local-authority:FYL,,,
D_141_FYL_CA7_1,141_FYL_CA7,"Lytham (Avenues)","https://new.fylde.gov.uk/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:FYL,,,
D_141_FYL_CA7_2,141_FYL_CA7,"Lytham (Avenues)","https://new.fylde.gov.uk/conservation-areas/",https://new.fylde.gov.uk/wp-content/uploads/2019/09/lytham-avenues.pdf,area-map,"",local-authority:FYL,,,
D_141_FYL_CA8_1,141_FYL_CA8,"St. Annes (St. Annes Road East)","https://new.fylde.gov.uk/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:FYL,,,
D_141_FYL_CA8_2,141_FYL_CA8,"St. Annes (St. Annes Road East)","https://new.fylde.gov.uk/conservation-areas/",https://new.fylde.gov.uk/wp-content/uploads/2019/09/St-Annes-Road-East.pdf,area-map,"",local-authority:FYL,,,
D_141_FYL_CA9_1,141_FYL_CA9,"Larbreck (Well Lane)","https://new.fylde.gov.uk/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:FYL,,,
D_141_FYL_CA9_2,141_FYL_CA9,"Larbreck (Well Lane)","https://new.fylde.gov.uk/conservation-areas/",https://new.fylde.gov.uk/wp-content/uploads/2019/09/Well-Lane-Little-Ecc..pdf,area-map,"",local-authority:FYL,,,
D_141_FYL_CA10_1,141_FYL_CA10,"St. Annes on Sea (Town Centre)","https://new.fylde.gov.uk/conservation-areas/","No Appraisal document",area-appraisal,"Poor map",local-authority:FYL,,,
D_141_FYL_CA10_2,141_FYL_CA10,"St. Annes on Sea (Town Centre)","https://new.fylde.gov.uk/conservation-areas/",https://new.fylde.gov.uk/wp-content/uploads/2019/09/St-Annes-Road-West.pdf,area-map,"Poor map",local-authority:FYL,,,
