reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_269_ROH_CA1_1,269_ROH_CA1,"Battle","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/","https://rdcpublic.blob.core.windows.net/website-uploads/2020/01/Battle_Conservation_Area_Map.pdf",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",local-authority:ROH,,,
D_269_ROH_CA2_1,269_ROH_CA2,"Bexhill Old Town","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/","Not Available",area-appraisal,"",local-authority:ROH,,,
D_269_ROH_CA2_2,269_ROH_CA2,"Bexhill Old Town","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/",https://rdcpublic.blob.core.windows.net/website-uploads/2020/01/Bexhill_Old_Town_C_A.pdf,area-map,"",local-authority:ROH,,,
D_269_ROH_CA3_1,269_ROH_CA3,"Bexhill Town Centre","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/","Not Available",area-appraisal,"",local-authority:ROH,,,
D_269_ROH_CA3_2,269_ROH_CA3,"Bexhill Town Centre","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/",https://rdcpublic.blob.core.windows.net/website-uploads/2020/01/Bexhill_Town_Centre_Conservation_Area_Map.pdf,area-map,"",local-authority:ROH,,,
D_269_ROH_CA4_1,269_ROH_CA4,"Burwash","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/","Not Available",area-appraisal,"",local-authority:ROH,,,
D_269_ROH_CA4_2,269_ROH_CA4,"Burwash","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/",https://rdcpublic.blob.core.windows.net/website-uploads/2020/01/Burwash_Conservation_Area.pdf,area-map,"",local-authority:ROH,,,
D_269_ROH_CA5_1,269_ROH_CA5,"Northiam","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/","Not Available",area-appraisal,"",local-authority:ROH,,,
D_269_ROH_CA5_2,269_ROH_CA5,"Northiam","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/",https://rdcpublic.blob.core.windows.net/website-uploads/2020/01/Northiam_Conservation_Area.pdf,area-map,"",local-authority:ROH,,,
D_269_ROH_CA6_1,269_ROH_CA6,"Robertsbridge & Northbridge Street","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/","Not Available",area-appraisal,"",local-authority:ROH,,,
D_269_ROH_CA6_2,269_ROH_CA6,"Robertsbridge & Northbridge Street","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/",https://rdcpublic.blob.core.windows.net/website-uploads/2020/01/Robertsbridge___Northbridge_Street_Conservation_Area.pdf,area-map,"",local-authority:ROH,,,
D_269_ROH_CA7_1,269_ROH_CA7,"Rye","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/","https://rdcpublic.blob.core.windows.net/website-uploads/2020/01/RYE_CONSERVATION_AREA_MAPS.pdf",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",local-authority:ROH,,,
D_269_ROH_CA8_1,269_ROH_CA8,"Sedlescombe","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/","Not Available",area-appraisal,"",local-authority:ROH,,,
D_269_ROH_CA8_2,269_ROH_CA8,"Sedlescombe","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/",https://rdcpublic.blob.core.windows.net/website-uploads/2020/01/Sedlescombe_C_A.pdf,area-map,"",local-authority:ROH,,,
D_269_ROH_CA9_1,269_ROH_CA9,"Ticehurst","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/","Not Available",area-appraisal,"",local-authority:ROH,,,
D_269_ROH_CA9_2,269_ROH_CA9,"Ticehurst","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/",https://rdcpublic.blob.core.windows.net/website-uploads/2022/02/Ticehurst_Conservation_Area.pdf,area-map,"",local-authority:ROH,,,
D_269_ROH_CA10_1,269_ROH_CA10,"Winchelsea","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/","Not Available",area-appraisal,"",local-authority:ROH,,,
D_269_ROH_CA10_2,269_ROH_CA10,"Winchelsea","https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas/",https://rdcpublic.blob.core.windows.net/website-uploads/2020/01/Winchelsea_Conservation_Area.pdf,area-map,"",local-authority:ROH,,,
