reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_382_WOT_CA1_1,382_WOT_CA1,"Broadwater","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.adur-worthing.gov.uk/media/Media,99409,smxx.pdf",area-appraisal,"Best Map is shown on page 6 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA2_1,382_WOT_CA2,"Broadwater Green","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.adur-worthing.gov.uk/media/Media,99408,smxx.pdf",area-appraisal,"Best Map is shown on page 4 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA3_1,382_WOT_CA3,"Castle Goring","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.southdowns.gov.uk/wp-content/uploads/2015/04/Castle-Goring-CAAMPS-Web-Version.pdf",area-appraisal,"Best Map is shown on page 36 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA4_1,382_WOT_CA4,"Chapel Road","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.adur-worthing.gov.uk/media/Media,99411,smxx.pdf",area-appraisal,"Best Map is shown on page 10 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA5_1,382_WOT_CA5,"Durrington","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.adur-worthing.gov.uk/media/Media,99412,smxx.pdf",area-appraisal,"Best Map is shown on page 6 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA6_1,382_WOT_CA6,"Farncombe Road","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.adur-worthing.gov.uk/media/Media,99413,smxx.pdf",area-appraisal,"Best Map is shown on page 5 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA7_1,382_WOT_CA7,"Goring","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.adur-worthing.gov.uk/media/Media,99415,smxx.pdf",area-appraisal,"Best Map is shown on page 4 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA8_1,382_WOT_CA8,"Goring Hall","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.adur-worthing.gov.uk/media/Media,99414,smxx.pdf",area-appraisal,"Best Map is shown on page 4 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA9_1,382_WOT_CA9,"Heene","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.adur-worthing.gov.uk/media/Media,99416,smxx.pdf",area-appraisal,"Best Map is shown on page 6 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA10_1,382_WOT_CA10,"Highdown","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.southdowns.gov.uk/wp-content/uploads/2020/06/Highdown-CAAMP_26_May_2020-compressed.pdf",area-appraisal,"Best Map is shown on page 6 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA11_1,382_WOT_CA11,"Ivy Place","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.adur-worthing.gov.uk/media/Media,99418,smxx.pdf",area-appraisal,"Best Map is shown on page 3 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA12_1,382_WOT_CA12,"Little High Street","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.adur-worthing.gov.uk/media/Media,99419,smxx.pdf",area-appraisal,"Best Map is shown on page 5 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA13_1,382_WOT_CA13,"Marine Parade and Hinterland","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.adur-worthing.gov.uk/media/Media,99420,smxx.pdf",area-appraisal,"Best Map is shown on page 8 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA14_1,382_WOT_CA14,"Mill Road","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.adur-worthing.gov.uk/media/Media,99421,smxx.pdf",area-appraisal,"Best Map is shown on page 4 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA15_1,382_WOT_CA15,"Montague Street","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.adur-worthing.gov.uk/media/Media,99422,smxx.pdf",area-appraisal,"Best Map is shown on page 7 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA16_1,382_WOT_CA16,"Park Crescent","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.adur-worthing.gov.uk/media/Media,99423,smxx.pdf",area-appraisal,"Best Map is shown on page 5 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA17_1,382_WOT_CA17,"Richmond Road","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.adur-worthing.gov.uk/media/Media,99424,smxx.pdf",area-appraisal,"Best Map is shown on page 5 of the appraisal document. ",local-authority:WOT,,,
D_382_WOT_CA18_1,382_WOT_CA18,"Robson Road","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/","https://www.adur-worthing.gov.uk/media/Media,99433,smxx.pdf",area-appraisal,"Best Map is shown on page 4 of the appraisal document. ",local-authority:WOT,,,
