reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date
377_WNM_CA1,"All Saints, Boyn Hill, Maidenhead",,"No Appraisal document","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"",local-authority:WNM,,,
377_WNM_CA2,"Altwood Road, Maidenhead",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_altwoodroad08_appraisal_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA3,"Beenham's Heath",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_beenhamsheath08_appraisal_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA4,"Bisham Village",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_bisham_village_conservation_area_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA5,"Bray Village",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_bray09_appraisal_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA6,"Burchetts Green",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_burchettsgreen08_appraisal_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA7,"Castle Hill, Maidenhead",,"No Appraisal document","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"",local-authority:WNM,,,
377_WNM_CA8,"Cookham Dean",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_cookham_dean_conservation_area_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA9,"Cookham Village",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_cookham_village_conservation_area_appraisal.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA10,"Datchet",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_datchet_conservation_area_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA11,"Eton",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_eton_conservation_area_appraisal_part1.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Appraisal in 4 parts, map in 2 partsExtra documents are available. ",local-authority:WNM,,,
377_WNM_CA12,"Furze Platt Triangle",,"No Appraisal document","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"",local-authority:WNM,,,
377_WNM_CA13,"Holyport",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_holyport_conservation_area_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA14,"Hurley Village",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_hurley_conservation_area_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA15,"Inner Windsor",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_inner_windsor_conservation_area_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA16,"Littlewick Green",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_littlewickgreen08_appraisal_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA17,"Maidenhead Riverside",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_maidenheadriverside10_appraisal_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA18,"Maidenhead Town Centre",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_maidenhead_town_centre_conservation_area_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Best Map is shown on page 44 of the appraisal document. ",local-authority:WNM,,,
377_WNM_CA19,"Mill Lane (Clewer Village)",,"No Appraisal document","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"",local-authority:WNM,,,
377_WNM_CA20,"Old Windsor",,"No Appraisal document","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"",local-authority:WNM,,,
377_WNM_CA21,"Pinkneys Green, near Maidenhead",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_pinkneysgreen08_appraisal_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA22,"Shurlock Row",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_shurlock_row_conservation_area_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA23,"St Mary's Church and Bury Court, White Waltham",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_stmaryschurch_whitewaltham08_appraisal_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA24,"Sunningdale",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_sunningdale_conservation_area_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA25,"Trinity Place/ Clarence Crescent, Windsor",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_trinity_place_clarence_crescent_conservation_area_statement.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Extra documents are available. ",local-authority:WNM,,,
377_WNM_CA26,"Waltham St Lawrence",,"No Appraisal document","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"",local-authority:WNM,,,
377_WNM_CA27,"Windsor Town Centre",,"https://www.rbwm.gov.uk/sites/default/files/2024-06/pp_windsor_town_centre_conservation_area_appraisal_part1.pdf","https://www.rbwm.gov.uk/planning-and-building-control/conservation/conservation-areas",,,"Appraisal in 6 parts, no obvious maps, could be made from individual maps?Extra documents are available. ",local-authority:WNM,,,
