reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_81_CHL_CA1_1,81_CHL_CA1,"Chelmer and Blackwater Navigation","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","https://www.chelmsford.gov.uk/media/emjfofzz/chelmer-and-blackwater-navigation-conservation-area.pdf",area-appraisal,"Needs combining into one mapBest Map is shown on page 1, P2 of the appraisal document. ",local-authority:CHL,,,
D_81_CHL_CA2_1,81_CHL_CA2,"Chelmsford Baddow Road And River Can","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","No Appraisal document",area-appraisal,"",local-authority:CHL,,,
D_81_CHL_CA2_2,81_CHL_CA2,"Chelmsford Baddow Road And River Can","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/",https://www.chelmsford.gov.uk/media/omfnanw3/chelmsford-baddow-road-and-river-can-conservation-area.pdf,area-map,"",local-authority:CHL,,,
D_81_CHL_CA3_1,81_CHL_CA3,"Chelmsford Central","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","https://www.chelmsford.gov.uk/media/ofukazxa/chelmsford-central-conservation-area.pdf",area-appraisal,"Lots of optionsBest Map is shown on page 10 of the appraisal document. ",local-authority:CHL,,,
D_81_CHL_CA4_1,81_CHL_CA4,"Chelmsford John Keene Memorial Homes","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","No Appraisal document",area-appraisal,"",local-authority:CHL,,,
D_81_CHL_CA4_2,81_CHL_CA4,"Chelmsford John Keene Memorial Homes","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/",https://www.chelmsford.gov.uk/media/5gzhx40g/chelmsford-john-keene-memorial-homes-conservation-area.pdf,area-map,"",local-authority:CHL,,,
D_81_CHL_CA5_1,81_CHL_CA5,"Chelmsford Moulsham Street","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","https://www.chelmsford.gov.uk/media/yl2jxhfd/chelmsford-moulsham-street-conservation-area.pdf",area-appraisal,"Best Map is shown on page 5 or P7 of the appraisal document. ",local-authority:CHL,,,
D_81_CHL_CA6_1,81_CHL_CA6,"Chelmsford New London Road","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","No Appraisal document",area-appraisal,"",local-authority:CHL,,,
D_81_CHL_CA6_2,81_CHL_CA6,"Chelmsford New London Road","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/",https://www.chelmsford.gov.uk/media/wuldanfl/chelmsford-new-london-road-conservation-area.pdf,area-map,"",local-authority:CHL,,,
D_81_CHL_CA7_1,81_CHL_CA7,"Chelmsford Springfield Green","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","https://www.chelmsford.gov.uk/media/roqpct4m/chelmsford-springfield-green.pdf",area-appraisal,"Best Map is shown on page 9 of the appraisal document. ",local-authority:CHL,,,
D_81_CHL_CA8_1,81_CHL_CA8,"Chelmsford St Johns Hospital","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","https://www.chelmsford.gov.uk/media/4a0ocb5f/chelmsford-st-johns-hospital-conservation-area.pdf",area-appraisal,"Best Map is shown on page 1 or P7 of the appraisal document. ",local-authority:CHL,,,
D_81_CHL_CA9_1,81_CHL_CA9,"Chelmsford West End","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","https://www.chelmsford.gov.uk/media/xeyhu5sf/chelmsford-west-end-conservation-area.pdf",area-appraisal,"Best Map is shown on page 5 of the appraisal document. ",local-authority:CHL,,,
