reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_31_ASH_CA1_1,31_ASH_CA1,"Ashford Town Centre","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","https://www.ashford.gov.uk/media/e53d2j2w/adopted-town-centre-conservation-area-appraisal-and-management-plan.pdf",area-appraisal,"Best Map is shown on page 3 of the appraisal document. ",local-authority:ASH,,,
D_31_ASH_CA2_1,31_ASH_CA2,"Ashford - Queens Road","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"Best Map is shown on page 3 of the appraisal document. ",local-authority:ASH,,,
D_31_ASH_CA3_1,31_ASH_CA3,"Chilham","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA4_1,31_ASH_CA4,"Charing","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA5_1,31_ASH_CA5,"Egerton","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA6_1,31_ASH_CA6,"Westwell","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA7_1,31_ASH_CA7,"Wye","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA8_1,31_ASH_CA8,"Boughton Lees","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA9_1,31_ASH_CA9,"Pluckley","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA10_1,31_ASH_CA10,"Little Chart","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA11_1,31_ASH_CA11,"Little Chart Forstal","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA12_1,31_ASH_CA12,"Hothfield","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA13_1,31_ASH_CA13,"Kennington & Ball Lane Part","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA14_1,31_ASH_CA14,"Kennington & Ball Lane","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA15_1,31_ASH_CA15,"Pluckley Station","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA16_1,31_ASH_CA16,"Smarden","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA17_1,31_ASH_CA17,"Brabourne","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA18_1,31_ASH_CA18,"Willesborough Lees","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA19_1,31_ASH_CA19,"Lacton Green","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA20_1,31_ASH_CA20,"Great Chart","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA21_1,31_ASH_CA21,"Bethersden","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA22_1,31_ASH_CA22,"Biddenden","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA23_1,31_ASH_CA23,"High Halden","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA24_1,31_ASH_CA24,"Shadoxhurst","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA25_1,31_ASH_CA25,"Kingsnorth","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA26_1,31_ASH_CA26,"St Michaels","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
D_31_ASH_CA27_1,31_ASH_CA27,"Woodchurch","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/","No Appraisal document",area-appraisal,"",local-authority:ASH,,,
