reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_209_MAV_CA1_1,209_MAV_CA1,"Abberley","https://www.malvernhills.gov.uk/conservation-area-maps-2024","Not Available",area-appraisal,"",local-authority:MAV,,,
D_209_MAV_CA1_2,209_MAV_CA1,"Abberley","https://www.malvernhills.gov.uk/conservation-area-maps-2024",https://www.malvernhills.gov.uk/conservation-area-maps-2024/file/Abberley.pdf,area-map,"",local-authority:MAV,,,
D_209_MAV_CA2_1,209_MAV_CA2,"Bayton","https://www.malvernhills.gov.uk/conservation-area-maps-2024","Not Available",area-appraisal,"",local-authority:MAV,,,
D_209_MAV_CA2_2,209_MAV_CA2,"Bayton","https://www.malvernhills.gov.uk/conservation-area-maps-2024",https://www.malvernhills.gov.uk/conservation-area-maps-2024/file/Bayton.pdf,area-map,"",local-authority:MAV,,,
D_209_MAV_CA3_1,209_MAV_CA3,"Bushley","https://www.malvernhills.gov.uk/conservation-area-maps-2024","Not Available",area-appraisal,"",local-authority:MAV,,,
D_209_MAV_CA3_2,209_MAV_CA3,"Bushley","https://www.malvernhills.gov.uk/conservation-area-maps-2024",https://www.malvernhills.gov.uk/conservation-area-maps-2024/file/Bushley.pdf,area-map,"",local-authority:MAV,,,
D_209_MAV_CA4_1,209_MAV_CA4,"Castlemorton","https://www.malvernhills.gov.uk/conservation-area-maps-2024","Not Available",area-appraisal,"",local-authority:MAV,,,
D_209_MAV_CA4_2,209_MAV_CA4,"Castlemorton","https://www.malvernhills.gov.uk/conservation-area-maps-2024",https://www.malvernhills.gov.uk/conservation-area-maps-2024/file/Castlemorton.pdf,area-map,"",local-authority:MAV,,,
D_209_MAV_CA5_1,209_MAV_CA5,"Clifton","https://www.malvernhills.gov.uk/conservation-area-maps-2024","Not Available",area-appraisal,"",local-authority:MAV,,,
D_209_MAV_CA5_2,209_MAV_CA5,"Clifton","https://www.malvernhills.gov.uk/conservation-area-maps-2024",https://www.malvernhills.gov.uk/conservation-area-maps-2024/file/Clifton.pdf,area-map,"",local-authority:MAV,,,
D_209_MAV_CA6_1,209_MAV_CA6,"Great Malvern","https://www.malvernhills.gov.uk/conservation-area-maps-2024","Not Available",area-appraisal,"",local-authority:MAV,,,
D_209_MAV_CA6_2,209_MAV_CA6,"Great Malvern","https://www.malvernhills.gov.uk/conservation-area-maps-2024",https://www.malvernhills.gov.uk/conservation-area-maps-2024/file/Great%20Malvern.pdf,area-map,"",local-authority:MAV,,,
D_209_MAV_CA7_1,209_MAV_CA7,"Hallow","https://www.malvernhills.gov.uk/conservation-area-maps-2024","Not Available",area-appraisal,"",local-authority:MAV,,,
D_209_MAV_CA7_2,209_MAV_CA7,"Hallow","https://www.malvernhills.gov.uk/conservation-area-maps-2024",https://www.malvernhills.gov.uk/conservation-area-maps-2024/file/Hallow.pdf,area-map,"",local-authority:MAV,,,
D_209_MAV_CA8_1,209_MAV_CA8,"Hanley Castle","https://www.malvernhills.gov.uk/conservation-area-maps-2024","Not Available",area-appraisal,"",local-authority:MAV,,,
D_209_MAV_CA8_2,209_MAV_CA8,"Hanley Castle","https://www.malvernhills.gov.uk/conservation-area-maps-2024",https://www.malvernhills.gov.uk/conservation-area-maps-2024/file/Hanley%20Castle.pdf,area-map,"",local-authority:MAV,,,
D_209_MAV_CA9_1,209_MAV_CA9,"Kempsey","https://www.malvernhills.gov.uk/conservation-area-maps-2024","Not Available",area-appraisal,"",local-authority:MAV,,,
D_209_MAV_CA9_2,209_MAV_CA9,"Kempsey","https://www.malvernhills.gov.uk/conservation-area-maps-2024",https://www.malvernhills.gov.uk/conservation-area-maps-2024/file/Kempsey.pdf,area-map,"",local-authority:MAV,,,
D_209_MAV_CA10_1,209_MAV_CA10,"Leigh","https://www.malvernhills.gov.uk/conservation-area-maps-2024","Not Available",area-appraisal,"",local-authority:MAV,,,
D_209_MAV_CA10_2,209_MAV_CA10,"Leigh","https://www.malvernhills.gov.uk/conservation-area-maps-2024",https://www.malvernhills.gov.uk/conservation-area-maps-2024/file/Leigh.pdf,area-map,"",local-authority:MAV,,,
D_209_MAV_CA11_1,209_MAV_CA11,"Madresfield","https://www.malvernhills.gov.uk/conservation-area-maps-2024","Not Available",area-appraisal,"",local-authority:MAV,,,
D_209_MAV_CA11_2,209_MAV_CA11,"Madresfield","https://www.malvernhills.gov.uk/conservation-area-maps-2024",https://www.malvernhills.gov.uk/conservation-area-maps-2024/file/Madresfield.pdf,area-map,"",local-authority:MAV,,,
D_209_MAV_CA12_1,209_MAV_CA12,"Malvern Link","https://www.malvernhills.gov.uk/conservation-area-maps-2024","Not Available",area-appraisal,"",local-authority:MAV,,,
D_209_MAV_CA12_2,209_MAV_CA12,"Malvern Link","https://www.malvernhills.gov.uk/conservation-area-maps-2024",https://www.malvernhills.gov.uk/conservation-area-maps-2024/file/Malvern%20Link.pdf,area-map,"",local-authority:MAV,,,
D_209_MAV_CA13_1,209_MAV_CA13,"Malvern Wells","https://www.malvernhills.gov.uk/conservation-area-maps-2024","Not Available",area-appraisal,"",local-authority:MAV,,,
D_209_MAV_CA13_2,209_MAV_CA13,"Malvern Wells","https://www.malvernhills.gov.uk/conservation-area-maps-2024",https://www.malvernhills.gov.uk/conservation-area-maps-2024/file/Malvern%20Wells.pdf,area-map,"",local-authority:MAV,,,
D_209_MAV_CA14_1,209_MAV_CA14,"Martley","https://www.malvernhills.gov.uk/conservation-area-maps-2024","Not Available",area-appraisal,"",local-authority:MAV,,,
D_209_MAV_CA14_2,209_MAV_CA14,"Martley","https://www.malvernhills.gov.uk/conservation-area-maps-2024",https://www.malvernhills.gov.uk/conservation-area-maps-2024/file/Martley.pdf,area-map,"",local-authority:MAV,,,
D_209_MAV_CA15_1,209_MAV_CA15,"Newland","https://www.malvernhills.gov.uk/conservation-area-maps-2024","Not Available",area-appraisal,"",local-authority:MAV,,,
