reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_288_SEV_CA15_2,288_SEV_CA15,"Halstead","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/429/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA16_1,288_SEV_CA16,"Heaverham","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/441/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA16_2,288_SEV_CA16,"Heaverham","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/442/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA17_1,288_SEV_CA17,"Hoath Corner","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/443/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA17_2,288_SEV_CA17,"Hoath Corner","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/444/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA18_1,288_SEV_CA18,"Hodsoll Street","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/445/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA18_2,288_SEV_CA18,"Hodsoll Street","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/446/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA19_1,288_SEV_CA19,"Horton Kirby","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/447/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA19_2,288_SEV_CA19,"Horton Kirby","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/448/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA20_1,288_SEV_CA20,"Ide Hill","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/449/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA20_2,288_SEV_CA20,"Ide Hill","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/450/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA21_1,288_SEV_CA21,"Kemsing","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/451/area_appraisal.pdf",area-appraisal,"Best Map is shown on page 3 of the appraisal document. ",local-authority:SEV,,,
