reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_198_LEW_CA1_1,198_LEW_CA1,"Beckenham Palace Park","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/beckenham-place-park-conservation-area","https://lewisham.gov.uk/-/media/files/imported/beckenhamplaceparkconservationarea.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA1_2,198_LEW_CA1,"Beckenham Palace Park","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/beckenham-place-park-conservation-area",https://lewisham.gov.uk/-/media/files/imported/beckenhamplaceparkconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA2_1,198_LEW_CA2,"Belmont","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/belmont-conservation-area","https://lewisham.gov.uk/-/media/files/imported/belmontconservationareacharacterappraisal.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA2_2,198_LEW_CA2,"Belmont","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/belmont-conservation-area",https://lewisham.gov.uk/-/media/files/imported/belmontconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA3_1,198_LEW_CA3,"Blackheath","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/blackheath-conservation-area","https://lewisham.gov.uk/-/media/files/imported/blackheathcaappraisal.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA3_2,198_LEW_CA3,"Blackheath","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/blackheath-conservation-area",https://lewisham.gov.uk/-/media/files/imported/blackheathconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA4_1,198_LEW_CA4,"Brockley","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/brockley-conservation-area","https://lewisham.gov.uk/-/media/files/imported/brockleyconservationareacharacterappraisalpart1.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloaded, Appraisal doc in 3 partsExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA4_2,198_LEW_CA4,"Brockley","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/brockley-conservation-area",https://lewisham.gov.uk/-/media/files/imported/brockleyconservationareaa3correctedjan2011.pdf?sc_lang=en,area-map,"PDFs have to be downloaded, Appraisal doc in 3 partsExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA5_1,198_LEW_CA5,"Brookmill Road","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/brookmill-road-conservation-area","https://lewisham.gov.uk/-/media/files/imported/brookmillroadconservationareacharacterappraisal.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA5_2,198_LEW_CA5,"Brookmill Road","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/brookmill-road-conservation-area",https://lewisham.gov.uk/-/media/files/imported/brookmillconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA6_1,198_LEW_CA6,"Cobb's Corner","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/cobb-s-corner-conservation-area","https://lewisham.gov.uk/-/media/files/imported/cobbscornerconservationarea.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA6_2,198_LEW_CA6,"Cobb's Corner","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/cobb-s-corner-conservation-area",https://lewisham.gov.uk/-/media/files/imported/cobbscornerconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA7_1,198_LEW_CA7,"Culverley Green","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/culverley-green-conservation-area","https://lewisham.gov.uk/-/media/files/imported/culverleygreenconservationareacharacterappraisal.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA7_2,198_LEW_CA7,"Culverley Green","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/culverley-green-conservation-area",https://lewisham.gov.uk/-/media/files/imported/culverleygreenconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA8_1,198_LEW_CA8,"Deptford Creekside","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/deptford-creekside-conservation-area","https://lewisham.gov.uk/-/media/files/imported/deptford-20creekside-20conservation-20area-20appraisal.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA8_2,198_LEW_CA8,"Deptford Creekside","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/deptford-creekside-conservation-area",https://lewisham.gov.uk/-/media/files/imported/map-20of-20deptford-20creekside-20conservation-20area.pdf?sc_lang=en,area-map,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA9_1,198_LEW_CA9,"Deptford High Street and St Paul's","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/deptford-high-street-and-st-paul-s-conservation-area","https://lewisham.gov.uk/-/media/archive/deptfordhighstreetandstpaulschurchconservationareaappraisal_updated-spd-link.pdf",area-appraisal,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA9_2,198_LEW_CA9,"Deptford High Street and St Paul's","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/deptford-high-street-and-st-paul-s-conservation-area",https://lewisham.gov.uk/-/media/files/imported/deptfordhighstreetconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA10_1,198_LEW_CA10,"Deptford Town Hall","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/deptford-town-hall-conservation-area","https://lewisham.gov.uk/-/media/files/imported/deptfordtownhallconservationarea.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA10_2,198_LEW_CA10,"Deptford Town Hall","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/deptford-town-hall-conservation-area",https://lewisham.gov.uk/-/media/files/imported/deptfordtownhallconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA11_1,198_LEW_CA11,"Forest Hill","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/forest-hill-conservation-area","https://lewisham.gov.uk/-/media/files/imported/foresthillconservationareaappraisalpart1.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloaded, Appraisal doc in 2 partsExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA11_2,198_LEW_CA11,"Forest Hill","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/forest-hill-conservation-area",https://lewisham.gov.uk/-/media/files/imported/foresthillcaextensionsosa3jan2011.pdf?sc_lang=en,area-map,"PDFs have to be downloaded, Appraisal doc in 2 partsExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA12_1,198_LEW_CA12,"Halifax Street","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/halifax-street-conservation-area","https://lewisham.gov.uk/-/media/files/imported/halifaxstreetconservationarea.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA12_2,198_LEW_CA12,"Halifax Street","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/halifax-street-conservation-area",https://lewisham.gov.uk/-/media/files/imported/halifaxstreetconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA13_1,198_LEW_CA13,"Hatcham","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/hatcham-conservation-area","https://lewisham.gov.uk/-/media/files/imported/hatchamconservationareacharacterappraisal.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA13_2,198_LEW_CA13,"Hatcham","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/hatcham-conservation-area",https://lewisham.gov.uk/-/media/files/imported/hatchamconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA14_1,198_LEW_CA14,"Jews Walk","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/jews-walk-conservation-area","No Appraisal document",area-appraisal,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA14_2,198_LEW_CA14,"Jews Walk","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/jews-walk-conservation-area",https://lewisham.gov.uk/-/media/files/imported/jewswalkconservationareamap.pdf?sc_lang=en,area-map,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA15_1,198_LEW_CA15,"Ladywell","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/ladywell-conservation-area","https://lewisham.gov.uk/-/media/files/imported/ladywell-20ca-20appraisal-20final-203.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA15_2,198_LEW_CA15,"Ladywell","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/ladywell-conservation-area",https://lewisham.gov.uk/-/media/files/imported/ladywellconservationareamap.pdf?sc_lang=en,area-map,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA16_1,198_LEW_CA16,"Lee Manor","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/lee-manor-conservation-area","https://lewisham.gov.uk/-/media/files/imported/leemanorconservationareacharacterappraisal.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA17_1,198_LEW_CA17,"Lewisham Park","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/lewisham-park-conservation-area","https://lewisham.gov.uk/-/media/files/imported/lewisham-park-caa--mp-designated-26062019.pdf",area-appraisal,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA17_2,198_LEW_CA17,"Lewisham Park","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/lewisham-park-conservation-area",https://lewisham.gov.uk/-/media/files/imported/lewisham-park-conservation-area-map.pdf,area-map,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA18_1,198_LEW_CA18,"Mercia Grove","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/mercia-grove-conservation-area","No Appraisal document",area-appraisal,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA18_2,198_LEW_CA18,"Mercia Grove","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/mercia-grove-conservation-area",https://lewisham.gov.uk/-/media/files/imported/merciagroveconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA19_1,198_LEW_CA19,"Perry Fields","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/perry-fields-conservation-area","No Appraisal document",area-appraisal,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA19_2,198_LEW_CA19,"Perry Fields","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/perry-fields-conservation-area",https://lewisham.gov.uk/-/media/files/imported/perryfieldsconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA20_1,198_LEW_CA20,"St John's","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/st-john-s-conservation-area","No Appraisal document",area-appraisal,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA20_2,198_LEW_CA20,"St John's","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/st-john-s-conservation-area",https://lewisham.gov.uk/-/media/files/imported/stjohnsconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA21_1,198_LEW_CA21,"St Stephen's","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/st-stephen-s-conservation-area","No Appraisal document",area-appraisal,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA21_2,198_LEW_CA21,"St Stephen's","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/st-stephen-s-conservation-area",https://lewisham.gov.uk/-/media/files/imported/ststephensconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA22_1,198_LEW_CA22,"Somerset Gardens","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/somerset-gardens-conservation-area","No Appraisal document",area-appraisal,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA22_2,198_LEW_CA22,"Somerset Gardens","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/somerset-gardens-conservation-area",https://lewisham.gov.uk/-/media/files/imported/somersetgardensconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA23_1,198_LEW_CA23,"Stanstead Grove","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/stanstead-grove-conservation-area","No Appraisal document",area-appraisal,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA23_2,198_LEW_CA23,"Stanstead Grove","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/stanstead-grove-conservation-area",https://lewisham.gov.uk/-/media/files/imported/stansteadgroveconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA24_1,198_LEW_CA24,"Sydenham Thorpes","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/sydenham-thorpes-conservation-area","https://lewisham.gov.uk/-/media/files/imported/sydenhamthorpesconservationareacharacterappraisalpart1.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloaded, Appraisal doc in 4 partsExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA24_2,198_LEW_CA24,"Sydenham Thorpes","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/sydenham-thorpes-conservation-area",https://lewisham.gov.uk/-/media/files/imported/sydenhamthorpesconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloaded, Appraisal doc in 4 partsExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA25_1,198_LEW_CA25,"Sydenham Hill","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/sydenham-hill-conservation-area","No Appraisal document",area-appraisal,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA25_2,198_LEW_CA25,"Sydenham Hill","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/sydenham-hill-conservation-area",https://lewisham.gov.uk/-/media/files/imported/sydenham-20hill-20kirkdale-20conservation-20area.pdf?sc_lang=en,area-map,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA26_1,198_LEW_CA26,"Telegraph Hill","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/telegraph-hill-conservation-area","https://lewisham.gov.uk/-/media/files/imported/telegraphhillconservationareacharacterappraisal.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA26_2,198_LEW_CA26,"Telegraph Hill","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/telegraph-hill-conservation-area",https://lewisham.gov.uk/-/media/files/imported/telegraphhillconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA27_1,198_LEW_CA27,"St Mary's","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/st-mary-s-conservation-area","https://lewisham.gov.uk/-/media/files/imported/stmaryscharacterappraisal.pdf?sc_lang=en",area-appraisal,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA27_2,198_LEW_CA27,"St Mary's","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/st-mary-s-conservation-area",https://lewisham.gov.uk/-/media/files/imported/stmarysconservationarea.pdf?sc_lang=en,area-map,"PDFs have to be downloadedExtra documents are available. ",local-authority:LEW,,,
D_198_LEW_CA28_1,198_LEW_CA28,"Sydenham Park","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/sydenham-park-conservation-area","No Appraisal document",area-appraisal,"PDFs have to be downloaded",local-authority:LEW,,,
D_198_LEW_CA28_2,198_LEW_CA28,"Sydenham Park","https://lewisham.gov.uk/myservices/planning/conservation/conservation-areas/sydenham-park-conservation-area",https://lewisham.gov.uk/-/media/files/imported/sydenham-20park-20conservation-20area.pdf?sc_lang=en,area-map,"PDFs have to be downloaded",local-authority:LEW,,,
