reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date
150_GRE_CA1,"Ashburnham Triangle",,"https://www.royalgreenwich.gov.uk/download/downloads/id/11/ashburnham_triangle_character_appraisal_adopted_dec_2008.pdf","https://www.royalgreenwich.gov.uk/downloads/download/9/ashburnham_triangle_conservation_area_map_and_appraisal",,,"PDFs have to be downloadedExtra documents are available. ",local-authority:GRE,,,
150_GRE_CA2,"Blackheath",,"https://www.royalgreenwich.gov.uk/downloads/file/2393/blackheath_conservation_area_appraisal_2013_part_one_pages_1-16","https://www.royalgreenwich.gov.uk/downloads/download/566/blackheath_conservation_area_map_and_appraisal",,,"PDFs have to be downloaded, appraisal doc in 4 partsExtra documents are available. ",local-authority:GRE,,,
150_GRE_CA3,"Blackheath Park",,"https://www.royalgreenwich.gov.uk/downloads/file/1974/blackheath_park_conservation_area_appraisal_2013","https://www.royalgreenwich.gov.uk/downloads/download/567/blackheath_park_conservation_area_map_and_appraisal",,,"PDFs have to be downloadedExtra documents are available. ",local-authority:GRE,,,
150_GRE_CA4,"Charlton Riverside",,"https://www.royalgreenwich.gov.uk/downloads/file/5174/charlton_riverside_conservation_area_character_appraisal_spd","https://www.royalgreenwich.gov.uk/downloads/download/876/charlton_riverside_conservation_area",,,"PDFs have to be downloadedExtra documents are available. ",local-authority:GRE,,,
150_GRE_CA5,"Charlton Village",,"https://www.royalgreenwich.gov.uk/downloads/file/3026/charlton_village_conservation_area_character_appraisal_2016","https://www.royalgreenwich.gov.uk/downloads/download/652/charlton_village_conservation_area_map_and_appraisal",,,"PDFs have to be downloadedExtra documents are available. ",local-authority:GRE,,,
150_GRE_CA6,"Greenwich Park",,"https://www.royalgreenwich.gov.uk/downloads/file/1979/greenwich_park_conservation_area_appraisal_2010","https://www.royalgreenwich.gov.uk/downloads/download/569/greenwich_park_conservation_area_map_and_appraisal",,,"PDFs have to be downloadedExtra documents are available. ",local-authority:GRE,,,
150_GRE_CA7,"Deptford High Street",,"No Appraisal document","https://www.royalgreenwich.gov.uk/downloads/download/653/deptford_high_street_conservation_area_map_boundaries",,,"PDFs have to be downloaded",local-authority:GRE,,,
150_GRE_CA8,"East Greenwich",,"https://www.royalgreenwich.gov.uk/downloads/file/2394/east_greenwich_conservation_area_appraisal_2013","https://www.royalgreenwich.gov.uk/downloads/download/570/east_greenwich_conservation_area_map_and_appraisal",,,"PDFs have to be downloadedExtra documents are available. ",local-authority:GRE,,,
150_GRE_CA9,"Eltham Green",,"No Appraisal document","https://www.royalgreenwich.gov.uk/downloads/download/654/eltham_green_conservation_area_map_boundaries",,,"PDFs have to be downloaded",local-authority:GRE,,,
150_GRE_CA10,"Eltham Palace",,"https://www.royalgreenwich.gov.uk/downloads/file/13/eltham_palace_character_appraisal_adopted_jan_2008","https://www.royalgreenwich.gov.uk/downloads/download/10/eltham_palace_conservation_area_map_and_appraisal",,,"PDFs have to be downloadedExtra documents are available. ",local-authority:GRE,,,
