reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date
D_281_SCA_CA1_1,281_SCA_CA1,Barrow Road,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A2,https://greatercambridgeplanning.org/media/1612/barrow_road_conservation-area-appraisal-2016.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA1_2,281_SCA_CA1,Barrow Road,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A2,https://greatercambridgeplanning.org/media/1613/barrow_road_conservation-area-map-2016.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA2_1,281_SCA_CA2,Brooklands,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A3,https://greatercambridgeplanning.org/media/1614/brooklands-avenue-conservation-area-appraisal-2013.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA2_2,281_SCA_CA2,Brooklands,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A3,https://greatercambridgeplanning.org/media/1615/brooklands-conservation-area-map.jpg,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA3_1,281_SCA_CA3,Castle and Victoria Road,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A4,https://greatercambridgeplanning.org/media/1616/castle-and-victoria-road-conservation-area-appraisal-2012_with-addendum-2013.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA3_2,281_SCA_CA3,Castle and Victoria Road,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A4,https://greatercambridgeplanning.org/media/1617/castle-and-victoria-road-conservation-area-map-2013.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA4_1,281_SCA_CA4,Central,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A5,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/historic-core-appraisals/,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA4_2,281_SCA_CA4,Central,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A5,https://greatercambridgeplanning.org/media/1563/historic-core-appraisal-2016-area-map.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA5_1,281_SCA_CA5,Chesterton,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A6,https://greatercambridgeplanning.org/media/2548/chesterton-ferry-lane-conservation-area-appraisal-final-may-2022.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA5_2,281_SCA_CA5,Chesterton,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A6,https://greatercambridgeplanning.org/media/1618/chesterton-conservation-area-map.jpg,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA6_1,281_SCA_CA6,Conduit Head Road,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A7,https://greatercambridgeplanning.org/media/o1gko1ol/conduit-head-road-ca-appraisal-1.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA6_2,281_SCA_CA6,Conduit Head Road,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A7,https://greatercambridgeplanning.org/media/1621/conduit-head-road-conservation-area-map.jpg,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA7_1,281_SCA_CA7,De Freville,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A8,https://greatercambridgeplanning.org/media/2398/de-freville-2020.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA7_2,281_SCA_CA7,De Freville,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A8,https://greatercambridgeplanning.org/media/1623/defreville-conservation-area-map.jpg,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA8_1,281_SCA_CA8,Ferry Lane,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A9,https://greatercambridgeplanning.org/media/2548/chesterton-ferry-lane-conservation-area-appraisal-final-may-2022.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA8_2,281_SCA_CA8,Ferry Lane,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A9,https://greatercambridgeplanning.org/media/1625/ferrylane-conservation-area-map.jpg,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA9_1,281_SCA_CA9,Howes Place,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#H,https://greatercambridgeplanning.org/media/w5yp5dlv/howes-place-conservation-area-appraisal-final.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA9_2,281_SCA_CA9,Howes Place,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#H,https://greatercambridgeplanning.org/media/nf2lylxt/howes-place-conservation-area-boundary-map.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA10_1,281_SCA_CA10,The Kite,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A10,https://greatercambridgeplanning.org/media/1634/the-kite-conservation-area-appraisal-2014.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
