reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_161_HAT_CA1_1,161_HAT_CA1,"Basingstoke Canal","https://www.hart.gov.uk/planning-and-building-control/planning-policy/conservation-areas","https://www.hart.gov.uk/sites/default/files/2023-04/Bas%20Canal%20appraisal%20and%20character.pdf",area-appraisal,"https://www.hart.gov.uk/sites/default/files/2023-12/Basingstoke-Canal-Maps.pdfExtra documents are available. Best Map is shown on page 64 of the appraisal document. ",local-authority:HAT,,,
D_161_HAT_CA2_1,161_HAT_CA2,"Bramshill","https://www.hart.gov.uk/planning-and-building-control/planning-policy/conservation-areas","https://www.hart.gov.uk/sites/default/files/2024-07/Bramshill-Character-Appraisal-and-Management-Proposals-v3.pdf",area-appraisal,"Best Map is shown on page 25 of the appraisal document. ",local-authority:HAT,,,
D_161_HAT_CA3_1,161_HAT_CA3,"Church House Farm","https://www.hart.gov.uk/planning-and-building-control/planning-policy/conservation-areas","https://www.hart.gov.uk/sites/default/files/2024-07/Church-House-Farm-Conservation-Area-v2.pdf",area-appraisal,"Best Map is shown on page 23 of the appraisal document. ",local-authority:HAT,,,
D_161_HAT_CA4_1,161_HAT_CA4,"Cricket Hill, Yateley","https://www.hart.gov.uk/planning-and-building-control/planning-policy/conservation-areas","https://www.hart.gov.uk/sites/default/files/2022-11/cricket_hill_conservation_areas_accessible.pdf",area-appraisal,"Best Map is shown on page 31 of the appraisal document. ",local-authority:HAT,,,
D_161_HAT_CA5_1,161_HAT_CA5,"Crondall","https://www.hart.gov.uk/planning-and-building-control/planning-policy/conservation-areas","https://www.hart.gov.uk/sites/default/files/2024-06/Crondall-Conservation-Area-Appraisal-Adopted-March-2024.pdf",area-appraisal,"Best Map is shown on page 75 of the appraisal document. ",local-authority:HAT,,,
D_161_HAT_CA6_1,161_HAT_CA6,"Crookham Village","https://www.hart.gov.uk/planning-and-building-control/planning-policy/conservation-areas","https://www.hart.gov.uk/sites/default/files/2024-06/Crookham-Village-Conservation-Area-Adopted-March-2024.pdf",area-appraisal,"Best Map is shown on page 11 of the appraisal document. ",local-authority:HAT,,,
D_161_HAT_CA7_1,161_HAT_CA7,"Darby Green","https://www.hart.gov.uk/planning-and-building-control/planning-policy/conservation-areas","https://www.hart.gov.uk/sites/default/files/2024-06/Darby-Green-conservation-area-appraisal-with-map.pdf",area-appraisal,"Best Map is shown on page 17 of the appraisal document. ",local-authority:HAT,,,
D_161_HAT_CA8_1,161_HAT_CA8,"Dipley","https://www.hart.gov.uk/planning-and-building-control/planning-policy/conservation-areas","No Appraisal document",area-appraisal,"",local-authority:HAT,,,
D_161_HAT_CA8_2,161_HAT_CA8,"Dipley","https://www.hart.gov.uk/planning-and-building-control/planning-policy/conservation-areas",https://www.hart.gov.uk/sites/default/files/2024-01/Dipley-conservation-area.pdf,area-map,"",local-authority:HAT,,,
D_161_HAT_CA9_1,161_HAT_CA9,"Dogmersfield","https://www.hart.gov.uk/planning-and-building-control/planning-policy/conservation-areas","https://www.hart.gov.uk/sites/default/files/2024-06/Dogmersfield-Conservation-Area-accessible.pdf",area-appraisal,"Best Map is shown on page 26 of the appraisal document. ",local-authority:HAT,,,
