reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date
382_WOT_CA1,"Broadwater",,"https://www.adur-worthing.gov.uk/media/Media,99409,smxx.pdf","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/",,,"Best Map is shown on page 6 of the appraisal document. ",local-authority:WOT,,,
382_WOT_CA2,"Broadwater Green",,"https://www.adur-worthing.gov.uk/media/Media,99408,smxx.pdf","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/",,,"Best Map is shown on page 4 of the appraisal document. ",local-authority:WOT,,,
382_WOT_CA3,"Castle Goring",,"https://www.southdowns.gov.uk/wp-content/uploads/2015/04/Castle-Goring-CAAMPS-Web-Version.pdf","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/",,,"Best Map is shown on page 36 of the appraisal document. ",local-authority:WOT,,,
382_WOT_CA4,"Chapel Road",,"https://www.adur-worthing.gov.uk/media/Media,99411,smxx.pdf","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/",,,"Best Map is shown on page 10 of the appraisal document. ",local-authority:WOT,,,
382_WOT_CA5,"Durrington",,"https://www.adur-worthing.gov.uk/media/Media,99412,smxx.pdf","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/",,,"Best Map is shown on page 6 of the appraisal document. ",local-authority:WOT,,,
382_WOT_CA6,"Farncombe Road",,"https://www.adur-worthing.gov.uk/media/Media,99413,smxx.pdf","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/",,,"Best Map is shown on page 5 of the appraisal document. ",local-authority:WOT,,,
382_WOT_CA7,"Goring",,"https://www.adur-worthing.gov.uk/media/Media,99415,smxx.pdf","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/",,,"Best Map is shown on page 4 of the appraisal document. ",local-authority:WOT,,,
382_WOT_CA8,"Goring Hall",,"https://www.adur-worthing.gov.uk/media/Media,99414,smxx.pdf","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/",,,"Best Map is shown on page 4 of the appraisal document. ",local-authority:WOT,,,
382_WOT_CA9,"Heene",,"https://www.adur-worthing.gov.uk/media/Media,99416,smxx.pdf","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/",,,"Best Map is shown on page 6 of the appraisal document. ",local-authority:WOT,,,
382_WOT_CA10,"Highdown",,"https://www.southdowns.gov.uk/wp-content/uploads/2020/06/Highdown-CAAMP_26_May_2020-compressed.pdf","https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-conservation-and-heritage/worthing-conservation-areas/",,,"Best Map is shown on page 6 of the appraisal document. ",local-authority:WOT,,,
