reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date
31_ASH_CA1,"Ashford Town Centre",,"https://www.ashford.gov.uk/media/e53d2j2w/adopted-town-centre-conservation-area-appraisal-and-management-plan.pdf","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"Best Map is shown on page 3 of the appraisal document. ",local-authority:ASH,,,
31_ASH_CA2,"Ashford - Queens Road",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"Best Map is shown on page 3 of the appraisal document. ",local-authority:ASH,,,
31_ASH_CA3,"Chilham",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA4,"Charing",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA5,"Egerton",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA6,"Westwell",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA7,"Wye",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA8,"Boughton Lees",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA9,"Pluckley",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA10,"Little Chart",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA11,"Little Chart Forstal",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA12,"Hothfield",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA13,"Kennington & Ball Lane Part",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA14,"Kennington & Ball Lane",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA15,"Pluckley Station",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA16,"Smarden",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA17,"Brabourne",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA18,"Willesborough Lees",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA19,"Lacton Green",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA20,"Great Chart",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA21,"Bethersden",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA22,"Biddenden",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA23,"High Halden",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA24,"Shadoxhurst",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA25,"Kingsnorth",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA26,"St Michaels",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA27,"Woodchurch",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA28,"Tenterden",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA29,"Rolvenden",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA30,"Rolvenden Layne",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA31,"Small Hythe",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA32,"Reading Street",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA33,"Warehorne - The Leacon",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA34,"Hamstreet",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA35,"Bilsington",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA36,"Warehorne - The Green",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA37,"Appledore",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA38,"Stone in Oxney",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA39,"Wittersham",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA40,"Newenden",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA41,"Mersham",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA42,"Smeeth",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
31_ASH_CA43,"Aldington - Church Area",,"No Appraisal document","https://www.ashford.gov.uk/planning-and-development/building-conservation-and-heritage/conservation-areas/",,,"",local-authority:ASH,,,
