reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,ca_entity
227_NEL_CA1,"Bradford Avenue",,"No appraisal document","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"",,,,44006200
227_NEL_CA2,"Central Grimsby",,"https://www.nelincs.gov.uk/assets/uploads/2016/02/Central-Grimsby-CAAMP-Adopted.pdf","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"Best Map is shown on page 40 of the appraisal document. ",,,,44006666
227_NEL_CA3,"Cleethorpes",,"https://www.nelincs.gov.uk/assets/uploads/2016/02/Central-Cleethorpes-Seafront-Conservation-Area-Appraisal-and-Management-Plan-for-public-consultation.pdf","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"Extra documents are available. Best Map is shown on page 41 of the appraisal document. ",,,,44006201
227_NEL_CA4,"Cottagers Plot",,"No appraisal document","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"",,,,44003615
227_NEL_CA5,"Great Coates",,"No appraisal document","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"",,,,44003620
227_NEL_CA6,"Holme Hill",,"No appraisal document","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"",,,,44003618
227_NEL_CA7,"Humberston",,"No appraisal document","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"",,,,44006202
227_NEL_CA8,"Humberston Fitties",,"https://www.nelincs.gov.uk/assets/uploads/2016/02/Chalet-Design-Guide.pdf","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"Extra documents are available. ",,,,44003621
227_NEL_CA9,"Irby upon Humber",,"No appraisal document","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"",,,,44003619
227_NEL_CA10,"The Kasbah",,"https://www.nelincs.gov.uk/assets/uploads/2016/02/ADOPTED-The-Kasbah-A-Statement-in-Support-of-the-Designation-of-a-Conservation-Area.pdf","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"Best Map is shown on page 6 of the appraisal document. ",,,,44006668
227_NEL_CA11,"Laceby",,"No appraisal document","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"",,,,44003614
227_NEL_CA12,"Mill Road",,"No appraisal document","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"",,,,44003622
227_NEL_CA13,"Old Clee",,"No appraisal document","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"",,,,44003617
227_NEL_CA14,"Scartho",,"No appraisal document","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"",,,,44006667
227_NEL_CA15,"Victoria Mills",,"No appraisal document","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"",,,,44003616
227_NEL_CA16,"Waltham",,"https://www.nelincs.gov.uk/assets/uploads/2016/02/Waltham-CAA-MP-Adopted.pdf","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"Best Map is shown on page 10 of the appraisal document. ",,,,44006669
227_NEL_CA17,"Wellow",,"No appraisal document","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/",,,"",,,,44006670
