reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,ca_entity
54_BPC_CA30,"Purewell, Christchurch",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/purewell-conservation-area-management-plan-adopted-december-2010.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007360
54_BPC_CA31,"Ridgeway and Broadstone Park, Poole",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/Broadstone-Conservation-Area-Report-16-07-09.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007105
54_BPC_CA32,"Sandbanks, Poole",,"https://www.bcpcouncil.gov.uk/documents-old/planning-and-building-control/Sandbanks-Conservation-Area-Latest-Revised-27-03-09.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007310
54_BPC_CA33,"Southbourne Grove, Bournemouth",,"No appraisal document","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007373
54_BPC_CA34,"Stanpit and Fisherman's Bank, Christchurch",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/stanpit-and-fishermans-bank-conservation-area-appraisal-management-plan-adopted-may-2008.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"Extra documents are available. ",,,,44007363
54_BPC_CA35,"Talbot Village, Bournemouth",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/talbot-village-appraisal-final.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"Extra documents are available. ",,,,44007374
54_BPC_CA36,"The Avenue, Poole",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/The-Avenue-Cons-Area.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007350
54_BPC_CA37,"The Saints, Bournemouth",,"No appraisal document","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"Extra documents are available. ",,,,44007030
54_BPC_CA38,"Throop and Muccleshell Villages, Bournemouth",,"No appraisal document","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007375
54_BPC_CA39,"Town Centre Heritage, Poole",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/town-centre-heritage-combined-part-1.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"Extra documents are available. ",,,,44007351
54_BPC_CA40,"Tudor Road and Golf Links Road, Poole",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/Broadstone-Conservation-Area-Report-16-07-09.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007106
54_BPC_CA41,"Undercliff Road, Bournemouth",,"No appraisal document","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007026
54_BPC_CA42,"Verno Lane, Christchurch",,"No appraisal document","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007354
54_BPC_CA43,"West Cliff and Poole Hill, Bournemouth",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/West-Cliff-and-Poole-Hill-Draft-appraisal-and-management-plan.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007025
54_BPC_CA44,"West Overcliff Drive, Bournemouth",,"No appraisal document","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007024
54_BPC_CA45,"Westbourne, Bournemouth",,"No appraisal document","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007027
54_BPC_CA46,"Wick Village, Bournemouth",,"No appraisal document","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007023
54_BPC_CA47,"Winkton, Christchurch",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/winkton-conservation-area-appraisal-and-management-plan-adopted-january-2007.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"Extra documents are available. ",,,,44007361
