reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,ca_entity
D_134_EST_CA1_1,134_EST_CA1,"Abbots Bromley","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals","https://www.eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/AbbotsBromleyCAAJul15.pdf",area-appraisal,"Best Map is shown on page 4 of the appraisal document. ",,,,44003024
D_134_EST_CA2_1,134_EST_CA2,"Admaston","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals","http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/Admaston.pdf",area-appraisal,"",,,,44003032
D_134_EST_CA3_1,134_EST_CA3,"Barton under Needwood","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals","http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/BartonunderNeedwoodConservationAreaAppraisal.pdf",area-appraisal,"Best Map is shown on page 37 of the appraisal document. ",,,,44003040
D_134_EST_CA4_1,134_EST_CA4,"Burton upon Trent Town Centre","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals","http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/BurtonTownCentreConservationAreaAppraisal.pdf",area-appraisal,"Best Map is shown on page 68 of the appraisal document. ",,,,44003041
D_134_EST_CA5_1,134_EST_CA5,"Church Mayfield","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals","http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/ConservationAreaAppraisal-ChurchMayfield.pdf",area-appraisal,"Best Map is shown on page 27 of the appraisal document. ",,,,44003028
D_134_EST_CA6_1,134_EST_CA6,"Clarence Street & Anglesey Road, Burton upon Trent","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals","http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/ConservationAreaAppraisal-ClarenceStreet.pdf",area-appraisal,"Best Map is shown on page 14 of the appraisal document. ",,,,44005665
D_134_EST_CA7_1,134_EST_CA7,"Ellastone","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals","http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/Ellastone.pdf",area-appraisal,"Best Map is shown on page 10 of the appraisal document. ",,,,44003027
D_134_EST_CA8_1,134_EST_CA8,"George Street, Burton upon Trent","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals","https://www.eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/GeorgeStreet%2CBurtonCAAJul15.pdf",area-appraisal,"Best Map is shown on page 4 of the appraisal document. ",,,,44005666
D_134_EST_CA9_1,134_EST_CA9,"Hoar Cross","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals","http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/HoarCrossConservationAreaAppraisal.pdf",area-appraisal,"Best Map is shown on page 6 of the appraisal document. ",,,,44003035
D_134_EST_CA10_1,134_EST_CA10,"Horninglow Street/Guild Street","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals","http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/HorninglowStreetGuildStreet.pdf",area-appraisal,"Best Map is shown on page 9 of the appraisal document. ",,,,44005667
D_134_EST_CA11_1,134_EST_CA11,"King Edward Place","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals","http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/ConservationAreaAppraisal-KingEdwardPlace.pdf",area-appraisal,"Best Map is shown on page 25 of the appraisal document. ",,,,44003033
D_134_EST_CA12_1,134_EST_CA12,"Marchington","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals","https://www.eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/MarchingtonCAAJul15.pdf",area-appraisal,"Best Map is shown on page 4 of the appraisal document. ",,,,44003036
D_134_EST_CA13_1,134_EST_CA13,"Middle Mayfield","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals","http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/MiddleMayfield.pdf",area-appraisal,"Best Map is shown on page 8 of the appraisal document. ",,,,44003038
D_134_EST_CA14_1,134_EST_CA14,"Newborough","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals","http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/Newborough.pdf",area-appraisal,"Best Map is shown on page 13, P14 of the appraisal document. ",,,,44003029
D_134_EST_CA15_1,134_EST_CA15,"Rangemore","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals","http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/RangemoreFinalCAAMP110713.pdf",area-appraisal,"Best Map is shown on page 55 of the appraisal document. ",,,,44005668
D_134_EST_CA16_1,134_EST_CA16,"Rocester","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals","https://www.eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/RocesterCAAJul15.pdf",area-appraisal,"Best Map is shown on page 4 of the appraisal document. ",,,,44003025
