reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,ca_entity
D_386_WSK_CA1_1,386_WSK_CA1,"Ampton","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",area-appraisal,"",,,,44007044
D_386_WSK_CA1_2,386_WSK_CA1,"Ampton","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm",https://www.westsuffolk.gov.uk/planning/Conservation/upload/Ampton_Conservation_Area-2.pdf,area-map,"",,,,44007044
D_386_WSK_CA2_1,386_WSK_CA2,"Bardwell","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",area-appraisal,"",,,,44007119
D_386_WSK_CA2_2,386_WSK_CA2,"Bardwell","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm",https://www.westsuffolk.gov.uk/planning/Conservation/upload/Bardwell_Conservation_Area-2.pdf,area-map,"",,,,44007119
D_386_WSK_CA3_1,386_WSK_CA3,"Barnham","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",area-appraisal,"",,,,44007045
D_386_WSK_CA3_2,386_WSK_CA3,"Barnham","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm",https://www.westsuffolk.gov.uk/planning/Conservation/upload/Barnham_Conservation_Area-2.pdf,area-map,"",,,,44007045
D_386_WSK_CA4_1,386_WSK_CA4,"Barton Mills","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","https://www.westsuffolk.gov.uk/planning/Conservation/upload/Barton-Mills-CA-Appraisal-Adopted-May-2008-2.pdf",area-appraisal,"Extra documents are available. ",,,,44007041
D_386_WSK_CA4_2,386_WSK_CA4,"Barton Mills","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm",https://www.westsuffolk.gov.uk/planning/Conservation/upload/BartonMillsCAAmapwebdoc.pdf,area-map,"Extra documents are available. ",,,,44007041
D_386_WSK_CA5_1,386_WSK_CA5,"Brandon","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","https://www.westsuffolk.gov.uk/planning/Conservation/upload/BrandonCAAReportwebsitedoc-2.pdf",area-appraisal,"Extra documents are available. ",,,,44007042
D_386_WSK_CA5_2,386_WSK_CA5,"Brandon","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm",https://www.westsuffolk.gov.uk/planning/Conservation/upload/Brandon-maps.pdf,area-map,"Extra documents are available. ",,,,44007042
D_386_WSK_CA6_1,386_WSK_CA6,"Bury St Edmunds Town Centre","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","https://www.westsuffolk.gov.uk/planning/Conservation/upload/BSE-ConservationAreaAppraisalBury080320.pdf",area-appraisal,"Extra documents are available. ",,,,44007046
D_386_WSK_CA6_2,386_WSK_CA6,"Bury St Edmunds Town Centre","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm",https://www.westsuffolk.gov.uk/planning/Conservation/upload/Bury_St_Edmunds_Town_Centre_Conservation_Area.pdf,area-map,"Extra documents are available. ",,,,44007046
D_386_WSK_CA7_1,386_WSK_CA7,"Bury St Edmunds Victoria Street","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","https://www.westsuffolk.gov.uk/planning/Conservation/upload/Final-adopted-version.pdf",area-appraisal,"Extra documents are available. ",,,,44007047
D_386_WSK_CA7_2,386_WSK_CA7,"Bury St Edmunds Victoria Street","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm",https://www.westsuffolk.gov.uk/planning/Conservation/upload/Bury_St_Edmunds_Victoria_Street_Conservation_Area.pdf,area-map,"Extra documents are available. ",,,,44007047
D_386_WSK_CA8_1,386_WSK_CA8,"Cavendish","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",area-appraisal,"",,,,44007048
D_386_WSK_CA8_2,386_WSK_CA8,"Cavendish","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm",https://www.westsuffolk.gov.uk/planning/Conservation/upload/Cavendish_Conservation_Area.pdf,area-map,"",,,,44007048
D_386_WSK_CA9_1,386_WSK_CA9,"Clare","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","https://www.westsuffolk.gov.uk/planning/Conservation/upload/Clare-ConservationAreaAppraisalClare090320.pdf",area-appraisal,"Extra documents are available. ",,,,44007118
D_386_WSK_CA9_2,386_WSK_CA9,"Clare","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm",https://www.westsuffolk.gov.uk/planning/Conservation/upload/Clare_Conservation_Area.pdf,area-map,"Extra documents are available. ",,,,44007118
D_386_WSK_CA10_1,386_WSK_CA10,"Dalham","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","https://www.westsuffolk.gov.uk/planning/Conservation/upload/Dalham-CAA-Report-adopted-top-copy-May-08.pdf",area-appraisal,"Extra documents are available. ",,,,44007148
D_386_WSK_CA10_2,386_WSK_CA10,"Dalham","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm",https://www.westsuffolk.gov.uk/planning/Conservation/upload/Dalham-maps.pdf,area-map,"Extra documents are available. ",,,,44007148
D_386_WSK_CA11_1,386_WSK_CA11,"Denston","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",area-appraisal,"",,,,44007049
D_386_WSK_CA11_2,386_WSK_CA11,"Denston","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm",https://www.westsuffolk.gov.uk/planning/Conservation/upload/Denston_Conservation_Area.pdf,area-map,"",,,,44007049
D_386_WSK_CA12_1,386_WSK_CA12,"Elveden","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","https://www.westsuffolk.gov.uk/planning/Conservation/upload/Adopted-Elveden-CAA-with-ctte-amendments-v1.pdf",area-appraisal,"Extra documents are available. ",,,,44006976
D_386_WSK_CA12_2,386_WSK_CA12,"Elveden","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm",https://www.westsuffolk.gov.uk/planning/Conservation/upload/Elvedon-map.pdf,area-map,"Extra documents are available. ",,,,44006976
D_386_WSK_CA13_1,386_WSK_CA13,"Eriswell","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","https://www.westsuffolk.gov.uk/planning/Conservation/upload/EriswellCAAReportadopted2007websitedoc.pdf",area-appraisal,"Extra documents are available. ",,,,44007149
D_386_WSK_CA13_2,386_WSK_CA13,"Eriswell","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm",https://www.westsuffolk.gov.uk/planning/Conservation/upload/Eriswell-maps.pdf,area-map,"Extra documents are available. ",,,,44007149
D_386_WSK_CA14_1,386_WSK_CA14,"Euston","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",area-appraisal,"",,,,44007050
D_386_WSK_CA14_2,386_WSK_CA14,"Euston","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm",https://www.westsuffolk.gov.uk/planning/Conservation/upload/Euston_Conservation_Area.pdf,area-map,"",,,,44007050
D_386_WSK_CA15_1,386_WSK_CA15,"Exning","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",area-appraisal,"",,,,44006975
D_386_WSK_CA15_2,386_WSK_CA15,"Exning","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm",https://www.westsuffolk.gov.uk/planning/Conservation/upload/Exning_Conservation_Area-2.pdf,area-map,"",,,,44006975
D_386_WSK_CA16_1,386_WSK_CA16,"Fakenham Magna","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",area-appraisal,"",,,,44007051
D_386_WSK_CA16_2,386_WSK_CA16,"Fakenham Magna","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm",https://www.westsuffolk.gov.uk/planning/Conservation/upload/Fakenham_Magna_Conservation_Area.pdf,area-map,"",,,,44007051
D_386_WSK_CA17_1,386_WSK_CA17,"Flempton","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",area-appraisal,"",,,,44007052
