reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,ca_entity
156_HAL_CA1,"Hale Road",,"No appraisal document","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx",,,"Polygons on interactive map",,,,44007962
156_HAL_CA2,"Hale Bank",,"No appraisal document","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx",,,"Polygons on interactive map",,,,44000381
156_HAL_CA3,"Hale Village",,"No appraisal document","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx",,,"Polygons on interactive map",,,,44000380
156_HAL_CA4,"Victoria Square",,"No appraisal document","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx",,,"Polygons on interactive map",,,,44000385
156_HAL_CA5,"West Bank Promenade",,"No appraisal document","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx",,,"Polygons on interactive map",,,,44000386
156_HAL_CA6,"Higher Runcorn",,"No appraisal document","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx",,,"Polygons on interactive map",,,,44000383
156_HAL_CA7,"Weston Village",,"No appraisal document","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx",,,"Polygons on interactive map",,,,44000387
156_HAL_CA8,"Halton",,"No appraisal document","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx",,,"Polygons on interactive map",,,,44007963
156_HAL_CA9,"Moore",,"No appraisal document","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx",,,"Polygons on interactive map",,,,44000384
156_HAL_CA10,"Daresbury",,"No appraisal document","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx",,,"Polygons on interactive map",,,,44007961
