reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,ca_entity
224_NEC_CA1,"Audley",,"https://www.newcastle-staffs.gov.uk/downloads/file/241/audley-appraisal","https://www.newcastle-staffs.gov.uk/downloads/download/104/audley-conservation-area",,,"Extra documents are available. ",,,,44001226
224_NEC_CA2,"Basford",,"https://www.newcastle-staffs.gov.uk/downloads/file/244/basford-appraisal","https://www.newcastle-staffs.gov.uk/downloads/download/105/basford-conservation-area",,,"Extra documents are available. ",,,,44001115
224_NEC_CA3,"Betley",,"https://www.newcastle-staffs.gov.uk/downloads/file/248/betley-appraisal","https://www.newcastle-staffs.gov.uk/downloads/download/106/betley-conservation-area",,,"Extra documents are available. ",,,,44004006
224_NEC_CA4,"The Brampton",,"No appraisal document","https://www.newcastle-staffs.gov.uk/downloads/download/107/brampton-conservation-area",,,"Extra documents are available. ",,,,44006517
224_NEC_CA5,"Butterton",,"https://www.newcastle-staffs.gov.uk/downloads/file/257/butterton-appraisal","https://www.newcastle-staffs.gov.uk/downloads/download/108/butterton-conservation-area",,,"Extra documents are available. ",,,,44001119
224_NEC_CA6,"Clayton",,"No appraisal document","https://www.newcastle-staffs.gov.uk/downloads/download/109/clayton-conservation-area",,,"",,,,44001111
224_NEC_CA7,"Keele",,"https://www.newcastle-staffs.gov.uk/downloads/file/263/keele-appraisal","https://www.newcastle-staffs.gov.uk/downloads/download/110/keele-conservation-area",,,"Extra documents are available. ",,,,44001227
224_NEC_CA8,"Keele Hall",,"No appraisal document","https://www.newcastle-staffs.gov.uk/downloads/download/111/keele-hall-conservation-area",,,"Extra documents are available. ",,,,44001117
224_NEC_CA9,"Kidsgrove",,"No appraisal document","https://www.newcastle-staffs.gov.uk/downloads/download/112/kidsgrove-conservation-area",,,"Extra documents are available. ",,,,44001112
224_NEC_CA10,"Madeley",,"https://www.newcastle-staffs.gov.uk/downloads/file/271/madeley-appraisal","https://www.newcastle-staffs.gov.uk/downloads/download/113/madeley-conservation-area",,,"Extra documents are available. ",,,,44001224
224_NEC_CA11,"Maer",,"https://www.newcastle-staffs.gov.uk/downloads/file/273/maer-appraisal","https://www.newcastle-staffs.gov.uk/downloads/download/114/maer-conservation-area",,,"Extra documents are available. ",,,,44001225
224_NEC_CA12,"Mucklestone",,"No appraisal document","https://www.newcastle-staffs.gov.uk/downloads/download/115/mucklestone-conservation-area",,,"",,,,44001118
224_NEC_CA13,"Newcastle Town Centre",,"https://www.newcastle-staffs.gov.uk/downloads/file/279/newcastle-town-centre-appraisal","https://www.newcastle-staffs.gov.uk/downloads/download/116/newcastle-town-centre-conservation-area",,,"Extra documents are available. ",,,,44004005
224_NEC_CA14,"Shropshire Union Canal",,"No appraisal document","https://www.newcastle-staffs.gov.uk/downloads/download/117/shropshire-union-canal-conservation-area",,,"",,,,44001223
224_NEC_CA15,"Silverdale",,"No appraisal document","https://www.newcastle-staffs.gov.uk/downloads/download/118/silverdale-conservation-area",,,"Extra documents are available. ",,,,44001113
224_NEC_CA16,"Stubbs Walk",,"https://www.newcastle-staffs.gov.uk/downloads/file/290/stubbs-walk-appraisal","https://www.newcastle-staffs.gov.uk/downloads/download/119/stubbs-walk-conservation-area",,,"Extra documents are available. ",,,,44001114
224_NEC_CA17,"Talke",,"No appraisal document","https://www.newcastle-staffs.gov.uk/downloads/download/120/talke-conservation-area",,,"Extra documents are available. ",,,,44001110
224_NEC_CA18,"Trent and Mersey Canal (Hardingswood)",,"No appraisal document","https://www.newcastle-staffs.gov.uk/downloads/download/121/trent-and-mersey-canal-hardingswood-conservation-area",,,"",,,,44001116
224_NEC_CA19,"Watlands Park",,"No appraisal document","https://www.newcastle-staffs.gov.uk/downloads/download/122/watlands-park-conservation-area",,,"Extra documents are available. ",,,,44006518
224_NEC_CA20,"Whitmore",,"No appraisal document","https://www.newcastle-staffs.gov.uk/downloads/download/123/whitmore-conservation-area",,,"Extra documents are available. ",,,,44001228
224_NEC_CA21,"Wolstanton",,"No appraisal document","https://www.newcastle-staffs.gov.uk/downloads/download/124/wolstanton-conservation-area",,,"Extra documents are available. ",,,,44004004
