reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,ca_entity
284_SDE_CA1,"Aston-on-Trent",,"https://www.southderbyshire.gov.uk/assets/attach/1904/Aston-Statement-adopted-2011.pdf","https://www.southderbyshire.gov.uk/our-services/planning-and-building-control/planning/conservation-listed-buildings-and-heritage/conservation-areas",,,"Best Map is shown on page 24 of the appraisal document. ",,,,44002573
284_SDE_CA2,"Barrow-on-Trent",,"https://www.southderbyshire.gov.uk/assets/attach/1905/Barrow-on-Trent-Statement-adopted-2011.pdf","https://www.southderbyshire.gov.uk/our-services/planning-and-building-control/planning/conservation-listed-buildings-and-heritage/conservation-areas",,,"Best Map is shown on page 21 of the appraisal document. ",,,,44002568
284_SDE_CA3,"Bretby",,"https://www.southderbyshire.gov.uk/assets/attach/1906/Bretby-Statement-adopted-2011.pdf","https://www.southderbyshire.gov.uk/our-services/planning-and-building-control/planning/conservation-listed-buildings-and-heritage/conservation-areas",,,"Best Map is shown on page 18 of the appraisal document. ",,,,44002562
284_SDE_CA4,"Etwall",,"https://www.southderbyshire.gov.uk/assets/attach/1907/Etwall-Statement-adopted-2011.pdf","https://www.southderbyshire.gov.uk/our-services/planning-and-building-control/planning/conservation-listed-buildings-and-heritage/conservation-areas",,,"Best Map is shown on page 21 of the appraisal document. ",,,,44002566
284_SDE_CA5,"Kings Newton",,"https://www.southderbyshire.gov.uk/assets/attach/1908/Kings-Newton-Statement-adopted-2011.pdf","https://www.southderbyshire.gov.uk/our-services/planning-and-building-control/planning/conservation-listed-buildings-and-heritage/conservation-areas",,,"Best Map is shown on page 29 of the appraisal document. ",,,,44002577
284_SDE_CA6,"Lullington",,"https://www.southderbyshire.gov.uk/assets/attach/2004/Lullington-Statement-adopted-2011.pdf","https://www.southderbyshire.gov.uk/our-services/planning-and-building-control/planning/conservation-listed-buildings-and-heritage/conservation-areas",,,"Best Map is shown on page 21 of the appraisal document. ",,,,44005065
284_SDE_CA7,"Melbourne",,"https://www.southderbyshire.gov.uk/assets/attach/1911/Melbourne-Statement-adopted-2011-updated-2013.pdf","https://www.southderbyshire.gov.uk/our-services/planning-and-building-control/planning/conservation-listed-buildings-and-heritage/conservation-areas",,,"Best Map is shown on page 36 of the appraisal document. ",,,,44005062
284_SDE_CA8,"Milton",,"https://www.southderbyshire.gov.uk/assets/attach/2003/Milton-Statement-adopted-2013.pdf","https://www.southderbyshire.gov.uk/our-services/planning-and-building-control/planning/conservation-listed-buildings-and-heritage/conservation-areas",,,"Best Map is shown on page 13 of the appraisal document. ",,,,44002567
284_SDE_CA9,"Netherseal",,"https://www.southderbyshire.gov.uk/assets/attach/2005/Netherseal-Statement-adopted-2011.pdf","https://www.southderbyshire.gov.uk/our-services/planning-and-building-control/planning/conservation-listed-buildings-and-heritage/conservation-areas",,,"Best Map is shown on page 26 of the appraisal document. ",,,,44005064
284_SDE_CA10,"Newton Solney",,"https://www.southderbyshire.gov.uk/assets/attach/1912/Newton-Solney-Statement-adopted-2011.pdf","https://www.southderbyshire.gov.uk/our-services/planning-and-building-control/planning/conservation-listed-buildings-and-heritage/conservation-areas",,,"Best Map is shown on page 24 of the appraisal document. ",,,,44002572
