reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,ca_entity
D_139_FOE_CA1_1,139_FOE_CA1,"Alvington","https://www.fdean.gov.uk/planning-and-building/historic-buildings-and-conservation-areas/conservation-area-maps-and-appraisals/","https://www.fdean.gov.uk/media/rxcbavsj/alvington-character-appraisal.pdf",area-appraisal,"Extra documents are available. ",,,,44006640
D_139_FOE_CA1_2,139_FOE_CA1,"Alvington","https://www.fdean.gov.uk/planning-and-building/historic-buildings-and-conservation-areas/conservation-area-maps-and-appraisals/",https://www.fdean.gov.uk/media/5d4p1pqx/alvington-conservation-area.pdf,area-map,"Extra documents are available. ",,,,44006640
D_139_FOE_CA2_1,139_FOE_CA2,"Aylburton","https://www.fdean.gov.uk/planning-and-building/historic-buildings-and-conservation-areas/conservation-area-maps-and-appraisals/","No appraisal document",area-appraisal,"",,,,44006642
D_139_FOE_CA2_2,139_FOE_CA2,"Aylburton","https://www.fdean.gov.uk/planning-and-building/historic-buildings-and-conservation-areas/conservation-area-maps-and-appraisals/",https://www.fdean.gov.uk/media/0iudlm14/aylburton-conservation-area.pdf,area-map,"",,,,44006642
D_139_FOE_CA3_1,139_FOE_CA3,"Blaisdon","https://www.fdean.gov.uk/planning-and-building/historic-buildings-and-conservation-areas/conservation-area-maps-and-appraisals/","https://www.fdean.gov.uk/media/mnvnjgkm/character_appraisal_blaisdon.pdf",area-appraisal,"Extra documents are available. ",,,,44006643
D_139_FOE_CA3_2,139_FOE_CA3,"Blaisdon","https://www.fdean.gov.uk/planning-and-building/historic-buildings-and-conservation-areas/conservation-area-maps-and-appraisals/",https://www.fdean.gov.uk/media/qs2ngjzd/blaisdon-conservation-area.pdf,area-map,"Extra documents are available. ",,,,44006643
D_139_FOE_CA4_1,139_FOE_CA4,"Blakeney and Awre","https://www.fdean.gov.uk/planning-and-building/historic-buildings-and-conservation-areas/conservation-area-maps-and-appraisals/","https://www.fdean.gov.uk/media/mg0equlr/blakeney-awre-character-appraisal.pdf",area-appraisal,"2 separate maps in different PDFsExtra documents are available. ",,,,44000780
D_139_FOE_CA4_2,139_FOE_CA4,"Blakeney and Awre","https://www.fdean.gov.uk/planning-and-building/historic-buildings-and-conservation-areas/conservation-area-maps-and-appraisals/",https://www.fdean.gov.uk/media/zp4dbk1h/blakeney-conservation-area.pdf,area-map,"2 separate maps in different PDFsExtra documents are available. ",,,,44000780
D_139_FOE_CA5_1,139_FOE_CA5,"Brockweir","https://www.fdean.gov.uk/planning-and-building/historic-buildings-and-conservation-areas/conservation-area-maps-and-appraisals/","No appraisal document",area-appraisal,"",,,,44006644
D_139_FOE_CA5_2,139_FOE_CA5,"Brockweir","https://www.fdean.gov.uk/planning-and-building/historic-buildings-and-conservation-areas/conservation-area-maps-and-appraisals/",https://www.fdean.gov.uk/media/xzjjwklr/brockweir-conservation-area.pdf,area-map,"",,,,44006644
