reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,ca_entity
117_EAT_CA1,"Bishopstoke",,"https://www.eastleigh.gov.uk/media/1947/bishopstoke-conservation-area-appraisal.pdf","https://www.eastleigh.gov.uk/planning-and-building/planning-policy-and-implementation/built-heritage/conservation-areas/bishopstoke",,,"Extra documents are available. Best Map is shown on page 10 of the appraisal document. ",,,,44001793
117_EAT_CA2,"Botley",,"https://www.eastleigh.gov.uk/media/1950/botley-conservation-area.pdf","https://www.eastleigh.gov.uk/planning-and-building/planning-policy-and-implementation/built-heritage/conservation-areas/botley",,,"Best Map is shown on page 2 of the appraisal document. ",,,,44001988
117_EAT_CA3,"Old Bursledon",,"https://www.eastleigh.gov.uk/media/1961/old-bursledon-appraisal-and-management-proposals.pdf","https://www.eastleigh.gov.uk/planning-and-building/planning-policy-and-implementation/built-heritage/conservation-areas/old-bursledon",,,"Extra documents are available. Best Map is shown on page 6 of the appraisal document. ",,,,44002142
117_EAT_CA4,"Bursledon Windmill",,"https://www.eastleigh.gov.uk/media/3010/bursledon-windmill-conservation-area.pdf","https://www.eastleigh.gov.uk/planning-and-building/planning-policy-and-implementation/built-heritage/conservation-areas/bursledon-windmill",,,"Extra documents are available. Best Map is shown on page 11 of the appraisal document. ",,,,44001804
117_EAT_CA5,"Gaters Mill & Romill Close, West End",,"https://www.eastleigh.gov.uk/media/1965/gaters-mill-and-romill-close-at-west-end.pdf","https://www.eastleigh.gov.uk/planning-and-building/planning-policy-and-implementation/built-heritage/conservation-areas/gaters-mill-and-romill-close",,,"Best Map is shown on page 2 of the appraisal document. ",,,,44001879
117_EAT_CA6,"Hamble-le-Rice",,"https://www.eastleigh.gov.uk/media/2035/hamble-le-rice-conservation-area-appraisal.pdf","https://www.eastleigh.gov.uk/planning-and-building/planning-policy-and-implementation/built-heritage/conservation-areas/hamble-le-rice",,,"Extra documents are available. Best Map is shown on page 1 of the appraisal document. ",,,,44002018
117_EAT_CA7,"Netley Abbey",,"https://www.eastleigh.gov.uk/media/2041/netley-abbey-conservation-area-appraisal.pdf","https://www.eastleigh.gov.uk/planning-and-building/planning-policy-and-implementation/built-heritage/conservation-areas/netley-abbey",,,"Extra documents are available. Best Map is shown on page 4 of the appraisal document. ",,,,44002285
117_EAT_CA8,"Orchards Way, Hedge End",,"https://www.eastleigh.gov.uk/media/2047/orchards-way-at-west-end-area-appraisal.pdf","https://www.eastleigh.gov.uk/planning-and-building/planning-policy-and-implementation/built-heritage/conservation-areas/orchards-way",,,"Best Map is shown on page 2 of the appraisal document. ",,,,44002303
