reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,ca_entity
165_HER_CA1,"Aldenham",,"No appraisal document","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx",,,"",,,,44007108
165_HER_CA2,"Bushey High Street and Melbourne Road",,"https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Bushey-High-Street-Conservation-Area-Appraisal-Report.pdf","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Bushey-High-Street-Conservation-Area.aspx",,,"Extra documents are available. ",,,,44007116
165_HER_CA3,"Bushey Heath, High Road",,"https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/BHHR-CA-Appraisal-April-2013.pdf","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Bushey-Heath-High-Road-Conservation-Area.aspx",,,"Extra documents are available. ",,,,44007110
165_HER_CA4,"Bushey Heath, The Lake",,"No appraisal document","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx",,,"Extra documents are available. ",,,,44007115
165_HER_CA5,"Elstree Village",,"https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Elstree-CA-appraisal-Nov-2014.pdf","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Elstree-Village-Conservation-Area.aspx",,,"Extra documents are available. ",,,,44006952
165_HER_CA6,"Letchmore Heath",,"No appraisal document","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx",,,"",,,,44007111
165_HER_CA7,"Patchetts Green and Delrow",,"No appraisal document","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx",,,"",,,,44007114
165_HER_CA8,"Potters Bar, The Royds",,"https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Royds-Appraisal-2014.pdf","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/The-Royds-CA.aspx",,,"Extra documents are available. ",,,,44007113
165_HER_CA9,"Radlett (South)",,"No appraisal document","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Radlett-South-Conservation-Area.aspx",,,"",,,,44006955
165_HER_CA10,"Radlett (North)",,"https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Radlett-North-Conservation-Area-Appraisal-Report-2010.pdf","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Radlett-(North)-Conservation-Area.aspx",,,"Extra documents are available. ",,,,44006954
165_HER_CA11,"Ridge",,"No appraisal document","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx",,,"",,,,44006956
165_HER_CA12,"Roundbush",,"No appraisal document","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx",,,"",,,,44007109
165_HER_CA13,"Shenley",,"https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Shenley-CA-Appraisal.pdf","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Shenley-Conservation-Area.aspx",,,"Extra documents are available. ",,,,44006957
165_HER_CA14,"South Mimms",,"https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/South-Mimms-CAAMP-Draft.pdf","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx",,,"Extra documents are available. ",,,,44007112
