reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,ca_entity
137_FAR_CA1,"Cams Hall",,"https://www.fareham.gov.uk/pdf/planning/cacacams.pdf","https://www.fareham.gov.uk/planning/conservation/camshall.aspx?close=True",,,"Extra documents are available. ",,,,44000821
137_FAR_CA2,"Catisfield",,"https://www.fareham.gov.uk/pdf/planning/cacacat.pdf","https://www.fareham.gov.uk/planning/conservation/catisfield.aspx",,,"Extra documents are available. ",,,,44000822
137_FAR_CA3,"Fareham High Street",,"https://www.fareham.gov.uk/pdf/planning/cacahighst.pdf","https://www.fareham.gov.uk/planning/conservation/farehamhighst.aspx",,,"Extra documents are available. ",,,,44000823
137_FAR_CA4,"Hook",,"https://www.fareham.gov.uk/pdf/planning/cacawars.pdf","https://www.fareham.gov.uk/planning/conservation/hook.aspx",,,"Extra documents are available. ",,,,44000824
137_FAR_CA5,"Osborn Road",,"https://www.fareham.gov.uk/pdf/planning/cacaosborn.pdf","https://www.fareham.gov.uk/planning/conservation/osbornrd.aspx",,,"Extra documents are available. ",,,,44000825
137_FAR_CA6,"Portchester, Castle Street",,"https://www.fareham.gov.uk/pdf/planning/cacaportch.pdf","https://www.fareham.gov.uk/planning/conservation/portchester.aspx",,,"Extra documents are available. ",,,,44000826
137_FAR_CA7,"Sarisbury Green",,"https://www.fareham.gov.uk/pdf/planning/cacasg.pdf","https://www.fareham.gov.uk/planning/conservation/sarisbury.aspx",,,"Extra documents are available. ",,,,44000827
137_FAR_CA8,"Swanwick Shore",,"https://www.fareham.gov.uk/pdf/planning/cacaswan.pdf","https://www.fareham.gov.uk/planning/conservation/swanwick.aspx",,,"Extra documents are available. ",,,,44000828
137_FAR_CA9,"Titchfield",,"https://www.fareham.gov.uk/PDF/planning/TitchCACharAppAdopted.pdf","https://www.fareham.gov.uk/planning/conservation/titchfield.aspx",,,"Extra documents are available. ",,,,44000829
137_FAR_CA10,"Titchfield Abbey",,"https://www.fareham.gov.uk/pdf/planning/cacatitchab.pdf","https://www.fareham.gov.uk/planning/conservation/titchfieldabbey.aspx",,,"Extra documents are available. ",,,,44000830
137_FAR_CA11,"Town Quay",,"https://www.fareham.gov.uk/pdf/planning/cacatq.pdf","https://www.fareham.gov.uk/planning/conservation/townquay.aspx",,,"Extra documents are available. ",,,,44000831
137_FAR_CA12,"Wallington",,"https://www.fareham.gov.uk/pdf/planning/cacawall.pdf","https://www.fareham.gov.uk/planning/conservation/wallington.aspx",,,"Extra documents are available. ",,,,44000832
137_FAR_CA13,"Warsash",,"https://www.fareham.gov.uk/pdf/planning/camwars.pdf","https://www.fareham.gov.uk/planning/conservation/warsash.aspx",,,"Extra documents are available. ",,,,44000833
