reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,ca_entity
149_GRA_CA1,"Cobham",,"https://drive.google.com/file/d/0B3rpRo7SzRqdSFZwM2dHSmNXRmM/view?usp=sharing&resourcekey=0-bTGqQ09iuPG1WnTKhM4G8g","https://www.gravesham.gov.uk/downloads/download/88/conservation-area-maps",,,"Extra documents are available. ",,,,44004102
149_GRA_CA2,"Chestnut Green",,"https://drive.google.com/file/d/0B3rpRo7SzRqdM01NVVlhc0hHSVU/view?usp=sharing&resourcekey=0-QCeLngrW6fwnxhw9QaUDVw","https://www.gravesham.gov.uk/downloads/download/88/conservation-area-maps",,,"Extra documents are available. ",,,,44004103
149_GRA_CA3,"Church Street, Higham",,"https://drive.google.com/file/d/0B3rpRo7SzRqdS0pSa1dOcTNuaWM/view?usp=sharing&resourcekey=0-2o5_-WnDaZkiXRbpl_cSlA","https://www.gravesham.gov.uk/downloads/download/88/conservation-area-maps",,,"Extra documents are available. ",,,,44004106
149_GRA_CA4,"Darnley Road",,"https://selfservice.gravesham.gov.uk:1443/WebDocs/Environment%20and%20Planning/Conservation_Areas/Darnely_Road_Appraisal.pdf","https://www.gravesham.gov.uk/downloads/download/88/conservation-area-maps",,,"Extra documents are available. ",,,,44004113
149_GRA_CA5,"Hook Green",,"https://drive.google.com/file/d/0B3rpRo7SzRqda2RYdUE3RWZ6RFU/view?usp=sharing&resourcekey=0-crEiTfLdMEfEeVWQCMuKAQ","https://www.gravesham.gov.uk/downloads/download/88/conservation-area-maps",,,"Extra documents are available. ",,,,44004101
149_GRA_CA6,"High Street and Queen Street",,"https://selfservice.gravesham.gov.uk:1443/WebDocs/Environment%20and%20Planning/Conservation_Areas/HIGH_St_Queen_St_Appraisal.pdf","https://www.gravesham.gov.uk/downloads/download/88/conservation-area-maps",,,"Extra documents are available. ",,,,44004119
149_GRA_CA7,"Harvel",,"https://drive.google.com/file/d/0B3rpRo7SzRqdQWdCMkJaOEhWbnM/view?usp=sharing&resourcekey=0-QMBgZ0tzKRKFEL-fGdZd9Q","https://www.gravesham.gov.uk/downloads/download/88/conservation-area-maps",,,"Extra documents are available. ",,,,44004099
149_GRA_CA8,"Harmer Street",,"https://selfservice.gravesham.gov.uk:1443/WebDocs/Environment%20and%20Planning/Conservation_Areas/Harmer_Street_Appraisal.pdf","https://www.gravesham.gov.uk/downloads/download/88/conservation-area-maps",,,"Extra documents are available. ",,,,44004116
149_GRA_CA9,"King Street",,"https://selfservice.gravesham.gov.uk:1443/WebDocs/Environment%20and%20Planning/Conservation_Areas/King_Street_Appraisal.pdf","https://www.gravesham.gov.uk/downloads/download/88/conservation-area-maps",,,"Extra documents are available. ",,,,44004115
149_GRA_CA10,"Gravesend Riverside",,"https://selfservice.gravesham.gov.uk:1443/WebDocs/Environment%20and%20Planning/Conservation_Areas/Riverside_Appraisal.pdf","https://www.gravesham.gov.uk/downloads/download/88/conservation-area-maps",,,"Extra documents are available. ",,,,44004118
149_GRA_CA11,"Lansdowne Square, Northfleet",,"https://selfservice.gravesham.gov.uk:1443/WebDocs/Environment%20and%20Planning/Conservation_Areas/Lansdowne_Square_Appraisal.pdf","https://www.gravesham.gov.uk/downloads/download/88/conservation-area-maps",,,"Extra documents are available. ",,,,44004114
