reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,ca_entity
D_219_MSU_CA1_1,219_MSU_CA1,"Badley","https://midsuffolk.gov.uk/w/conservation-area-appraisals-1","https://midsuffolk.gov.uk/documents/54707/127296/BADLEY-CAA-adopted.pdf/c2fb59e7-f9a1-65fd-dfb0-c81c4c4a2f7e?t=1685436904208",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",,,,44005980
D_219_MSU_CA2_1,219_MSU_CA2,"Beyton","https://midsuffolk.gov.uk/w/conservation-area-appraisals-1","https://midsuffolk.gov.uk/documents/54707/127296/Beyton2009CAA.pdf/16639601-74f8-5577-b9fe-0be3a99ecade?t=1685436906353",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",,,,44005968
D_219_MSU_CA3_1,219_MSU_CA3,"Botesdale / Rickinghall","https://midsuffolk.gov.uk/w/conservation-area-appraisals-1","https://midsuffolk.gov.uk/documents/54707/127296/Botesdale2011CAA.pdf/2133bf14-8a50-ae3b-828a-860ca2527ad9?t=1685436908924",area-appraisal,"Best Map is shown on page 2, P4, P6, P8 of the appraisal document. ",,,,44005996
D_219_MSU_CA4_1,219_MSU_CA4,"Coddenham","https://midsuffolk.gov.uk/w/conservation-area-appraisals-1","https://midsuffolk.gov.uk/documents/54707/127296/Coddenham2008CAA.pdf/e579531d-ec9a-2be7-4521-06eeff083b51?t=1685436910904",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",,,,44005987
D_219_MSU_CA5_1,219_MSU_CA5,"Debenham","https://midsuffolk.gov.uk/w/conservation-area-appraisals-1","https://midsuffolk.gov.uk/documents/54707/127296/Debenham2009CAA.pdf/4ed795c4-5495-670f-d048-0b9cb96687d1?t=1685436913307",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",,,,44005994
D_219_MSU_CA6_1,219_MSU_CA6,"Drinkstone Mills","https://midsuffolk.gov.uk/w/conservation-area-appraisals-1","https://midsuffolk.gov.uk/documents/54707/127296/DRINKSTONE.pdf/59f69e89-d925-9acd-ec0b-45650613a3c5?t=1685436915361",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",,,,44005978
D_219_MSU_CA7_1,219_MSU_CA7,"Eye","https://midsuffolk.gov.uk/w/conservation-area-appraisals-1","https://midsuffolk.gov.uk/documents/54707/127296/Eye2011CAA.pdf/6e0dfd9e-4bc6-8973-d0c4-e7c7d511fac8?t=1685436917838",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",,,,44005995
D_219_MSU_CA8_1,219_MSU_CA8,"Felsham","https://midsuffolk.gov.uk/w/conservation-area-appraisals-1","https://midsuffolk.gov.uk/documents/54707/127296/FELSHAM.pdf/ec5633cd-1b4f-f9ea-2239-f6338eaebb61?t=1685436923329",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",,,,44005979
D_219_MSU_CA9_1,219_MSU_CA9,"Finningham","https://midsuffolk.gov.uk/w/conservation-area-appraisals-1","https://midsuffolk.gov.uk/documents/54707/127296/Finningham2009CAA.pdf/f75261c5-fdfa-817f-d66c-2cba871aacca?t=1685436925297",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",,,,44005991
D_219_MSU_CA10_1,219_MSU_CA10,"Fressingfield","https://midsuffolk.gov.uk/w/conservation-area-appraisals-1","https://midsuffolk.gov.uk/documents/54707/127296/Fressingfield2008CAA.pdf/381a9b4f-dd11-d0a6-157d-a304968e0efd?t=1685436927802",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",,,,44005983
