reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,ca_entity
300_SLA_CA1,"Beetham",,"https://www.southlakeland.gov.uk/media/5868/beetham-conservation-area-character-appraisal.pdf","https://www.southlakeland.gov.uk/planning-and-building/conservation/conservation-areas/",,,"Extra documents are available. ",,,,44006355
300_SLA_CA2,"Burton in Kendal",,"https://www.southlakeland.gov.uk/media/5566/burton-character-appraisal-oct-2009.pdf","https://www.southlakeland.gov.uk/planning-and-building/conservation/conservation-areas/",,,"Extra documents are available. ",,,,44006361
300_SLA_CA3,"Cartmel",,"https://www.southlakeland.gov.uk/media/5869/cartmel-conservation-area-character-appraisal.pdf","https://www.southlakeland.gov.uk/planning-and-building/conservation/conservation-areas/",,,"Extra documents are available. ",,,,44006359
300_SLA_CA4,"Grange-Over-Sands",,"https://www.southlakeland.gov.uk/media/1659/01-grange-c-character-appraisal-16806.pdf","https://www.southlakeland.gov.uk/planning-and-building/conservation/conservation-areas/",,,"Extra documents are available. ",,,,44006358
300_SLA_CA5,"Heversham",,"https://www.southlakeland.gov.uk/media/5562/heversham-character-appraisal-8-april-2009.pdf","https://www.southlakeland.gov.uk/planning-and-building/conservation/conservation-areas/",,,"Extra documents are available. ",,,,44006360
300_SLA_CA6,"Kendal",,"https://www.southlakeland.gov.uk/media/1667/01-kendal-ca-character-appraisal-51207.pdf","https://www.southlakeland.gov.uk/planning-and-building/conservation/conservation-areas/",,,"Extra documents are available. ",,,,44006354
300_SLA_CA7,"Kirby Lonsdale",,"https://www.southlakeland.gov.uk/media/1689/kirkby-lonsdale-c-character-appraisal-13508.pdf","https://www.southlakeland.gov.uk/planning-and-building/conservation/conservation-areas/",,,"Extra documents are available. ",,,,44006683
300_SLA_CA8,"Milnthorpe",,"https://www.southlakeland.gov.uk/media/5554/milnthorpe-character-appraisal-dec-2009.pdf","https://www.southlakeland.gov.uk/planning-and-building/conservation/conservation-areas/",,,"Extra documents are available. ",,,,44006362
300_SLA_CA9,"Newland Furrnace",,"https://www.southlakeland.gov.uk/media/5691/character-appraisal-newland-furnace-conservation-area.pdf","https://www.southlakeland.gov.uk/planning-and-building/conservation/conservation-areas/",,,"Extra documents are available. ",,,,44006356
300_SLA_CA10,"Ulverston",,"https://www.southlakeland.gov.uk/media/5690/character-appraisal-ulverston-conservation-area.pdf","https://www.southlakeland.gov.uk/planning-and-building/conservation/conservation-areas/",,,"Extra documents are available. ",,,,44006357
