reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_SUA_10003_CA_11_1,SUA_10003_CA_11,"Bridgwater, Church St and St John's","https://www.somerset.gov.uk/planning-buildings-and-land/heritage-and-landscape/conservation-areas/conservation-areas-maps-and-appraisals/","https://somersetcc.sharepoint.com/sites/SCCPublic/Other%20Sites/Forms/AllItems.aspx?id=%2Fsites%2FSCCPublic%2FOther%20Sites%2FContent%20for%20new%20Somerset%20site%2FPlanning%2C%20buildings%20and%20land%2FContent%20supplied%20by%20service%2FHeritage%20and%20landscape%2FOur%20proof%20read%20versions%2FConservation%20Areas%20Maps%20and%20Appraisals%2FSedgemoor%2FBridgwater%5FSt%5FJohn%27s%5FCAA%5F%5F%5FMP%5FAdopted%5F%2D%5Fweb%20%281%29%2Epdf&parent=%2Fsites%2FSCCPublic%2FOther%20Sites%2FContent%20for%20new%20Somerset%20site%2FPlanning%2C%20buildings%20and%20land%2FContent%20supplied%20by%20service%2FHeritage%20and%20landscape%2FOur%20proof%20read%20versions%2FConservation%20Areas%20Maps%20and%20Appraisals%2FSedgemoor&p=true&ga=1",area-appraisal,,,,,44007872.0
D_SUA_10003_CA_12_1,SUA_10003_CA_12,"Bridgwater, Northfield","https://www.somerset.gov.uk/planning-buildings-and-land/heritage-and-landscape/conservation-areas/conservation-areas-maps-and-appraisals/","",area-appraisal,,,,,44003394.0
D_SUA_10003_CA_13_1,SUA_10003_CA_13,"Bruton","https://www.somerset.gov.uk/planning-buildings-and-land/heritage-and-landscape/conservation-areas/conservation-areas-maps-and-appraisals/?district=South+Somerset","https://somersetcc.sharepoint.com/:b:/s/SCCPublic/ETmgY2tXgw9GjGc-QRou8B8BJMdDhlBnD00NpUIurjWrMg?e=YuybeB",area-appraisal,,,,,44003386.0
D_SUA_10003_CA_14_1,SUA_10003_CA_14,"Buckland St Mary","https://somersetcc.sharepoint.com/sites/SCCPublic/Other%20Sites/Forms/AllItems.aspx?id=%2Fsites%2FSCCPublic%2FOther%20Sites%2FContent%20for%20new%20Somerset%20site%2FPlanning%2C%20buildings%20and%20land%2FContent%20supplied%20by%20service%2FHeritage%20and%20landscape%2FOur%20proof%20read%20versions%2FConservation%20Areas%20Maps%20and%20Appraisals%2FSouth%20Somerset%2F1%2E%20conservation%5Fareas%5Fin%5Fsouth%5Fsomerset%2Epdf&parent=%2Fsites%2FSCCPublic%2FOther%20Sites%2FContent%20for%20new%20Somerset%20site%2FPlanning%2C%20buildings%20and%20land%2FContent%20supplied%20by%20service%2FHeritage%20and%20landscape%2FOur%20proof%20read%20versions%2FConservation%20Areas%20Maps%20and%20Appraisals%2FSouth%20Somerset&p=true&ga=1","",area-appraisal,,,,,44003320.0
D_SUA_10003_CA_15_1,SUA_10003_CA_15,"Burnham-on-Sea","https://www.somerset.gov.uk/planning-buildings-and-land/heritage-and-landscape/conservation-areas/conservation-areas-maps-and-appraisals/","",area-appraisal,,,,,44003401.0
D_SUA_10003_CA_16_1,SUA_10003_CA_16,"Cadbury Castle","https://somersetcc.sharepoint.com/sites/SCCPublic/Other%20Sites/Forms/AllItems.aspx?id=%2Fsites%2FSCCPublic%2FOther%20Sites%2FContent%20for%20new%20Somerset%20site%2FPlanning%2C%20buildings%20and%20land%2FContent%20supplied%20by%20service%2FHeritage%20and%20landscape%2FOur%20proof%20read%20versions%2FConservation%20Areas%20Maps%20and%20Appraisals%2FSouth%20Somerset%2F1%2E%20conservation%5Fareas%5Fin%5Fsouth%5Fsomerset%2Epdf&parent=%2Fsites%2FSCCPublic%2FOther%20Sites%2FContent%20for%20new%20Somerset%20site%2FPlanning%2C%20buildings%20and%20land%2FContent%20supplied%20by%20service%2FHeritage%20and%20landscape%2FOur%20proof%20read%20versions%2FConservation%20Areas%20Maps%20and%20Appraisals%2FSouth%20Somerset&p=true&ga=1","",area-appraisal,,,,,44003345.0
D_SUA_10003_CA_17_1,SUA_10003_CA_17,"Cannington","https://www.somerset.gov.uk/planning-buildings-and-land/heritage-and-landscape/conservation-areas/conservation-areas-maps-and-appraisals/","",area-appraisal,,,,,44007871.0
D_SUA_10003_CA_18_1,SUA_10003_CA_18,"Castle Cary","https://www.somerset.gov.uk/planning-buildings-and-land/heritage-and-landscape/conservation-areas/conservation-areas-maps-and-appraisals/?district=South+Somerset","https://somersetcc.sharepoint.com/:b:/s/SCCPublic/EbnTyyGYjKRDv6ztFWzV118BFtGsPiBsDcAStHmLZwTJAQ?e=55Jwri",area-appraisal,,,,,44003385.0
D_SUA_10003_CA_19_1,SUA_10003_CA_19,"Chaffcombe","https://somersetcc.sharepoint.com/sites/SCCPublic/Other%20Sites/Forms/AllItems.aspx?id=%2Fsites%2FSCCPublic%2FOther%20Sites%2FContent%20for%20new%20Somerset%20site%2FPlanning%2C%20buildings%20and%20land%2FContent%20supplied%20by%20service%2FHeritage%20and%20landscape%2FOur%20proof%20read%20versions%2FConservation%20Areas%20Maps%20and%20Appraisals%2FSouth%20Somerset%2F1%2E%20conservation%5Fareas%5Fin%5Fsouth%5Fsomerset%2Epdf&parent=%2Fsites%2FSCCPublic%2FOther%20Sites%2FContent%20for%20new%20Somerset%20site%2FPlanning%2C%20buildings%20and%20land%2FContent%20supplied%20by%20service%2FHeritage%20and%20landscape%2FOur%20proof%20read%20versions%2FConservation%20Areas%20Maps%20and%20Appraisals%2FSouth%20Somerset&p=true&ga=1","",area-appraisal,,,,,44003346.0
D_SUA_10003_CA_20_1,SUA_10003_CA_20,"Chard","https://www.somerset.gov.uk/planning-buildings-and-land/heritage-and-landscape/conservation-areas/conservation-areas-maps-and-appraisals/?district=South+Somerset","https://somersetcc.sharepoint.com/sites/SCCPublic/Other%20Sites/Forms/AllItems.aspx?id=%2Fsites%2FSCCPublic%2FOther%20Sites%2FContent%20for%20new%20Somerset%20site%2FPlanning%2C%20buildings%20and%20land%2FContent%20supplied%20by%20service%2FHeritage%20and%20landscape%2FOur%20proof%20read%20versions%2FConservation%20Areas%20Maps%20and%20Appraisals%2FSouth%20Somerset%2F6%2E%20chard%2Dconservation%2Darea%2Dappraisal%2Epdf&parent=%2Fsites%2FSCCPublic%2FOther%20Sites%2FContent%20for%20new%20Somerset%20site%2FPlanning%2C%20buildings%20and%20land%2FContent%20supplied%20by%20service%2FHeritage%20and%20landscape%2FOur%20proof%20read%20versions%2FConservation%20Areas%20Maps%20and%20Appraisals%2FSouth%20Somerset&p=true&ga=1",area-appraisal,,,,,44005256.0
