reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
Q72617669_402_CA_1,"Ampleforth",,"https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans/Ampleforth-Conservation-Area-Appraisal.pdf","https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans","  Extra documents are available. ",,,,Q72617669_402_CA_1_New
Q72617669_402_CA_2,"Castleton",,"https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans/Castleton-PDF.pdf","https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans","  Best Map is shown on page 7 of the appraisal document. ",,,,44000638.0
Q72617669_402_CA_3,"Fylingthorpe",,"https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans/Fylingthorpe-PDF.pdf","https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans","  Best Map is shown on page 7 of the appraisal document. ",,,,44000632.0
Q72617669_402_CA_4,"Helmsley",,"https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans/Helmsley-Conservation-Area-Appraisal.pdf","https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans","  Best Map is shown on page 23 of the appraisal document. ",,,,44006273.0
Q72617669_402_CA_5,"Hutton Lowcross",,"https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans/Hutton-Lowcross.pdf","https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans","  Best Map is shown on page 5 of the appraisal document. ",,,,44000651.0
Q72617669_402_CA_6,"Osmotherley",,"https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans/Osmotherley-PDF.pdf","https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans","  Best Map is shown on page 7 of the appraisal document. ",,,,44000641.0
Q72617669_402_CA_7,"Oswaldkirk",,"https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans/Oswaldkirk-Conservation-Area-Appraisal-Final.pdf","https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans","  Best Map is shown on page 47 of the appraisal document. ",,,,Q72617669_402_CA_7_New
Q72617669_402_CA_8,"Robin Hood's Bay",,"https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans/Robin-Hoods-Bay-PDF.pdf","https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans","  Best Map is shown on page 6 of the appraisal document. ",,,,44000532.0
Q72617669_402_CA_9,"Sandsend",,"https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans/Sandsend.pdf","https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans","  Extra documents are available. ",,,,Q72617669_402_CA_9_New
Q72617669_402_CA_10,"Scalby",,"https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans/Scalby-Character-Appraisal-Adopted-Jan-08.pdf","https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans","  Extra documents are available. ",,,,Q72617669_402_CA_10_New
Q72617669_402_CA_11,"Staithes",,"https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans/Staithes.pdf","https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans","  Best Map is shown on page 41 of the appraisal document. ",,,,44000649.0
Q72617669_402_CA_12,"Thornton-le-Dale",,"https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans/Thornton-le-Dale-CACA-Nov-2017-for-consultation.pdf","https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans","  Best Map is shown on page 11 of the appraisal document. ",,,,44000535.0
Q72617669_402_CA_13,"East and West Ayton",,"https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans/CAAMP-FINAL-JUNE-2014.pdf","https://www.northyorkmoors.org.uk/planning/building-conservation/conservation-areas/conservation-area-appraisal-and-management-plans","  Extra documents are available. ",,,,44006274.0
