reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
HAE_154_CA_30,"Newton-on-Ouse",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1994-12-08,,44000368.0
HAE_154_CA_31,"Northallerton",,"https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/heritage_conservation_areas_and_listed_buildings/Northallerton_conservation_area_appraisal_ilovepdf_compressed.pdf","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/conservation-areas"," ",,1987-04-21,,44004779.0
HAE_154_CA_32,"Oulston",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1997-10-14,,44000359.0
HAE_154_CA_33,"Pickhill",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1990-02-21,,44000513.0
HAE_154_CA_34,"Romanby",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1987-04-21,,44000370.0
HAE_154_CA_35,"Sandhutton",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1990-02-27,,44006203.0
HAE_154_CA_36,"Scruton",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1994-12-08,,44000501.0
HAE_154_CA_37,"Sessay",,"https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/heritage_conservation_areas_and_listed_buildings/Sessay_Draft_CAA.pdf","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/conservation-areas"," ",,2017-12-12,,HAE_154_CA_37_New
HAE_154_CA_38,"Snape",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1986-02-28,,44000371.0
HAE_154_CA_39,"Stillington",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1976-10-20,,44000503.0
