reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
CHE_79_CA_1,"Acton",,"https://www.cheshireeast.gov.uk/pdf/environment/conservation-areas/acton%20conservation%20area%20character%20appraisal%20%20management%20strategy%20-%20with%20pdf%20maps.pdf","https://www.cheshireeast.gov.uk/environment/heritage_natural_environment/heritage-conservation-areas-and-listed-buildings/conservation-areas/conservation_areas_appraisals/conservation_areas_appraisals.aspx"," ",,2007-06-28,,CHE_79_CA_1_New
CHE_79_CA_2,"Alderley Edge",,"https://www.cheshireeast.gov.uk/pdf/environment/conservation-areas/alderley-edge-conservation-area-appraisal-pdf-final-11-08-22.pdf","https://www.cheshireeast.gov.uk/environment/heritage_natural_environment/heritage-conservation-areas-and-listed-buildings/conservation-areas/conservation_areas_appraisals/conservation_areas_appraisals.aspx"," ",,1974-01-01,,CHE_79_CA_2_New
CHE_79_CA_3,"Alsager",,"https://www.cheshireeast.gov.uk/pdf/environment/conservation-areas/alsager-conservation-area-appraisal.pdf","https://www.cheshireeast.gov.uk/environment/heritage_natural_environment/heritage-conservation-areas-and-listed-buildings/conservation-areas/conservation_areas_appraisals/conservation_areas_appraisals.aspx"," ",,1981-01-01,,CHE_79_CA_3_New
CHE_79_CA_4,"Arley, Aston by Budworth Parish",,"","https://www.cheshireeast.gov.uk/environment/heritage_natural_environment/heritage-conservation-areas-and-listed-buildings/conservation-areas/conservation_areas_appraisals/conservation_areas_appraisals.aspx","No Appraisal document.  ",,,,CHE_79_CA_4_New
CHE_79_CA_5,"Astbury",,"https://www.cheshireeast.gov.uk/pdf/environment/conservation-areas/astbury-spd.pdf","https://www.cheshireeast.gov.uk/environment/heritage_natural_environment/heritage-conservation-areas-and-listed-buildings/conservation-areas/conservation_areas_appraisals/conservation_areas_appraisals.aspx"," ",,2008-01-01,,CHE_79_CA_5_New
CHE_79_CA_6,"Aston",,"https://www.cheshireeast.gov.uk/pdf/environment/conservation-areas/aston%20conservation%20area%20character%20appraisal%20%20management%20strategy%20-%20with%20pdf%20maps.pdf","https://www.cheshireeast.gov.uk/environment/heritage_natural_environment/heritage-conservation-areas-and-listed-buildings/conservation-areas/conservation_areas_appraisals/conservation_areas_appraisals.aspx"," ",,2008-04-29,,CHE_79_CA_6_New
CHE_79_CA_7,"Audlem",,"https://www.cheshireeast.gov.uk/pdf/environment/conservation-areas/audlem%20conservation%20area%20appraisal%20%20management%20strategy%20-%20with%20pdf%20maps%20(2).pdf","https://www.cheshireeast.gov.uk/environment/heritage_natural_environment/heritage-conservation-areas-and-listed-buildings/conservation-areas/conservation_areas_appraisals/conservation_areas_appraisals.aspx"," ",,2008-04-29,,CHE_79_CA_7_New
CHE_79_CA_8,"Audlem â€“ Woore Road",,"","https://www.cheshireeast.gov.uk/environment/heritage_natural_environment/heritage-conservation-areas-and-listed-buildings/conservation-areas/conservation_areas_appraisals/conservation_areas_appraisals.aspx","No Appraisal document.  ",,,,CHE_79_CA_8_New
CHE_79_CA_9,"Barracks Square",,"","https://www.cheshireeast.gov.uk/environment/heritage_natural_environment/heritage-conservation-areas-and-listed-buildings/conservation-areas/conservation_areas_appraisals/conservation_areas_appraisals.aspx","No Appraisal document.  ",,,,CHE_79_CA_9_New
CHE_79_CA_10,"Barthomley",,"https://www.cheshireeast.gov.uk/pdf/environment/conservation-areas/bollington-and-kerridge.pdf","https://www.cheshireeast.gov.uk/environment/heritage_natural_environment/heritage-conservation-areas-and-listed-buildings/conservation-areas/conservation_areas_appraisals/conservation_areas_appraisals.aspx"," ",,2007-06-28,,CHE_79_CA_10_New
