reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
Q4972284_399_CA_1,"Beccles",,"https://www.broads-authority.gov.uk/__data/assets/pdf_file/0013/304033/Beccles-Conservation-Area-Appraisal-2014.pdf","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas","Character Statement ",,,,Q4972284_399_CA_1_New
Q4972284_399_CA_2,"Belaugh",,"https://www.broads-authority.gov.uk/__data/assets/pdf_file/0023/408605/Belaugh-Conservation-Area-Appraisal.pdf","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas"," ",,2021-10-08,,44004527.0
Q4972284_399_CA_3,"Bungay",,"","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas","No Appraisal document.  ",,,,Q4972284_399_CA_3_New
Q4972284_399_CA_4,"Coltishall and Horstead",,"https://www.broads-authority.gov.uk/__data/assets/pdf_file/0016/304036/Coltishall-and-Horstead-Conservation-Area-Appraisal-1983.pdf","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas"," ",,1983-08-01,,44004536.0
Q4972284_399_CA_5,"Ditchingham Dam",,"https://www.broads-authority.gov.uk/__data/assets/pdf_file/0017/304037/Ditchingham-Conservation-Area-Appraisal-2013.pdf","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas"," ",,2013-03-01,,44004524.0
Q4972284_399_CA_6,"Ellingham Mill",,"https://www.broads-authority.gov.uk/__data/assets/pdf_file/0018/304038/Ellingham-Conservation-Area-Appraisal-2013.pdf","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas"," ",,2013-03-01,,44006524.0
Q4972284_399_CA_7,"Geldeston",,"https://www.broads-authority.gov.uk/__data/assets/pdf_file/0019/304039/Geldeston-Conservation-Area-Appraisal-2013.pdf","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas"," ",,2013-03-01,,Q4972284_399_CA_7_New
Q4972284_399_CA_8,"Halvergate Marshes",,"https://www.broads-authority.gov.uk/__data/assets/pdf_file/0012/304041/Halvergate-Marshes-Conservation-Area-Appraisal-2015.pdf","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas"," ",,2015-03-20,,44004525.0
Q4972284_399_CA_9,"Halvergate & Tunstall",,"https://www.broads-authority.gov.uk/__data/assets/pdf_file/0011/304040/Halvergate-and-Tunstall-CAA-2023.pdf","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas"," ",,2023-09-15,,Q4972284_399_CA_9_New
Q4972284_399_CA_10,"Horning",,"","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas","No Appraisal document.  ",,,,44000138.0
Q4972284_399_CA_11,"Langley Abbey",,"https://www.broads-authority.gov.uk/__data/assets/pdf_file/0013/304042/Langley-Abbey-Conservation-Area-Appraisal-2014.pdf","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas"," ",,2014-02-01,,44001690.0
Q4972284_399_CA_12,"Loddon and Chedgrave",,"https://www.broads-authority.gov.uk/__data/assets/pdf_file/0014/304043/Loddon-and-Chedgrave-Conservation-Area-Appraisal-2016.pdf","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas","Character Statement ",,,,44006528.0
Q4972284_399_CA_13,"Ludham",,"https://www.broads-authority.gov.uk/__data/assets/pdf_file/0014/374000/Ludham-Conservation-Area-Appraisal.pdf","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas"," ",,2020-09-01,,44000131.0
Q4972284_399_CA_14,"Neatishead",,"https://www.broads-authority.gov.uk/__data/assets/pdf_file/0015/304044/Neatishead-Conservation-Area-Appraisal-2011.pdf","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas"," ",,2011-05-01,,44000137.0
Q4972284_399_CA_15,"Bracondale",,"https://www.broads-authority.gov.uk/__data/assets/pdf_file/0016/304045/Norwich-Bracondale-Conservation-Area-Appraisal-2011.pdf","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas"," ",,1970-02-03,,Q4972284_399_CA_15_New
Q4972284_399_CA_16,"St Matthews",,"https://www.broads-authority.gov.uk/__data/assets/pdf_file/0018/304047/Norwich-St-Matthews-Conservation-Area-Appraisal-2007.pdf","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas"," ",,2007-03-21,,Q4972284_399_CA_16_New
Q4972284_399_CA_17,"Norwich City Centre",,"https://www.broads-authority.gov.uk/__data/assets/pdf_file/0017/304046/Norwich-City-Centre-Conservation-Area-Appraisal-2007.pdf","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas"," ",,2007-09-01,,Q4972284_399_CA_17_New
Q4972284_399_CA_18,"Oulton Broad ",,"https://www.broads-authority.gov.uk/__data/assets/pdf_file/0030/355449/Oulton-Broad-Conservation-Area-appraisal-adopted-July-2015.pdf","https://www.broads-authority.gov.uk/planning/other-planning-issues/conservation-areas"," ",,2015-07-01,,Q4972284_399_CA_18_New
