reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_HAO_158_CA_16_1,HAO_158_CA_16,"East Norton","","",area-appraisal,,,2007-07-16,,44009345.0
D_HAO_158_CA_16_2,HAO_158_CA_16,"East Norton","",https://www.harborough.gov.uk/download/downloads/id/1625/east_norton_conservation_area_mappdf.pdf,area-map,,,2007-07-16,,44009345.0
D_HAO_158_CA_17_1,HAO_158_CA_17,"Foxton","","",area-appraisal,,,2006-07-10,,44009346.0
D_HAO_158_CA_17_2,HAO_158_CA_17,"Foxton","",https://www.harborough.gov.uk/download/downloads/id/1626/foxton_conservation_area_mappdf.pdf,area-map,,,2006-07-10,,44009346.0
D_HAO_158_CA_18_1,HAO_158_CA_18,"Gaulby","https://www.harborough.gov.uk/directory/20/a_to_z/G","",area-appraisal,,,2007-07-16,,44009347.0
D_HAO_158_CA_18_2,HAO_158_CA_18,"Gaulby","https://www.harborough.gov.uk/directory/20/a_to_z/G",https://www.harborough.gov.uk/download/downloads/id/1627/gaulby_conservation_area_mappdf.pdf,area-map,,,2007-07-16,,44009347.0
D_HAO_158_CA_19_1,HAO_158_CA_19,"Great Bowden","https://www.harborough.gov.uk/directory/20/a_to_z/G","",area-appraisal,,,2005-03-09,,44009348.0
D_HAO_158_CA_19_2,HAO_158_CA_19,"Great Bowden","https://www.harborough.gov.uk/directory/20/a_to_z/G",https://www.harborough.gov.uk/download/downloads/id/1628/great_bowden_conservation_area_mappdf.pdf,area-map,,,2005-03-09,,44009348.0
D_HAO_158_CA_20_1,HAO_158_CA_20,"Great Easton","https://www.harborough.gov.uk/directory/20/a_to_z/G","",area-appraisal,,,2005-03-09,,44009349.0
D_HAO_158_CA_20_2,HAO_158_CA_20,"Great Easton","https://www.harborough.gov.uk/directory/20/a_to_z/G",https://www.harborough.gov.uk/download/downloads/id/8569/great_easton_conservation_area_map.pdf,area-map,,,2005-03-09,,44009349.0
D_HAO_158_CA_21_1,HAO_158_CA_21,"Gumley","https://www.harborough.gov.uk/directory/20/a_to_z/G","",area-appraisal,,,2007-07-16,,44009350.0
D_HAO_158_CA_21_2,HAO_158_CA_21,"Gumley","https://www.harborough.gov.uk/directory/20/a_to_z/G",https://www.harborough.gov.uk/download/downloads/id/1630/gumley_conservation_area_mappdf.pdf,area-map,,,2007-07-16,,44009350.0
