reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
COP_93_CA_1,"Beckermet",,"https://copeland.moderngov.co.uk/documents/s5074/2017-11-21%20-%20Item%205%20-%20Appendix%201%20Beckermet%20Conservation%20Area%20Appraisal.pdf","https://www.copeland.gov.uk/content/conservation-and-design-documents-and-guidance","Error 404 ",,,,44000250.0
COP_93_CA_2,"Cleator Moor",,"https://www.copeland.gov.uk/sites/default/files/attachments/cleator_moor_conservation_area.pdf","https://www.copeland.gov.uk/content/conservation-and-design-documents-and-guidance","  Best Map is shown on page 41 of the appraisal document. ",,,,44000248.0
COP_93_CA_3,"Egremont",,"https://copeland.moderngov.co.uk/documents/s10830/Item%206%20App%202%20Egremont%20Conservation%20Area%20Appraisal%20Apr%202021.pdf","https://www.copeland.gov.uk/content/conservation-and-design-documents-and-guidance","Error 404 ",,,,44000249.0
COP_93_CA_4,"Millom",,"https://copeland.moderngov.co.uk/documents/s10832/Item%206%20App%204%20Millom%20Conservation%20Area%20Appraisal%20Apr%202021.pdf","https://www.copeland.gov.uk/content/conservation-and-design-documents-and-guidance","Error 404 ",,,,44000251.0
COP_93_CA_5,"St Bees",,"https://www.copeland.gov.uk/attachments/st-bees-conservation-area-appraisals","https://www.copeland.gov.uk/content/conservation-and-design-documents-and-guidance","  Best Map is shown on page 10 of the appraisal document. ",,,,44006213.0
COP_93_CA_6,"Corkickle",,"https://copeland.moderngov.co.uk/documents/s5075/2017-11-21%20-%20Item%205%20-%20Appendix%202%20Corkickle%20Conservation%20Area%20Appraisal.pdf","https://www.copeland.gov.uk/content/conservation-and-design-documents-and-guidance","Error 404 ",,,,44000246.0
COP_93_CA_7,"Hensingham",,"https://copeland.moderngov.co.uk/documents/s10831/Item%206%20App%203%20Hensingham%20Conservation%20Area%20Appraisal%20Apr%202021.pdf","https://www.copeland.gov.uk/content/conservation-and-design-documents-and-guidance","Error 404 ",,,,44000247.0
COP_93_CA_8,"Whitehaven Town Centre",,"https://www.copeland.gov.uk/sites/default/files/attachments/ldfwhaventcandhstconservationareaca09.pdf","https://www.copeland.gov.uk/content/conservation-and-design-documents-and-guidance","  Best Map is shown on page 18 of the appraisal document. ",,,,44004836.0
