reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,ca_entity
227_NEL_CA1,"Bradford Avenue",,"","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","No appraisal document",,,,44006200
227_NEL_CA2,"Central Grimsby",,"https://www.nelincs.gov.uk/assets/uploads/2016/02/Central-Grimsby-CAAMP-Adopted.pdf","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","Best Map is shown on page 40 of the appraisal document. ",,,,44006666
227_NEL_CA3,"Cleethorpes",,"https://www.nelincs.gov.uk/assets/uploads/2016/02/Central-Cleethorpes-Seafront-Conservation-Area-Appraisal-and-Management-Plan-for-public-consultation.pdf","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","Extra documents are available. Best Map is shown on page 41 of the appraisal document. ",,,,44006201
227_NEL_CA4,"Cottagers Plot",,"","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","No appraisal document",,,,44003615
227_NEL_CA5,"Great Coates",,"","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","No appraisal document",,,,44003620
227_NEL_CA6,"Holme Hill",,"","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","No appraisal document",,,,44003618
227_NEL_CA7,"Humberston",,"","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","No appraisal document",,,,44006202
227_NEL_CA8,"Humberston Fitties",,"https://www.nelincs.gov.uk/assets/uploads/2016/02/Chalet-Design-Guide.pdf","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","Extra documents are available. ",,,,44003621
227_NEL_CA9,"Irby upon Humber",,"","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","No appraisal document",,,,44003619
227_NEL_CA10,"The Kasbah",,"https://www.nelincs.gov.uk/assets/uploads/2016/02/ADOPTED-The-Kasbah-A-Statement-in-Support-of-the-Designation-of-a-Conservation-Area.pdf","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","Best Map is shown on page 6 of the appraisal document. ",,,,44006668
227_NEL_CA11,"Laceby",,"","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","No appraisal document",,,,44003614
227_NEL_CA12,"Mill Road",,"","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","No appraisal document",,,,44003622
227_NEL_CA13,"Old Clee",,"","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","No appraisal document",,,,44003617
227_NEL_CA14,"Scartho",,"","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","No appraisal document",,,,44006667
227_NEL_CA15,"Victoria Mills",,"","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","No appraisal document",,,,44003616
227_NEL_CA16,"Waltham",,"https://www.nelincs.gov.uk/assets/uploads/2016/02/Waltham-CAA-MP-Adopted.pdf","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","Best Map is shown on page 10 of the appraisal document. ",,,,44006669
227_NEL_CA17,"Wellow",,"","https://www.nelincs.gov.uk/planning-and-building-control/heritage-and-conservation/","No appraisal document",,,,44006670
