reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,ca_entity
199_LIC_CA1,"Cathedral and City Centre",,"","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads","No appraisal document",,,,44009265
199_LIC_CA2,"St Peter-at-Gowts",,"","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads","No appraisal document",,,,44009266
199_LIC_CA3,"Lindum and Arboretum",,"","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads","No appraisal document",,,,44009267
199_LIC_CA4,"St Catherines",,"","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads","No appraisal document",,,,44009268
199_LIC_CA5,"Gowts Bridge",,"","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads","No appraisal document",,,,44009275
199_LIC_CA6,"West Parade and Brayford",,"","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads","No appraisal document",,,,44009269
199_LIC_CA7,"Sibthorp",,"","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads","No appraisal document",,,,44009270
199_LIC_CA8,"Carline",,"","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads","No appraisal document",,,,44009271
199_LIC_CA9,"Newport and Nettleham Road",,"","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads","No appraisal document",,,,44009272
199_LIC_CA10,"The Dell",,"","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads","No appraisal document",,,,44009273
199_LIC_CA11,"Swanpool",,"","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads","No appraisal document",,,,44009274
