reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,ca_entity
296_SHO_CA1,"Tydd Gote",,"","https://www.sholland.gov.uk/mapping","Polygons on interactive map. No appraisal document",,,,44001582
296_SHO_CA2,"Tydd St Mary",,"","https://www.sholland.gov.uk/mapping","Polygons on interactive map. No appraisal document",,,,44001581
296_SHO_CA3,"Long Sutton",,"","https://www.sholland.gov.uk/mapping","Polygons on interactive map. No appraisal document",,,,44001583
296_SHO_CA4,"Gedney Dawsmere",,"","https://www.sholland.gov.uk/mapping","Polygons on interactive map. No appraisal document",,,,44001584
296_SHO_CA5,"Fleet",,"","https://www.sholland.gov.uk/mapping","Polygons on interactive map. No appraisal document",,,,44001579
296_SHO_CA6,"Fleet Hargate",,"","https://www.sholland.gov.uk/mapping","Polygons on interactive map. No appraisal document",,,,44001580
296_SHO_CA7,"Holbeach",,"","https://www.sholland.gov.uk/mapping","Polygons on interactive map. No appraisal document",,,,44005910
296_SHO_CA8,"Moulton",,"","https://www.sholland.gov.uk/mapping","Polygons on interactive map. No appraisal document",,,,44001578
296_SHO_CA9,"Crowland",,"","https://www.sholland.gov.uk/mapping","Polygons on interactive map. No appraisal document",,,,44001585
296_SHO_CA10,"Spalding",,"","https://www.sholland.gov.uk/mapping","Polygons on interactive map. No appraisal document",,,,44001575
296_SHO_CA11,"Pinchbeck",,"","https://www.sholland.gov.uk/mapping","Polygons on interactive map. No appraisal document",,,,44005911
296_SHO_CA12,"Gosberton",,"","https://www.sholland.gov.uk/mapping","Polygons on interactive map. No appraisal document",,,,44001576
296_SHO_CA13,"Donnington",,"","https://www.sholland.gov.uk/mapping","Polygons on interactive map. No appraisal document",,,,44001577
