reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,ca_entity
56_BRA_CA1,"Ashen",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive map. No appraisal document",,,,44001078
56_BRA_CA2,"Belchamp Otten",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive map. No appraisal document",,,,44001079
56_BRA_CA3,"Belchamp St. Paul",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive map. No appraisal document",,,,44001092
56_BRA_CA4,"Belchamp Walter",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive map. No appraisal document",,,,44001630
56_BRA_CA5,"Birdbrook",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive map. No appraisal document",,,,44001080
56_BRA_CA6,"Bocking Church Street",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive map. No appraisal document",,,,44001102
56_BRA_CA7,"Braintree Town Centre and Bradford Street",,"https://www.braintree.gov.uk/downloads/file/3793/braintree-town-centre-conservation-area-character-appraisal-and-management-plan-august-2023","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive mapBest Map is shown on page 4 of the appraisal document. ",,,,44005701
56_BRA_CA8,"Bulmer",,"https://www.braintree.gov.uk/downloads/file/1647/bulmer-conservation-area-appraisal-february-2009","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive mapBest Map is shown on page 35 of the appraisal document. ",,,,44005274
56_BRA_CA9,"Bures Hamlet",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive map. No appraisal document",,,,44001094
56_BRA_CA10,"Castle Hedingham",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive map. No appraisal document",,,,44001081
56_BRA_CA11,"Chelmer and Blackwater",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","No appraisal document",,,,44001101
56_BRA_CA12,"Coggeshall",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive map. No appraisal document",,,,44001097
56_BRA_CA13,"Cressing",,"https://www.braintree.gov.uk/downloads/file/1646/cressing-conservation-area-appraisal-february-2009","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive mapBest Map is shown on page 30 of the appraisal document. ",,,,44005275
56_BRA_CA14,"Earls Colne",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive map. No appraisal document",,,,44001105
56_BRA_CA15,"Feering",,"https://www.braintree.gov.uk/downloads/file/1648/feering-conservation-area-character-appraisal-and-management-plan-july-2020-1-","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive mapBest Map is shown on page 8 of the appraisal document. ",,,,44001631
56_BRA_CA16,"Finchingfield",,"https://www.braintree.gov.uk/downloads/file/1651/finchingfield-conservation-area-appraisal-february-2009","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive mapBest Map is shown on page 57 of the appraisal document. ",,,,44005276
56_BRA_CA17,"Foxearth",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive map. No appraisal document",,,,44001082
56_BRA_CA18,"Gosfield",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive map. No appraisal document",,,,44001095
56_BRA_CA19,"Great Bardfield",,"https://www.braintree.gov.uk/downloads/file/1652/great-bardfield-conservation-area-character-appraisal-and-management-plan-july-2020-1-","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive mapBest Map is shown on page 8 of the appraisal document. ",,,,44001083
56_BRA_CA20,"Great Saling",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/300","Polygons on interactive map. No appraisal document",,,,44001084
56_BRA_CA21,"Great Yeldham",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive map. No appraisal document",,,,44001085
56_BRA_CA22,"Halstead Town Centre",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive map. No appraisal document",,,,44001104
56_BRA_CA23,"Helions Bumpstead",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive map. No appraisal document",,,,44001086
56_BRA_CA24,"Kelvedon",,"https://www.braintree.gov.uk/downloads/file/1654/kelvedon-conservation-area-character-appraisal-and-management-plan-july-2020-1-","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive mapBest Map is shown on page 7 of the appraisal document. ",,,,44001100
56_BRA_CA25,"Pebmarsh",,"https://www.braintree.gov.uk/downloads/file/1653/pebmarsh-conservation-area-appraisal-september-2012","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive mapBest Map is shown on page 39 of the appraisal document. ",,,,44005277
56_BRA_CA26,"Rayne",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive map. No appraisal document",,,,44001087
56_BRA_CA27,"Ridgewell",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive map. No appraisal document",,,,44001093
56_BRA_CA28,"Sible Hedingham South",,"https://www.braintree.gov.uk/downloads/file/1655/sible-hedingham-conservation-area-appraisal-and-management-plan-march-2011","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive mapBest Map is shown on page 54 of the appraisal document. ",,,,44005702
56_BRA_CA29,"Sible Hedingham West",,"https://www.braintree.gov.uk/downloads/file/1655/sible-hedingham-conservation-area-appraisal-and-management-plan-march-2011","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive mapBest Map is shown on page 55 of the appraisal document. ",,,,44005278
56_BRA_CA30,"Silver End",,"https://www.braintree.gov.uk/downloads/file/1656/silver-end-conservation-area-appraisal-june-2014","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive mapBest Map is shown on page 15 of the appraisal document. ",,,,44001088
56_BRA_CA31,"Steeple Bumpstead",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive map. No appraisal document",,,,44001089
56_BRA_CA32,"Stisted",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive map. No appraisal document",,,,44001096
56_BRA_CA33,"Terling",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive map. No appraisal document",,,,44001098
56_BRA_CA34,"Toppesfield",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive map. No appraisal document",,,,44001090
56_BRA_CA35,"Wethersfield",,"https://www.braintree.gov.uk/downloads/file/3804/wethersfield-conservation-area-character-appraisal-and-management-plan-august-23","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive mapBest Map is shown on page 4 of the appraisal document. ",,,,44001103
56_BRA_CA36,"White Notley",,"","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive map. No appraisal document",,,,44001091
56_BRA_CA37,"Witham Town Centre",,"https://www.braintree.gov.uk/downloads/file/1657/witham-town-centre-newland-street-conservation-area-appraisal-and-management-plan-2007","https://www.braintree.gov.uk/directory/51/conservation-areas/category/302","Polygons on interactive mapBest Map is shown on page 35 of the appraisal document. ",,,,44001099
