reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,ca_entity
131_ERY_CA1,"Adlingfleet",,"https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Adlingfleet%20Conservation%20Area%20Appraisal.pdf","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","Best Map is shown on page 13 of the appraisal document. ",,,,44004757
131_ERY_CA2,"Airmyn",,"https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Airmyn%20Conservation%20Area%20Appraisal.pdf","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","Best Map is shown on page 12 of the appraisal document. ",,,,44001278
131_ERY_CA3,"Aldbrough",,"https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Aldbrough%20Conservation%20Area%20Appraisal.pdf","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","Best Map is shown on page 12 of the appraisal document. ",,,,44001235
131_ERY_CA4,"Allerthorpe",,"https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Allerthorpe%20Conservation%20Area%20Appraisal.pdf","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","Best Map is shown on page 13 of the appraisal document. ",,,,44004751
131_ERY_CA5,"Atwick",,"https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Atwick%20Conservation%20Area%20Appraisal.pdf","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","Best Map is shown on page 16 of the appraisal document. ",,,,44001241
131_ERY_CA6,"Bainton",,"https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Bainton%20Conservation%20Area%20Appraisal.pdf","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","Best Map is shown on page 12 of the appraisal document. ",,,,44001280
131_ERY_CA7,"Barmby Moor",,"https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Barmby%20Moor%20Conservation%20Area%20Appraisal.pdf","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","Best Map is shown on page 14 of the appraisal document. ",,,,44004752
131_ERY_CA8,"Bessingby",,"https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Bessingby%20Conservation%20Area%20Appraisal.pdf","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","Best Map is shown on page 12 of the appraisal document. ",,,,44004734
131_ERY_CA9,"Beswick",,"https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Beswick%20Conservation%20Area%20Appraisal.pdf","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","Best Map is shown on page 12 of the appraisal document. ",,,,44001271
131_ERY_CA10,"Beverley",,"https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Beverley%20-%20Conservation%20Area%20Appraisal%20Introduction.pdf","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","Best Map is shown on page 21 of the appraisal document. ",,,,44005508
