reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,ca_entity
33_BAB_CA1,"Bildeston",,"https://www.babergh.gov.uk/documents/54707/127293/Bildeston2011CAA.pdf/93585897-7ed5-c0e5-5eff-de91a84a3b2e?t=1685436700470","https://www.babergh.gov.uk/w/conservation-area-appraisals-1","Best Map is shown on page 2 of the appraisal document. ",,,,44005966
33_BAB_CA2,"Boxford",,"https://www.babergh.gov.uk/documents/54707/127293/Boxford2011CAA.pdf/6b2d9616-e146-46ba-4a58-62ee21563ebd?t=1685437243294","https://www.babergh.gov.uk/w/conservation-area-appraisals-1","4 maps need combining into one areaBest Map is shown on page 2, P4, P6, P8 of the appraisal document. ",,,,44005944
33_BAB_CA3,"Brent Eleigh",,"https://www.babergh.gov.uk/documents/54707/127293/Brent-Eleigh.pdf/3d28543b-b96e-3747-edc2-2ea42216be58?t=1685436793164","https://www.babergh.gov.uk/w/conservation-area-appraisals-1","Best Map is shown on page 2 of the appraisal document. ",,,,44005942
33_BAB_CA4,"Brettenham",,"https://www.babergh.gov.uk/documents/54707/127293/Brettenham2013CAA+%281%29.pdf/0ce23cf7-123d-4d4c-e8f6-3c6875d26761?t=1685436794307","https://www.babergh.gov.uk/w/conservation-area-appraisals-1","Best Map is shown on page 2 of the appraisal document. ",,,,44005943
33_BAB_CA5,"Bures St Mary",,"https://www.babergh.gov.uk/documents/54707/127293/BureStMary2007CAA.pdf/d7dd6b33-99f2-3389-1df0-1302bf0125b0?t=1685436796468","https://www.babergh.gov.uk/w/conservation-area-appraisals-1","Best Map is shown on page 16 of the appraisal document. ",,,,44005954
33_BAB_CA6,"Chelsworth",,"https://www.babergh.gov.uk/documents/54707/127293/Chelsworth2010CAA.pdf/d86d6184-d97f-c9ea-9505-185b9089238c?t=1685436798170","https://www.babergh.gov.uk/w/conservation-area-appraisals-1","2 maps need combining into one areaBest Map is shown on page 2, P4 of the appraisal document. ",,,,44005948
33_BAB_CA7,"Cockfield (Cross Green)",,"https://www.babergh.gov.uk/documents/54707/127293/COCKFIELD.pdf/9abcecc1-e7b5-6931-a094-d1417c997a27?t=1685436800131","https://www.babergh.gov.uk/w/conservation-area-appraisals-1","Best Map is shown on page 2 of the appraisal document. ",,,,44005953
33_BAB_CA8,"Glemsford",,"https://www.babergh.gov.uk/documents/54707/127293/Glemsford2008CAA-1.pdf/7054be3b-ba58-02fd-925c-0d0d50c12a64?t=1685436802951","https://www.babergh.gov.uk/w/conservation-area-appraisals-1","Best Map is shown on page 2 of the appraisal document. ",,,,44005939
33_BAB_CA9,"Great Waldingfield",,"https://www.babergh.gov.uk/documents/54707/127293/Great-Waldingfield.pdf/0b4c72c5-2cf3-57d1-028f-72db4ffa1ce1?t=1685436810185","https://www.babergh.gov.uk/w/conservation-area-appraisals-1","Best Map is shown on page 2 of the appraisal document. ",,,,44005955
33_BAB_CA10,"Hadleigh",,"https://www.babergh.gov.uk/documents/54707/127293/Hadleigh2008CAA.pdf/889594fd-5e06-0482-8b33-8632155117a2?t=1685436811768","https://www.babergh.gov.uk/w/conservation-area-appraisals-1","4 maps need combining into one areaBest Map is shown on page 2, P4, P6, P8 of the appraisal document. ",,,,44005959
33_BAB_CA11,"Hartest",,"https://www.babergh.gov.uk/documents/54707/127293/HARTEST.pdf/0190234b-be05-fa3f-9c05-af9147451de3?t=1685436813763","https://www.babergh.gov.uk/w/conservation-area-appraisals-1","4 maps need combining into one areaBest Map is shown on page 2, P4, P6, P8 of the appraisal document. ",,,,44005941
33_BAB_CA12,"Higham",,"https://www.babergh.gov.uk/documents/54707/127293/Higham2010CAA.pdf/bb5d376f-5477-0f98-dd3c-9d1652967da5?t=1685436751584","https://www.babergh.gov.uk/w/conservation-area-appraisals-1","Best Map is shown on page 2 of the appraisal document. ",,,,44005962
