reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,ca_entity
217_MRT_CA1,"Bathgate Road",,"https://www.merton.gov.uk/assets/Documents/0177_bathgate_rd_design_guide.pdf","https://www.merton.gov.uk/planning-and-buildings/conservation-heritage/conservation-areas-list#toc-conservation-areas-a-d","Extra documents are available. ",,,,44005417
217_MRT_CA2,"Bertram Cottages",,"https://www.merton.gov.uk/assets/Documents/0177_betram_cottages_design_guide.pdf","https://www.merton.gov.uk/planning-and-buildings/conservation-heritage/conservation-areas-list#toc-conservation-areas-a-d","Extra documents are available. ",,,,44005400
217_MRT_CA3,"Copse Hill",,"https://www.merton.gov.uk/assets/Documents/0177_copse_hill_design_guide.pdf","https://www.merton.gov.uk/planning-and-buildings/conservation-heritage/conservation-areas-list#toc-conservation-areas-a-d","Extra documents are available. ",,,,44005412
217_MRT_CA4,"Cricket Green, Mitcham",,"https://www.merton.gov.uk/assets/Documents/0177_cricket_green_design_guide_1_17.pdf","https://www.merton.gov.uk/planning-and-buildings/conservation-heritage/conservation-areas-list#toc-conservation-areas-a-d","Extra documents are available. ",,,,44009012
217_MRT_CA5,"Drax Avenue",,"","https://www.merton.gov.uk/planning-and-buildings/conservation-heritage/conservation-areas-list#toc-conservation-areas-a-d","No appraisal document",,,,44005398
217_MRT_CA6,"Dennis Park Crescent",,"https://www.merton.gov.uk/assets/Documents/0177_dennis_park_crescent_design_guide.pdf","https://www.merton.gov.uk/planning-and-buildings/conservation-heritage/conservation-areas-list#toc-conservation-areas-a-d","Extra documents are available. ",,,,44005397
217_MRT_CA7,"Dunmore Road",,"https://www.merton.gov.uk/assets/Documents/0177_dunmorerd_design_guide.pdf","https://www.merton.gov.uk/planning-and-buildings/conservation-heritage/conservation-areas-list#toc-conservation-areas-a-d","Extra documents are available. ",,,,44005399
217_MRT_CA8,"Durham Road",,"https://www.merton.gov.uk/assets/Documents/0177_durham_rd_character_assessment.pdf","https://www.merton.gov.uk/planning-and-buildings/conservation-heritage/conservation-areas-list#toc-conservation-areas-a-d","Extra documents are available. ",,,,44005416
217_MRT_CA9,"John Innes: Merton Park",,"https://www.merton.gov.uk/assets/Documents/0177_john_innes_merton_park_character_assessment.pdf","https://www.merton.gov.uk/planning-and-buildings/conservation-heritage/conservation-areas-list#toc-conservation-areas-j-l","Extra documents are available. ",,,,44005414
217_MRT_CA10,"John Innes: Wilton Crescent",,"https://www.merton.gov.uk/assets/Documents/0177_kenilworth_ave_character_assessment.pdf","https://www.merton.gov.uk/planning-and-buildings/conservation-heritage/conservation-areas-list#toc-conservation-areas-j-l","Extra documents are available. ",,,,44005403
217_MRT_CA11,"Kenilworth Avenue",,"https://www.merton.gov.uk/assets/Documents/0177_kenilworth_ave_character_assessment.pdf","https://www.merton.gov.uk/planning-and-buildings/conservation-heritage/conservation-areas-list#toc-conservation-areas-j-l","Extra documents are available. ",,,,44005395
