reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,ca_entity
50_BNS_CA1,"Regent Street, Church Street and Market Hill",,"https://www.barnsley.gov.uk/media/aobn4rd5/barnsley-town-centre-caamp-13-june-2024.pdf","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","",,,,44000391
50_BNS_CA2,"Victoria Road",,"https://www.barnsley.gov.uk/media/17571/victoria-road-conservation-area-appraisal-final.pdf","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","",,,,44000389
50_BNS_CA3,"Huddersfield Road",,"","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",,,,44000390
50_BNS_CA4,"Billingley",,"https://www.barnsley.gov.uk/media/17573/billingley-appraisal.pdf","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","",,,,44000393
50_BNS_CA5,"Brierley",,"","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",,,,44000392
50_BNS_CA6,"Carlton",,"","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",,,,44000404
50_BNS_CA7,"Cawthorne",,"https://www.barnsley.gov.uk/media/26057/cawthorne-conservation-area-appraisal.pdf","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","",,,,44000394
50_BNS_CA8,"Darfield",,"","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",,,,44000396
50_BNS_CA9,"Elsecar",,"https://www.barnsley.gov.uk/media/26259/elsecar-conservation-area-appraisal.pdf","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","",,,,44000395
50_BNS_CA10,"High-Hoyland",,"","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",,,,44000397
50_BNS_CA11,"Hoylandswaine",,"","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",,,,44000399
50_BNS_CA12,"Ingbirchworth",,"","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",,,,44000398
50_BNS_CA13,"Langsett",,"","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",,,,44005867
50_BNS_CA14,"Penistone",,"","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",,,,44000403
50_BNS_CA15,"Thurlstone",,"","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",,,,44000401
50_BNS_CA16,"Wentworth Castle and Stainborough Park",,"","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",,,,44000402
50_BNS_CA17,"Worsbrough",,"","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",,,,44000400
50_BNS_CA18,"Wortley",,"","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",,,,44000388
