reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,ca_entity
D_271_ROT_CA12_2,271_ROT_CA12,"Wickersley","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006175
D_271_ROT_CA13_1,271_ROT_CA13,"Whiston","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006186
D_271_ROT_CA13_2,271_ROT_CA13,"Whiston","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006186
D_271_ROT_CA14_1,271_ROT_CA14,"Treeton","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006184
D_271_ROT_CA14_2,271_ROT_CA14,"Treeton","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006184
D_271_ROT_CA15_1,271_ROT_CA15,"Ulley","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006198
D_271_ROT_CA15_2,271_ROT_CA15,"Ulley","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006198
D_271_ROT_CA16_1,271_ROT_CA16,"Brampton en le Morthen","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006185
D_271_ROT_CA16_2,271_ROT_CA16,"Brampton en le Morthen","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006185
D_271_ROT_CA17_1,271_ROT_CA17,"Laughton en la Morthen","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006187
D_271_ROT_CA17_2,271_ROT_CA17,"Laughton en la Morthen","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006187
D_271_ROT_CA18_1,271_ROT_CA18,"Aston","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006183
D_271_ROT_CA18_2,271_ROT_CA18,"Aston","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006183
D_271_ROT_CA19_1,271_ROT_CA19,"Letwell","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006197
D_271_ROT_CA19_2,271_ROT_CA19,"Letwell","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006197
