reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,ca_entity
346_TOR_CA1,"Appledore",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005739
346_TOR_CA2,"Ashreigney",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005726
346_TOR_CA3,"Beaford",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005727
346_TOR_CA4,"Bideford",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005734
346_TOR_CA5,"Bideford Clovelly Road",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005733
346_TOR_CA6,"Bideford East",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005735
346_TOR_CA7,"Bradworthy",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005720
346_TOR_CA8,"Buckland Brewer",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005721
346_TOR_CA9,"Bucks Mills",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005728
346_TOR_CA10,"Clovelly",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005729
346_TOR_CA11,"Dolton",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005722
346_TOR_CA12,"Great Torrington",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005736
346_TOR_CA13,"Hartland",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005723
346_TOR_CA14,"High Bickington",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005724
346_TOR_CA15,"Holsworthy",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005738
346_TOR_CA16,"Kingscott",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005730
346_TOR_CA17,"Merton",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005731
346_TOR_CA18,"Northam",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005737
346_TOR_CA19,"Sheepwash",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005732
346_TOR_CA20,"Winkleigh",,"","https://www.torridge.gov.uk/article/11092/Conservation-Areas","No appraisal document",,,,44005725
