reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,ca_entity
316_STE_CA1,"Albert Square (Fenton)",,"","https://www.stoke.gov.uk/directory_record/331591/albert_square_fenton_conservation_area/category/306/conservation_areas","No appraisal document",,,,44006250
316_STE_CA2,"Ash Green (Trentham)",,"","https://www.stoke.gov.uk/directory_record/331587/ash_green_trentham_conservation_area/category/306/conservation_areas","No appraisal document",,,,44006263
316_STE_CA3,"Blurton Church",,"","https://www.stoke.gov.uk/directory_record/331585/blurton_church_conservation_area/category/306/conservation_areas","No appraisal document",,,,44006258
316_STE_CA4,"Burslem Town",,"https://www.stoke.gov.uk/download/downloads/id/421/burslem_town_centre_conservation_area_appraisal.pdf","https://www.stoke.gov.uk/directory_record/331584/burslem_town_conservation_area/category/306/conservation_areas","Extra documents are available. ",,,,44006261
316_STE_CA5,"Caldon Canal",,"https://www.stoke.gov.uk/download/downloads/id/437/caldon_canal_conservation_area_appraisal.pdf","https://www.stoke.gov.uk/directory_record/331599/caldon_canal_conservation_area/category/306/conservation_areas","12 Maps making up one areaExtra documents are available. ",,,,44006260
316_STE_CA6,"City Centre (Hanley)",,"https://www.stoke.gov.uk/download/downloads/id/436/city_centre_conservation_area_appraisal.pdf","https://www.stoke.gov.uk/directory_record/331598/city_centre_hanley_conservation_area/category/306/conservation_areas","Extra documents are available. ",,,,44006272
316_STE_CA7,"Dresden",,"https://www.stoke.gov.uk/download/downloads/id/428/dresden_conservation_area_appraisal.pdf","https://www.stoke.gov.uk/directory_record/331590/dresden_conservation_area/category/306/conservation_areas","Extra documents are available. ",,,,44006255
316_STE_CA8,"Hanley Park",,"https://www.stoke.gov.uk/download/downloads/id/438/hanley_park_conservation_area_appraisal.pdf","https://www.stoke.gov.uk/directory_record/331600/hanley_park_conservation_area/category/306/conservation_areas","Extra documents are available. ",,,,44006259
316_STE_CA9,"Hartshill",,"https://www.stoke.gov.uk/download/downloads/id/426/hartshill_conservation_area_appraisal.pdf","https://www.stoke.gov.uk/directory_record/331588/hartshill_conservation_area/category/306/conservation_areas","Extra documents are available. ",,,,44006268
316_STE_CA10,"Longton Town Centre",,"https://www.stoke.gov.uk/download/downloads/id/424/longton_town_centre_conservation_area_appraisal.pdf","https://www.stoke.gov.uk/directory_record/331586/longton_town_centre_conservation_area/category/306/conservation_areas","Extra documents are available. ",,,,44006252
316_STE_CA11,"Newcastle Street (Middleport)",,"https://www.stoke.gov.uk/download/downloads/id/435/newcastle_street_middleport_conservation_area_appraisal.pdf","https://www.stoke.gov.uk/directory_record/331597/newcastle_street_middleport_conservation_area/category/306/conservation_areas","Extra documents are available. ",,,,44006266
316_STE_CA12,"Park Terrace (Tunstall)",,"https://www.stoke.gov.uk/download/downloads/id/432/park_terrace_conservation_area_appraisal.pdf","https://www.stoke.gov.uk/directory_record/331594/park_terrace_tunstall_conservation_area/category/306/conservation_areas","Extra documents are available. ",,,,44006264
316_STE_CA13,"Penkhull Garden Village",,"https://www.stoke.gov.uk/download/downloads/id/2084/penkhull_garden_village_appraisal.pdf","https://www.stoke.gov.uk/directory_record/335014/penkhull_garden_village_consultation_area/category/306/conservation_areas","Extra documents are available. ",,,,44006251
316_STE_CA14,"Penkhull Village",,"https://www.stoke.gov.uk/download/downloads/id/419/penkhull_village_conservation_area_appraisal.pdf","https://www.stoke.gov.uk/directory_record/331582/penkhull_village_conservation_area/category/306/conservation_areas","Extra documents are available. ",,,,44006267
316_STE_CA15,"St Christopher Avenue",,"https://www.stoke.gov.uk/download/downloads/id/2085/st_christopher_avenue_appraisal.pdf","https://www.stoke.gov.uk/directory_record/335013/st_christopher_avenue_conservation_area/category/306/conservation_areas","Extra documents are available. ",,,,44006269
316_STE_CA16,"Stoke Town",,"https://www.stoke.gov.uk/download/downloads/id/420/stoke_town_centre_conservation_area_appraisal.pdf","https://www.stoke.gov.uk/directory_record/331583/stoke_town_conservation_area/category/306/conservation_areas","Extra documents are available. ",,,,44006271
316_STE_CA17,"The Villas (Stoke)",,"https://www.stoke.gov.uk/download/downloads/id/417/the_villas_conservation_area_appraisal.pdf","https://www.stoke.gov.uk/directory_record/331580/the_villas_stoke_conservation_area/category/306/conservation_areas","Extra documents are available. ",,,,44006253
316_STE_CA18,"Tower Square (Tunstall)",,"https://www.stoke.gov.uk/download/downloads/id/431/tower_square_conservation_area_appraisal.pdf","https://www.stoke.gov.uk/directory_record/331593/tower_square_tunstall_conservation_area/category/306/conservation_areas","Extra documents are available. ",,,,44006254
316_STE_CA19,"Trent and Mersey Canal",,"https://www.stoke.gov.uk/download/downloads/id/430/trent_and_mersey_canal_conservation_area_appraisal.pdf","https://www.stoke.gov.uk/directory_record/331592/trent_and_mersey_canal_conservation_area/category/306/conservation_areas","17 maps making up one areaExtra documents are available. ",,,,44006270
316_STE_CA20,"Victoria Park (Tunstall)",,"https://www.stoke.gov.uk/download/downloads/id/439/victoria_park_conservation_area_appraisal.pdf","https://www.stoke.gov.uk/directory_record/331601/victoria_park_tunstall_conservation_area/category/306/conservation_areas","Extra documents are available. ",,,,44006257
316_STE_CA21,"Victoria Road",,"","https://www.stoke.gov.uk/directory_record/335034/victoria_road_conservation_area/category/306/conservation_areas","No appraisal document",,,,44006265
316_STE_CA22,"Winton Square (Stoke)",,"https://www.stoke.gov.uk/download/downloads/id/418/winton_square_conservation_area_appraisal.pdf","https://www.stoke.gov.uk/directory_record/331581/winton_square_stoke_conservation_area/category/306/conservation_areas","Extra documents are available. ",,,,44006262
