reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,entity
1307,"Birch",,"No Appraisal document",,,,"",,1993-09-01,,44001484
1308,"Boxted",,"No Appraisal document",,,,"",,,,44001474
1309,"Chappel",,"No Appraisal document",,,,"",,,,44001480
1287,"Colchester Area 1",,"No Appraisal document",,,,"",,,,44001148
1289,"Colchester Area 2",,"No Appraisal document",,,,"",,,,44001483
1290,"Colchester Area 3",,"No Appraisal document",,,,"",,,,44001145
New634,"Colchester Area 4",,"No Appraisal document",,,,"",,,,
New635,"Colchester Area 5 Mill Field Estate",,"https://cbccrmdata.blob.core.windows.net/noteattachment/CBC-Planning-Mill-Field-Estate-Conservation-Area-Appraisal-and-Management-Proposals-Conservation%20Area%20Appraisal%20and%20Management%20Proposals%20for%20Mill%20Field%20Estate.pdf","https://www.colchester.gov.uk/info/cbc-article/?catid=planning-policy&id=KA-03371",,," Extra documents are available. ",,,,
1294,"Distillery Pond",,"No Appraisal document",,,,"",,,,44001478
1298,"Hythe",,"No Appraisal document",,,,"",,,,44001144
1292,"Copford",,"No Appraisal document",,,,"",,,,44001482
1293,"Dedham",,"No Appraisal document",,,,"",,1974-07-31,,44001140
1295,"Fingringhoe",,"No Appraisal document",,,,"",,,,44001142
1296,"Ford Street",,"No Appraisal document",,,,"",,,,44001473
4258,"Garrison",,"No Appraisal document",,,,"",,,,44001149
1297,"Great Tey",,"No Appraisal document",,,,"",,,,44001146
1299,"Little Horkesley",,"No Appraisal document",,,,"",,,,44001475
1300,"Messing",,"No Appraisal document",,,,"",,,,44001476
1301,"New Town",,"No Appraisal document",,,,"",,1993-04-17,,44001143
1302,"Rowhedge",,"No Appraisal document",,,,"",,,,44001481
1303,"Stratford St Mary",,"No Appraisal document",,,,"",,,,44001477
1306,"West Mersea",,"No Appraisal document",,,,"",,1989-05-15,,44001141
1304,"Wivenhoe",,"No Appraisal document",,,,"",,,,44001147
1305,"Wormingford",,"No Appraisal document",,,,"",,,,44001479
