reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_2590_2,2590,"Lifton","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=1",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/lifton,area-map,,,,,44001168
D_2713_1,2713,"Milton Abbot","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=2","No Appraisal document",area-appraisal,,,,,44001171
D_2713_2,2713,"Milton Abbot","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=2",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/milton-abbot,area-map,,,,,44001171
D_9985_1,9985,"Milton Combe","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=2","No Appraisal document",area-appraisal,,,,,44001183
D_9985_2,9985,"Milton Combe","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=2",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/milton-combe,area-map,,,,,44001183
D_1647_1,1647,"North Tawton","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=2","No Appraisal document",area-appraisal,,,,,44001170
D_1647_2,1647,"North Tawton","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=2",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/north-tawton,area-map,,,,,44001170
D_2712_1,2712,"Northlew","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=2","No Appraisal document",area-appraisal,,,,,44001169
D_2712_2,2712,"Northlew","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=2",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/northlew,area-map,,,,,44001169
D_2806_1,2806,"Okehampton","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=2","No Appraisal document",area-appraisal,,,,,44001184
D_2806_2,2806,"Okehampton","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=2",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/okehampton,area-map,,,,,44001184
D_9986_1,9986,"Sampford Courtenay","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=2","No Appraisal document",area-appraisal,,,,,44001173
D_9986_2,9986,"Sampford Courtenay","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=2",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/sampford-courtenay,area-map,,,,,44001173
D_2807_1,2807,"Stowford","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=3","No Appraisal document",area-appraisal,,,,,44001174
D_2807_2,2807,"Stowford","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=3",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/stowford,area-map,,,,,44001174
D_2845_1,2845,"Tavistock","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=3","https://www.westdevon.gov.uk/sites/default/files/2023-07/Tavistock%20Conservation%20Area%20Appraisal%20-%202014%20Revisions.pdf",area-appraisal,,,,,44003955
D_2845_2,2845,"Tavistock","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=3",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/tavistock,area-map,,,,,44003955
D_2808_1,2808,"Tavistock and Bere Alston Railway Line","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=3","No Appraisal document",area-appraisal,,,,,44001175
D_2808_2,2808,"Tavistock and Bere Alston Railway Line","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=3",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/tavistock-bere-alston,area-map,,,,,44001175
D_2810_1,2810,"Weir Quay","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=3","No Appraisal document",area-appraisal,,,,,44001177
D_2810_2,2810,"Weir Quay","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=3",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/weir-quay,area-map,,,,,44001177
D_2824_1,2824,"Whitchurch","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=3","No Appraisal document",area-appraisal,,,,,44001178
D_2824_2,2824,"Whitchurch","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=3",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/whitchurch,area-map,,,,,44001178
