reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,entity
6578,"Allexton",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/conservation_areas_in_harborough_district",,,"",,2007-07-16,,44009277
HE_CA16,"Arnesby",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/conservation_areas_in_harborough_district",,,"",,2007-07-16,,44005162
HE_CA12,"Ashby Parva",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/conservation_areas_in_harborough_district",,,"",,2007-07-16,,44005153
HE_CA10,"Billesdon",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/conservation_areas_in_harborough_district",,,"",,2005-03-09,,44005151
HE_CA03,"Bitteswell",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/conservation_areas_in_harborough_district",,,"",,2005-03-09,,44005161
HE_CA14,"Blaston",,"No Appraisal document",,,,"",,2006-07-10,,44005159
HE_CA04,"Bringhurst",,"No Appraisal document",,,,"",,2005-03-09,,44004019
HE_CA13,"Bruntingthorpe",,"No Appraisal document",,,,"",,2005-03-09,,44005156
HE_CA01,"Burton Overy",,"No Appraisal document",,,,"",,2005-03-09,,44005154
HE_CA09,"Carlton Curlieu",,"No Appraisal document",,,,"",,2007-07-16,,44005160
HE_CA02,"Catthorpe",,"No Appraisal document",,,,"",,2006-07-10,,44008710
HE_CA05,"Church Langton",,"No Appraisal document",,,,"",,2007-07-16,,44005150
HE_CA15,"Claybrooke Parva",,"No Appraisal document",,,,"",,2007-07-16,,44008711
HE_CA08,"Drayton",,"No Appraisal document",,,,"",,2006-07-10,,44005158
9264,"East Langton",,"No Appraisal document",,,,"",,2005-03-09,,44009344
9265,"East Norton",,"No Appraisal document",,,,"",,2007-07-16,,44009345
9266,"Foxton",,"No Appraisal document",,,,"",,2006-07-10,,44009346
9267,"Gaulby",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/a_to_z/G",,,"",,2007-07-16,,44009347
9268,"Great Bowden",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/a_to_z/G",,,"",,2005-03-09,,44009348
9269,"Great Easton",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/a_to_z/G",,,"",,2005-03-09,,44009349
9270,"Gumley",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/a_to_z/G",,,"",,2007-07-16,,44009350
9271,"Hallaton",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/a_to_z/H",,,"",,2005-03-09,,44009351
9272,"Horninghold",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/a_to_z/H",,,"",,2005-03-09,,44009352
9273,"Houghton on the Hill",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/a_to_z/H",,,"",,2005-05-18,,44009353
9274,"Hungarton",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/a_to_z/H",,,"",,2006-07-10,,44009354
9275,"Husbands Bosworth",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/a_to_z/H",,,"",,2007-07-16,,44009355
9276,"Illston on the Hill",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/a_to_z/I",,,"",,2007-07-16,,44009356
9277,"Keyham",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/a_to_z/K",,,"",,2006-07-10,,44009357
9278,"Kibworth Beauchamp",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/a_to_z/K",,,"",,2007-07-16,,44009358
9279,"Kibworth Harcourt",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/a_to_z/K",,,"",,2007-07-16,,44009359
9280,"Kimcote",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/a_to_z/K",,,"",,2007-07-16,,44009360
9281,"Kings Norton",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/a_to_z/K",,,"",,2007-07-16,,44009361
9282,"Laughton",,"No Appraisal document","https://www.harborough.gov.uk/directory/20/a_to_z/L",,,"",,2006-07-10,,44009362
