reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,entity
9581,"Rodmersham Green",,"https://services.swale.gov.uk/assets/Planning-General/Planning-Policy/ConservationAreaMaps/Rod'Green%20CACA%20-%20adoption%20version%20(Dec%202022)%20A.pdf",,,,"Interactive map Best Map is shown on page 8 of the appraisal document. ",,,,44002212
9582,"Selling",,"No Appraisal document",,,,"Interactive map",,,,44002093
9585,"Sheerness, Marine Town",,"https://services.swale.gov.uk/assets/Planning-General/Planning-Policy/ConservationAreaMaps/Draft_Sheerness_Marine_Town_CA_WEB.pdf",,,,"Interactive map Best Map is shown on page 8 of the appraisal document. ",,,,44001822
9584,"Sheerness Royal Naval Dockyard and Bluetown",,"https://www.swale.gov.uk/assets/Planning-General/Planning-Policy/Cons-Area-Review/Cons-Area-Review-Jan-12/Sheerness-Dockyard-Blue-Town-CACA-reduced-size.pdf",,,,"Interactive map Extra documents are available. ",,,,44002216
9586,"Sheerness, Mile Town",,"https://services.swale.gov.uk/assets/Planning-General/Planning-Policy/ConservationAreaMaps/Draft_Sheerness_Mile_Town_CA_WEB.pdf",,,,"Interactive map Extra documents are available.  Best Map is shown on page 8 of the appraisal document. ",,,,44002126
9587,"Sheldwich",,"No Appraisal document",,,,"Interactive map",,,,44001835
9583,"Selling, Shepherd's Hill",,"https://www.swale.gov.uk/assets/Planning-Forms-and-Leaflets/Planning-General/Planning-Conservation/Shepherds-Hill-Selling-conservation-area-character-appraisal.pdf",,,,"Interactive map Extra documents are available. ",,,,44001881
9589,"Boughton, South Street",,"https://services.swale.gov.uk/assets/Planning-General/Planning-Policy/ConservationAreaMaps/Boughton%20(South%20Street)%20CACA%20-%20adoption%20version%20June%202019.pdf",,,,"Interactive map Best Map is shown on page 8 of the appraisal document. ",,,,44001932
9590,"Stalisfield Green",,"No Appraisal document",,,,"Interactive map",,,,44002097
9591,"Staplestreet",,"No Appraisal document",,,,"Interactive map",,,,44002220
9592,"Syndale",,"https://www.swale.gov.uk/assets/Planning-Forms-and-Leaflets/Planning-General/Planning-Conservation/Syndale-Conservation-Area-Character-Appraisal.pdf",,,,"Interactive map Extra documents are available. ",,,,44004188
9551,"Borden, The Street",,"https://www.swale.gov.uk/assets/Planning-Forms-and-Leaflets/Planning-General/Planning-Conservation/The-Street-Borden-conservation-area-character-appraisal.pdf",,,,"Interactive map",,,,44002189
9571,"Lynsted, The Street",,"https://www.swale.gov.uk/assets/Planning-Forms-and-Leaflets/Planning-General/Planning-Conservation/Lynsted-conservation-area-character-appraisal.pdf",,,,"Interactive map Extra documents are available. ",,,,44002176
9593,"Throwley Forstal",,"No Appraisal document",,,,"Interactive map",,,,44002167
9594,"Tonge",,"https://services.swale.gov.uk/assets/Planning-General/Planning-Policy/ConservationAreaMaps/Tonge%20Conservation%20Area%20Appraisal%20and%20Management%20Plan%20Consultation%20Final%20DEC%202022%20A.pdf",,,,"Interactive map Extra documents are available.  Best Map is shown on page 9 of the appraisal document. ",,,,44002183
9595,"Tunstall",,"https://swale.gov.uk/__data/assets/pdf_file/0009/428679/Tunstall-CACA-Final-version-to-be-published_August-2022-AA.pdf",,,,"Interactive map Extra documents are available.  Best Map is shown on page 9 of the appraisal document. ",,,,44002217
9596,"Upchurch",,"https://www.swale.gov.uk/assets/Planning-Forms-and-Leaflets/Planning-General/Planning-Conservation/Upchurch-conservation-area-character-appraisal.pdf",,,,"Interactive map Extra documents are available. ",,,,44002240
9597,"Whitehill",,"No Appraisal document",,,,"Interactive map",,,,44001819
