reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date,ca_entity
134_EST_CA1,"Abbots Bromley",,"https://www.eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/AbbotsBromleyCAAJul15.pdf","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals",,,"Best Map is shown on page 4 of the appraisal document. ",local-authority:EST,,,,44003024
134_EST_CA2,"Admaston",,"http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/Admaston.pdf","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals",,,"",local-authority:EST,,,,44003032
134_EST_CA3,"Barton under Needwood",,"http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/BartonunderNeedwoodConservationAreaAppraisal.pdf","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals",,,"Best Map is shown on page 37 of the appraisal document. ",local-authority:EST,,,,44003040
134_EST_CA4,"Burton upon Trent Town Centre",,"http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/BurtonTownCentreConservationAreaAppraisal.pdf","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals",,,"Best Map is shown on page 68 of the appraisal document. ",local-authority:EST,,,,44003041
134_EST_CA5,"Church Mayfield",,"http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/ConservationAreaAppraisal-ChurchMayfield.pdf","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals",,,"Best Map is shown on page 27 of the appraisal document. ",local-authority:EST,,,,44003028
134_EST_CA6,"Clarence Street & Anglesey Road, Burton upon Trent",,"http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/ConservationAreaAppraisal-ClarenceStreet.pdf","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals",,,"Best Map is shown on page 14 of the appraisal document. ",local-authority:EST,,,,44005665
134_EST_CA7,"Ellastone",,"http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/Ellastone.pdf","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals",,,"Best Map is shown on page 10 of the appraisal document. ",local-authority:EST,,,,44003027
134_EST_CA8,"George Street, Burton upon Trent",,"https://www.eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/GeorgeStreet%2CBurtonCAAJul15.pdf","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals",,,"Best Map is shown on page 4 of the appraisal document. ",local-authority:EST,,,,44005666
134_EST_CA9,"Hoar Cross",,"http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/HoarCrossConservationAreaAppraisal.pdf","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals",,,"Best Map is shown on page 6 of the appraisal document. ",local-authority:EST,,,,44003035
134_EST_CA10,"Horninglow Street/Guild Street",,"http://eaststaffsbc.gov.uk/sites/default/files/docs/planning/conservlistedbuild/appraisaldocs/HorninglowStreetGuildStreet.pdf","http://eaststaffsbc.gov.uk/planning/conservation-and-listed-buildings-including-article-4/view-conservation-area-appraisals",,,"Best Map is shown on page 9 of the appraisal document. ",local-authority:EST,,,,44005667
