reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date,ca_entity
268_ROC_CA1,"Battlesbridge",,"https://www.rochford.gov.uk/sites/default/files/2022-11/planning_conservation_battlesbridge_appraisal.pdf","https://www.rochford.gov.uk/conservation-area-appraisals-and-management-plans",,,"Best Map is shown on page 11 of the appraisal document. ",local-authority:ROC,,,,44008346
268_ROC_CA2,"Canewdon Church",,"https://www.rochford.gov.uk/sites/default/files/2022-11/planning_conservation_canewdon_church_final.pdf","https://www.rochford.gov.uk/conservation-area-appraisals-and-management-plans",,,"Extra documents are available. Best Map is shown on page 9 of the appraisal document. ",local-authority:ROC,,,,44008339
268_ROC_CA3,"Canewdon High Street",,"https://www.rochford.gov.uk/sites/default/files/2022-11/planning_conservation_canewdon_highstreet_final.pdf","https://www.rochford.gov.uk/conservation-area-appraisals-and-management-plans",,,"Extra documents are available. Best Map is shown on page 10 of the appraisal document. ",local-authority:ROC,,,,44008338
268_ROC_CA4,"Foulness Churchend",,"https://www.rochford.gov.uk/sites/default/files/2022-11/planning_conservation_foulness.pdf","https://www.rochford.gov.uk/conservation-area-appraisals-and-management-plans",,,"Best Map is shown on page 11 of the appraisal document. ",local-authority:ROC,,,,44008344
268_ROC_CA5,"Great Wakering",,"https://www.rochford.gov.uk/sites/default/files/2022-11/planning_conservation_gt_wakering_final_2.pdf","https://www.rochford.gov.uk/conservation-area-appraisals-and-management-plans",,,"",local-authority:ROC,,,,44008345
268_ROC_CA6,"Paglesham Churchend",,"https://www.rochford.gov.uk/sites/default/files/2022-11/planning_conservation_pagelsham_churchend_final.pdf","https://www.rochford.gov.uk/conservation-area-appraisals-and-management-plans",,,"Best Map is shown on page 19 of the appraisal document. ",local-authority:ROC,,,,44008341
268_ROC_CA7,"Paglesham East End",,"https://www.rochford.gov.uk/sites/default/files/2022-11/planning_conservation_pagelsham_eastend_final.pdf","https://www.rochford.gov.uk/conservation-area-appraisals-and-management-plans",,,"Best Map is shown on page 22 of the appraisal document. ",local-authority:ROC,,,,44008337
268_ROC_CA8,"Rayleigh",,"https://www.rochford.gov.uk/sites/default/files/2022-11/planning_historic_environment_conservation_areas_rayleigh_final.pdf","https://www.rochford.gov.uk/conservation-area-appraisals-and-management-plans",,,"Extra documents are available. Best Map is shown on page 10 of the appraisal document. ",local-authority:ROC,,,,44008340
268_ROC_CA9,"Rochford",,"https://www.rochford.gov.uk/sites/default/files/2022-11/planning_historic_environment_conservation_areas_rochford_final.pdf","https://www.rochford.gov.uk/conservation-area-appraisals-and-management-plans",,,"Extra documents are available. Best Map is shown on page 9 of the appraisal document. ",local-authority:ROC,,,,44008343
268_ROC_CA10,"Shopland Churchyard",,"https://www.rochford.gov.uk/sites/default/files/2022-11/planning_conservation_shopland_final.pdf","https://www.rochford.gov.uk/conservation-area-appraisals-and-management-plans",,,"Best Map is shown on page 9 of the appraisal document. ",local-authority:ROC,,,,44008342
