reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date,ca_entity
D_180_IPS_CA1_1,180_IPS_CA1,"Central","https://www.ipswich.gov.uk/content/about-our-conservation-areas","https://www.ipswich.gov.uk/sites/www.ipswich.gov.uk/files/central_main_doc_conservation_main_doc.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",local-authority:IPS,,,,44001724
D_180_IPS_CA2_1,180_IPS_CA2,"Henley Road","https://www.ipswich.gov.uk/content/about-our-conservation-areas","https://www.ipswich.gov.uk/sites/www.ipswich.gov.uk/files/henley_main_doc_conservation_main_doc_0.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",local-authority:IPS,,,,44001714
D_180_IPS_CA3_1,180_IPS_CA3,"Norwich Road/Anglesea Road","https://www.ipswich.gov.uk/content/about-our-conservation-areas","https://www.ipswich.gov.uk/sites/www.ipswich.gov.uk/files/norwich_rd_anglesea_rd_conservation_area_appraisal_-_updated_may_2016.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",local-authority:IPS,,,,44001721
D_180_IPS_CA4_1,180_IPS_CA4,"Christchurch Street","https://www.ipswich.gov.uk/content/about-our-conservation-areas","https://www.ipswich.gov.uk/sites/www.ipswich.gov.uk/files/christchurch_conservation.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",local-authority:IPS,,,,44001720
D_180_IPS_CA5_1,180_IPS_CA5,"Burlington Road","https://www.ipswich.gov.uk/content/about-our-conservation-areas","https://www.ipswich.gov.uk/sites/www.ipswich.gov.uk/files/burlington_road_low_res_2020.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 3 of the appraisal document. ",local-authority:IPS,,,,44001716
D_180_IPS_CA6_1,180_IPS_CA6,"Barrack Corner","https://www.ipswich.gov.uk/content/about-our-conservation-areas","https://www.ipswich.gov.uk/sites/www.ipswich.gov.uk/files/barrack_corner_main_doc_conservation_main_doc.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",local-authority:IPS,,,,44001715
D_180_IPS_CA7_1,180_IPS_CA7,"St. Helen's","https://www.ipswich.gov.uk/content/about-our-conservation-areas","https://www.ipswich.gov.uk/sites/www.ipswich.gov.uk/files/st_helens_main_doc_conservation_main_doc.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",local-authority:IPS,,,,44005245
D_180_IPS_CA8_1,180_IPS_CA8,"Stoke","https://www.ipswich.gov.uk/content/about-our-conservation-areas","https://www.ipswich.gov.uk/sites/www.ipswich.gov.uk/files/stoke_main_doc_conservation_main_doc.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",local-authority:IPS,,,,44001718
D_180_IPS_CA9_1,180_IPS_CA9,"Park","https://www.ipswich.gov.uk/content/about-our-conservation-areas","https://www.ipswich.gov.uk/sites/www.ipswich.gov.uk/files/park_conservation.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",local-authority:IPS,,,,44001722
D_180_IPS_CA10_1,180_IPS_CA10,"Whitton","https://www.ipswich.gov.uk/content/about-our-conservation-areas","https://www.ipswich.gov.uk/sites/www.ipswich.gov.uk/files/whitton_conservation.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",local-authority:IPS,,,,44001713
D_180_IPS_CA11_1,180_IPS_CA11,"Wet Dock","https://www.ipswich.gov.uk/content/about-our-conservation-areas","https://www.ipswich.gov.uk/sites/www.ipswich.gov.uk/files/wet_dock.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",local-authority:IPS,,,,44001719
D_180_IPS_CA12_1,180_IPS_CA12,"Cemetery","https://www.ipswich.gov.uk/content/about-our-conservation-areas","https://www.ipswich.gov.uk/sites/www.ipswich.gov.uk/files/cemetery_main_doc_conservation_main_doc.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",local-authority:IPS,,,,44001717
D_180_IPS_CA13_1,180_IPS_CA13,"Holywells Park","https://www.ipswich.gov.uk/content/about-our-conservation-areas","https://www.ipswich.gov.uk/sites/www.ipswich.gov.uk/files/holywells_conservation_main_doc_conservation_main_doc.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",local-authority:IPS,,,,44001723
D_180_IPS_CA14_1,180_IPS_CA14,"Chantry Park","https://www.ipswich.gov.uk/content/about-our-conservation-areas","https://www.ipswich.gov.uk/sites/www.ipswich.gov.uk/files/chantry_conservation_main_doc_conservation_main_doc.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",local-authority:IPS,,,,44001725
D_180_IPS_CA15_1,180_IPS_CA15,"Marlborough Road","https://www.ipswich.gov.uk/content/about-our-conservation-areas","https://www.ipswich.gov.uk/sites/www.ipswich.gov.uk/files/marlborough_road_appraisal.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",local-authority:IPS,,,,44005570
