reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date,ca_entity
D_324_STV_CA1_1,324_STV_CA1,"Broadwater","https://www.stevenage.gov.uk/planning-and-building-control/planning-policy/local-plan/evidential-studies/conservation-and-heritage","https://www.stevenage.gov.uk/documents/planning-policy/supplementary-guidance-and-material-considerations/broadwater-conservation-area-management-plan.pdf",area-appraisal,"Best Map is shown on page 6 of the appraisal document. ",local-authority:STV,,,,44001332
D_324_STV_CA2_1,324_STV_CA2,"Old Town High Street","https://www.stevenage.gov.uk/planning-and-building-control/planning-policy/local-plan/evidential-studies/conservation-and-heritage","https://www.stevenage.gov.uk/documents/planning-policy/supplementary-guidance-and-material-considerations/old-town-high-street-conservation-area-management-plan.pdf",area-appraisal,"Best Map is shown on page 6 of the appraisal document. ",local-authority:STV,,,,44001330
D_324_STV_CA3_1,324_STV_CA3,"Orchard Road","https://www.stevenage.gov.uk/planning-and-building-control/planning-policy/local-plan/evidential-studies/conservation-and-heritage","https://www.stevenage.gov.uk/documents/planning-policy/supplementary-guidance-and-material-considerations/orchard-road-conservation-area-management-plan.pdf",area-appraisal,"Best Map is shown on page 6 of the appraisal document. ",local-authority:STV,,,,44001329
D_324_STV_CA4_1,324_STV_CA4,"Shephall Green","https://www.stevenage.gov.uk/planning-and-building-control/planning-policy/local-plan/evidential-studies/conservation-and-heritage","https://www.stevenage.gov.uk/documents/planning-policy/supplementary-guidance-and-material-considerations/shephall-green-conservation-area-management-plan.pdf",area-appraisal,"Best Map is shown on page 6 of the appraisal document. ",local-authority:STV,,,,44004480
D_324_STV_CA5_1,324_STV_CA5,"Symonds Green","https://www.stevenage.gov.uk/planning-and-building-control/planning-policy/local-plan/evidential-studies/conservation-and-heritage","https://www.stevenage.gov.uk/documents/planning-policy/supplementary-guidance-and-material-considerations/symonds-green-conservation-area-management-plan.pdf",area-appraisal,"Best Map is shown on page 6 of the appraisal document. ",local-authority:STV,,,,44001328
D_324_STV_CA6_1,324_STV_CA6,"Town Square","https://www.stevenage.gov.uk/planning-and-building-control/planning-policy/local-plan/evidential-studies/conservation-and-heritage","https://www.stevenage.gov.uk/documents/planning-policy/supplementary-guidance-and-material-considerations/town-square-conservation-area-management-plan.pdf",area-appraisal,"Best Map is shown on page 6 of the appraisal document. ",local-authority:STV,,,,44004481
D_324_STV_CA7_1,324_STV_CA7,"St. Nicholas/Rectory Lane","https://www.stevenage.gov.uk/planning-and-building-control/planning-policy/local-plan/evidential-studies/conservation-and-heritage","https://www.stevenage.gov.uk/documents/planning-policy/supplementary-guidance-and-material-considerations/st.-nicholasrectory-lane-conservation-area-management-plan.pdf",area-appraisal,"Best Map is shown on page 6 of the appraisal document. ",local-authority:STV,,,,44001331
