reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date,ca_entity
63_BRW_CA1,"Ingatestone High Street",,"https://document.brentwood.gov.uk/pdf/06022009144704u.pdf","https://www.brentwood.gov.uk/conservation-areas",,,"",local-authority:BRW,,,,44004486
63_BRW_CA2,"South Weald",,"No appraisal document","https://www.brentwood.gov.uk/conservation-areas",,,"",local-authority:BRW,,,,44001671
63_BRW_CA3,"Blackmore",,"https://document.brentwood.gov.uk/pdf/06022009144347u.pdf","https://www.brentwood.gov.uk/conservation-areas",,,"",local-authority:BRW,,,,44001665
63_BRW_CA4,"Great Warley",,"https://document.brentwood.gov.uk/pdf/25102011162438u.pdf","https://www.brentwood.gov.uk/conservation-areas",,,"",local-authority:BRW,,,,44001667
63_BRW_CA5,"Herongate",,"https://document.brentwood.gov.uk/pdf/25102011161514u.pdf","https://www.brentwood.gov.uk/conservation-areas",,,"",local-authority:BRW,,,,44001668
63_BRW_CA6,"Station Lane, Ingatestone",,"https://document.brentwood.gov.uk/pdf/06022009145001u.pdf","https://www.brentwood.gov.uk/conservation-areas",,,"",local-authority:BRW,,,,44004487
63_BRW_CA7,"Hutton Village",,"No appraisal document","https://www.brentwood.gov.uk/conservation-areas",,,"",local-authority:BRW,,,,44001670
63_BRW_CA8,"Fryerning",,"https://document.brentwood.gov.uk/pdf/05092012170002u.pdf","https://www.brentwood.gov.uk/conservation-areas",,,"",local-authority:BRW,,,,44001666
63_BRW_CA9,"Weald Park",,"No appraisal document","https://www.brentwood.gov.uk/conservation-areas",,,"",local-authority:BRW,,,,44001674
63_BRW_CA10,"Thorndon Park",,"No appraisal document","https://www.brentwood.gov.uk/conservation-areas",,,"",local-authority:BRW,,,,44001672
63_BRW_CA11,"Warley Place",,"No appraisal document","https://www.brentwood.gov.uk/conservation-areas",,,"",local-authority:BRW,,,,44001673
63_BRW_CA12,"Brentwood Town Centre",,"https://document.brentwood.gov.uk/pdf/17122007132744u.pdf","https://www.brentwood.gov.uk/conservation-areas",,,"",local-authority:BRW,,,,44004485
63_BRW_CA13,"Highwood Hospital",,"https://document.brentwood.gov.uk/pdf/17122007134945u.pdf","https://www.brentwood.gov.uk/conservation-areas",,,"",local-authority:BRW,,,,44001669
