reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date,ca_entity
46_BLA_CA1,"Aston Flamville",,"No appraisal document","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/",,,"",local-authority:BLA,,,,44001472
46_BLA_CA2,"Blaby",,"No appraisal document","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/",,,"",local-authority:BLA,,,,44001613
46_BLA_CA3,"Cosby",,"No appraisal document","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/",,,"",local-authority:BLA,,,,44001615
46_BLA_CA4,"Countesthorpe",,"No appraisal document","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/",,,"",local-authority:BLA,,,,44004685
46_BLA_CA5,"Croft",,"No appraisal document","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/",,,"",local-authority:BLA,,,,44006467
46_BLA_CA6,"Enderby",,"No appraisal document","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/",,,"",local-authority:BLA,,,,44005533
46_BLA_CA7,"Glenfield",,"No appraisal document","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/",,,"",local-authority:BLA,,,,44005534
46_BLA_CA8,"Grand Union Canal",,"No appraisal document","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/",,,"",local-authority:BLA,,,,44001471
46_BLA_CA9,"Kirby Fields",,"No appraisal document","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/",,,"",local-authority:BLA,,,,44001614
46_BLA_CA10,"Narborough",,"No appraisal document","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/",,,"",local-authority:BLA,,,,44005535
46_BLA_CA11,"Wigston Parva",,"No appraisal document","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/",,,"",local-authority:BLA,,,,44001616
