reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date,ca_entity
102_DAL_CA1,"Bishopton",,"https://www.darlington.gov.uk/media/1927/bpca_appraisal.pdf","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44000106
102_DAL_CA2,"Coatham Mundeville",,"https://www.darlington.gov.uk/media/1925/cmca_appraisal.pdf","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44000114
102_DAL_CA3,"Cockerton",,"https://www.darlington.gov.uk/media/1930/coca_appraisal.pdf","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44000113
102_DAL_CA4,"Denton",,"https://www.darlington.gov.uk/media/1926/dtca_appraisal.pdf","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44000107
102_DAL_CA5,"Haughton-le-Skerne",,"https://www.darlington.gov.uk/media/1932/haughton-le-skerne-conservation-area-character-appraisal-and-management-plan.pdf","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44006807
102_DAL_CA6,"Heighington",,"https://www.darlington.gov.uk/media/8570/heighington-caca-march-2019.pdf","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44006808
102_DAL_CA7,"High Coniscliffe",,"No appraisal document","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44000108
102_DAL_CA8,"Hurworth",,"No appraisal document","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44000116
102_DAL_CA9,"Middleton One Row",,"https://www.darlington.gov.uk/media/1919/middleton_one_row_character_appraisal.pdf","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44000115
102_DAL_CA10,"Northgate",,"https://www.darlington.gov.uk/media/1928/ngca_appraisal.pdf","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44000111
102_DAL_CA11,"Parkgate",,"https://www.darlington.gov.uk/media/16575/parkgate-conservation-area-character-appraisal.pdf","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44006809
102_DAL_CA12,"Piercebridge",,"https://www.darlington.gov.uk/media/1931/pbca_appraisal.pdf","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44000109
102_DAL_CA13,"Sadberge",,"No appraisal document","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44006810
102_DAL_CA14,"Summerhouse",,"No appraisal document","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44000110
102_DAL_CA15,"Town Centre",,"https://www.darlington.gov.uk/media/1920/tcca_appraisal.pdf","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44004804
102_DAL_CA16,"Victoria Embankment",,"https://www.darlington.gov.uk/media/1929/veca_appraisal.pdf","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44000112
102_DAL_CA17,"West End",,"https://www.darlington.gov.uk/media/1922/weca_appraisal.pdf","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",,,"",local-authority:DAL,,,,44004803
