reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date,ca_entity
D_223_NEA_CA1_1,223_NEA_CA1,"Averham","https://www.newark-sherwooddc.gov.uk/conservationareas/","No appraisal document",area-appraisal,"",local-authority:NEA,,,,44001454
D_223_NEA_CA1_2,223_NEA_CA1,"Averham","https://www.newark-sherwooddc.gov.uk/conservationareas/",https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Averham.pdf,area-map,"",local-authority:NEA,,,,44001454
D_223_NEA_CA2_1,223_NEA_CA2,"Balderton","https://www.newark-sherwooddc.gov.uk/conservationareas/","No appraisal document",area-appraisal,"",local-authority:NEA,,,,44001446
D_223_NEA_CA2_2,223_NEA_CA2,"Balderton","https://www.newark-sherwooddc.gov.uk/conservationareas/",https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Balderton.pdf,area-map,"",local-authority:NEA,,,,44001446
D_223_NEA_CA3_1,223_NEA_CA3,"Barnby in the Willows","https://www.newark-sherwooddc.gov.uk/conservationareas/","No appraisal document",area-appraisal,"",local-authority:NEA,,,,44001433
D_223_NEA_CA3_2,223_NEA_CA3,"Barnby in the Willows","https://www.newark-sherwooddc.gov.uk/conservationareas/",https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Barnby-in-the-Willows.pdf,area-map,"",local-authority:NEA,,,,44001433
D_223_NEA_CA4_1,223_NEA_CA4,"Besthorpe","https://www.newark-sherwooddc.gov.uk/conservationareas/","https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-area-appraisals/Besthorpe-Conservation-Area-Appraisal.pdf",area-appraisal,"Extra documents are available. ",local-authority:NEA,,,,44001468
D_223_NEA_CA4_2,223_NEA_CA4,"Besthorpe","https://www.newark-sherwooddc.gov.uk/conservationareas/",https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Besthorpe.pdf,area-map,"Extra documents are available. ",local-authority:NEA,,,,44001468
D_223_NEA_CA5_1,223_NEA_CA5,"Bilsthorpe","https://www.newark-sherwooddc.gov.uk/conservationareas/","No appraisal document",area-appraisal,"",local-authority:NEA,,,,44001445
D_223_NEA_CA5_2,223_NEA_CA5,"Bilsthorpe","https://www.newark-sherwooddc.gov.uk/conservationareas/",https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Bilsthorpe.pdf,area-map,"",local-authority:NEA,,,,44001445
D_223_NEA_CA6_1,223_NEA_CA6,"Bleasby","https://www.newark-sherwooddc.gov.uk/conservationareas/","No appraisal document",area-appraisal,"",local-authority:NEA,,,,44001427
D_223_NEA_CA6_2,223_NEA_CA6,"Bleasby","https://www.newark-sherwooddc.gov.uk/conservationareas/",https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Bleasby.pdf,area-map,"",local-authority:NEA,,,,44001427
D_223_NEA_CA7_1,223_NEA_CA7,"Blidworth","https://www.newark-sherwooddc.gov.uk/conservationareas/","No appraisal document",area-appraisal,"",local-authority:NEA,,,,44001460
D_223_NEA_CA7_2,223_NEA_CA7,"Blidworth","https://www.newark-sherwooddc.gov.uk/conservationareas/",https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Blidworth.pdf,area-map,"",local-authority:NEA,,,,44001460
D_223_NEA_CA8_1,223_NEA_CA8,"Boughton","https://www.newark-sherwooddc.gov.uk/conservationareas/","No appraisal document",area-appraisal,"",local-authority:NEA,,,,44001429
D_223_NEA_CA8_2,223_NEA_CA8,"Boughton","https://www.newark-sherwooddc.gov.uk/conservationareas/",https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Boughton.pdf,area-map,"",local-authority:NEA,,,,44001429
D_223_NEA_CA9_1,223_NEA_CA9,"Bulcote","https://www.newark-sherwooddc.gov.uk/conservationareas/","https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Bulcote-Conservation-Area-Appraisal.pdf",area-appraisal,"Extra documents are available. ",local-authority:NEA,,,,44001439
D_223_NEA_CA9_2,223_NEA_CA9,"Bulcote","https://www.newark-sherwooddc.gov.uk/conservationareas/",https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Bulcote.pdf,area-map,"Extra documents are available. ",local-authority:NEA,,,,44001439
D_223_NEA_CA10_1,223_NEA_CA10,"Carlton on Trent","https://www.newark-sherwooddc.gov.uk/conservationareas/","No appraisal document",area-appraisal,"",local-authority:NEA,,,,44001444
D_223_NEA_CA10_2,223_NEA_CA10,"Carlton on Trent","https://www.newark-sherwooddc.gov.uk/conservationareas/",https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Carlton-on-Trent.pdf,area-map,"",local-authority:NEA,,,,44001444
D_223_NEA_CA11_1,223_NEA_CA11,"Caunton","https://www.newark-sherwooddc.gov.uk/conservationareas/","No appraisal document",area-appraisal,"",local-authority:NEA,,,,44001440
