reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date,ca_entity
D_243_NUN_CA1_1,243_NUN_CA1,"Abbey","https://www.nuneatonandbedworth.gov.uk/downloads/download/110/conservation-area-appraisals-and-management-plans-spds","https://www.nuneatonandbedworth.gov.uk/downloads/file/747/abbey-conservation-area-appraisal-and-management-plan-spd-2021-",area-appraisal,"Extra documents are available. Best Map is shown on page 41 of the appraisal document. ",local-authority:NUN,,,,44000781
D_243_NUN_CA2_1,243_NUN_CA2,"Bedworth","https://www.nuneatonandbedworth.gov.uk/downloads/download/110/conservation-area-appraisals-and-management-plans-spds","https://www.nuneatonandbedworth.gov.uk/downloads/file/749/bedworth-conservation-area-appraisal-and-management-plan-spd-2021-",area-appraisal,"Extra documents are available. Best Map is shown on page 61 of the appraisal document. ",local-authority:NUN,,,,44000782
D_243_NUN_CA3_1,243_NUN_CA3,"Bulkington","https://www.nuneatonandbedworth.gov.uk/downloads/download/110/conservation-area-appraisals-and-management-plans-spds","https://www.nuneatonandbedworth.gov.uk/downloads/file/751/bulkington-conservation-area-appraisal-and-management-plan-spd-2021-",area-appraisal,"Extra documents are available. Best Map is shown on page 8 of the appraisal document. ",local-authority:NUN,,,,44000783
D_243_NUN_CA4_1,243_NUN_CA4,"Hawkesbury","https://www.nuneatonandbedworth.gov.uk/downloads/download/110/conservation-area-appraisals-and-management-plans-spds","https://www.nuneatonandbedworth.gov.uk/downloads/file/753/hawkesbury-conservation-area-appraisal-and-management-plan-spd-2021-",area-appraisal,"Extra documents are available. Best Map is shown on page 7 of the appraisal document. ",local-authority:NUN,,,,44000784
D_243_NUN_CA5_1,243_NUN_CA5,"Nuneaton","https://www.nuneatonandbedworth.gov.uk/downloads/download/110/conservation-area-appraisals-and-management-plans-spds","https://www.nuneatonandbedworth.gov.uk/downloads/file/755/nuneaton-conservation-area-appraisal-and-management-plan-spd-2021-",area-appraisal,"Extra documents are available. Best Map is shown on page 50 of the appraisal document. ",local-authority:NUN,,,,44006092
