reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date,ca_entity
D_131_ERY_CA1_1,131_ERY_CA1,"Adlingfleet","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Adlingfleet%20Conservation%20Area%20Appraisal.pdf",area-appraisal,"Best Map is shown on page 13 of the appraisal document. ",local-authority:ERY,,,,44004757
D_131_ERY_CA2_1,131_ERY_CA2,"Airmyn","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Airmyn%20Conservation%20Area%20Appraisal.pdf",area-appraisal,"Best Map is shown on page 12 of the appraisal document. ",local-authority:ERY,,,,44001278
D_131_ERY_CA3_1,131_ERY_CA3,"Aldbrough","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Aldbrough%20Conservation%20Area%20Appraisal.pdf",area-appraisal,"Best Map is shown on page 12 of the appraisal document. ",local-authority:ERY,,,,44001235
D_131_ERY_CA4_1,131_ERY_CA4,"Allerthorpe","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Allerthorpe%20Conservation%20Area%20Appraisal.pdf",area-appraisal,"Best Map is shown on page 13 of the appraisal document. ",local-authority:ERY,,,,44004751
D_131_ERY_CA5_1,131_ERY_CA5,"Atwick","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Atwick%20Conservation%20Area%20Appraisal.pdf",area-appraisal,"Best Map is shown on page 16 of the appraisal document. ",local-authority:ERY,,,,44001241
D_131_ERY_CA6_1,131_ERY_CA6,"Bainton","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Bainton%20Conservation%20Area%20Appraisal.pdf",area-appraisal,"Best Map is shown on page 12 of the appraisal document. ",local-authority:ERY,,,,44001280
D_131_ERY_CA7_1,131_ERY_CA7,"Barmby Moor","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Barmby%20Moor%20Conservation%20Area%20Appraisal.pdf",area-appraisal,"Best Map is shown on page 14 of the appraisal document. ",local-authority:ERY,,,,44004752
D_131_ERY_CA8_1,131_ERY_CA8,"Bessingby","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Bessingby%20Conservation%20Area%20Appraisal.pdf",area-appraisal,"Best Map is shown on page 12 of the appraisal document. ",local-authority:ERY,,,,44004734
D_131_ERY_CA9_1,131_ERY_CA9,"Beswick","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Beswick%20Conservation%20Area%20Appraisal.pdf",area-appraisal,"Best Map is shown on page 12 of the appraisal document. ",local-authority:ERY,,,,44001271
D_131_ERY_CA10_1,131_ERY_CA10,"Beverley","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Beverley%20-%20Conservation%20Area%20Appraisal%20Introduction.pdf",area-appraisal,"Best Map is shown on page 21 of the appraisal document. ",local-authority:ERY,,,,44005508
D_131_ERY_CA11_1,131_ERY_CA11,"Beverley Grosvenor Place - Conservation Area Appraisal","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Beverley%20Grosvenor%20Place%20-%20Conservation%20Area%20Appraisal.pdf",area-appraisal,"Best Map is shown on page 11 of the appraisal document. ",local-authority:ERY,,,,44005507
D_131_ERY_CA12_1,131_ERY_CA12,"Bewholme","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Bewholme%20Conservation%20Area%20Appraisal.pdf",area-appraisal,"Best Map is shown on page 11 of the appraisal document. ",local-authority:ERY,,,,44001246
D_131_ERY_CA13_1,131_ERY_CA13,"Bishop Burton","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Bishop%20Burton%20Conservation%20Area%20Appraisal.pdf",area-appraisal,"Best Map is shown on page 15 of the appraisal document. ",local-authority:ERY,,,,44004759
D_131_ERY_CA14_1,131_ERY_CA14,"Bishop Wilton","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Bishop%20Wilton%20-%20Conservation%20Area%20Appraisal.pdf",area-appraisal,"Best Map is shown on page 15 of the appraisal document. ",local-authority:ERY,,,,44004748
D_131_ERY_CA15_1,131_ERY_CA15,"Brandesburton","https://www.eastriding.gov.uk/planning-permission-and-building-control/conservation-areas-and-listed-buildings/conservation-areas/conservation-area-appraisals-and-management-plans/","https://downloads.eastriding.org.uk/corporate/planning/conservation-areas/conservation-area-appraisals-and-management-plans/adopted-appraisals/Brandesburton%20Conservation%20Area%20Appraisal.pdf",area-appraisal,"Best Map is shown on page 12 of the appraisal document. ",local-authority:ERY,,,,44001251
