reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date,ca_entity
D_50_BNS_CA12_2,50_BNS_CA12,"Ingbirchworth","https://www.barnsley.gov.uk/services/conservation/conservation-areas/",https://www.barnsley.gov.uk/media/y2wnzfae/ingbirchworth-conservation-area.jpg,area-map,"",local-authority:BNS,,,,44000398
D_50_BNS_CA13_1,50_BNS_CA13,"Langsett","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",area-appraisal,"",local-authority:BNS,,,,44005867
D_50_BNS_CA13_2,50_BNS_CA13,"Langsett","https://www.barnsley.gov.uk/services/conservation/conservation-areas/",https://www.barnsley.gov.uk/media/oe1fkj5n/langsett-conservation-area.jpg,area-map,"",local-authority:BNS,,,,44005867
D_50_BNS_CA14_1,50_BNS_CA14,"Penistone","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",area-appraisal,"",local-authority:BNS,,,,44000403
D_50_BNS_CA14_2,50_BNS_CA14,"Penistone","https://www.barnsley.gov.uk/services/conservation/conservation-areas/",https://www.barnsley.gov.uk/media/mp0jgz2k/penistone-conservation-area.jpg,area-map,"",local-authority:BNS,,,,44000403
D_50_BNS_CA15_1,50_BNS_CA15,"Thurlstone","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",area-appraisal,"",local-authority:BNS,,,,44000401
D_50_BNS_CA15_2,50_BNS_CA15,"Thurlstone","https://www.barnsley.gov.uk/services/conservation/conservation-areas/",https://www.barnsley.gov.uk/media/n2ngrpdj/thurlstone-conservation-area.jpg,area-map,"",local-authority:BNS,,,,44000401
D_50_BNS_CA16_1,50_BNS_CA16,"Wentworth Castle and Stainborough Park","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",area-appraisal,"",local-authority:BNS,,,,44000402
D_50_BNS_CA16_2,50_BNS_CA16,"Wentworth Castle and Stainborough Park","https://www.barnsley.gov.uk/services/conservation/conservation-areas/",https://www.barnsley.gov.uk/media/ilsiqmcq/wentworth-castle-and-stainborough-park-conservation-area.jpg,area-map,"",local-authority:BNS,,,,44000402
D_50_BNS_CA17_1,50_BNS_CA17,"Worsbrough","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",area-appraisal,"",local-authority:BNS,,,,44000400
D_50_BNS_CA17_2,50_BNS_CA17,"Worsbrough","https://www.barnsley.gov.uk/services/conservation/conservation-areas/",https://www.barnsley.gov.uk/media/e1lpgoxr/worsbrough-conservation-area.jpg,area-map,"",local-authority:BNS,,,,44000400
D_50_BNS_CA18_1,50_BNS_CA18,"Wortley","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",area-appraisal,"",local-authority:BNS,,,,44000388
D_50_BNS_CA18_2,50_BNS_CA18,"Wortley","https://www.barnsley.gov.uk/services/conservation/conservation-areas/",https://www.barnsley.gov.uk/media/3g5fdwqa/wortley-conservation-area.jpg,area-map,"",local-authority:BNS,,,,44000388
