reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date,ca_entity
D_43_BEX_CA1_1,43_BEX_CA1,"Brook Street, Northumberland Heath","https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy-and-guidance/conservation-and-heritage","https://www.bexley.gov.uk/sites/default/files/2020-05/Brook-Street-Conservation-Area-Appraisal-and-Management-Plan.pdf",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",local-authority:BEX,,,,44002791
D_43_BEX_CA2_1,43_BEX_CA2,"Christ Church, Sidcup","https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy-and-guidance/conservation-and-heritage","https://www.bexley.gov.uk/sites/default/files/2020-05/Christ-Church-Conservation-Area-Appraisal-and-Management-Plan.pdf",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",local-authority:BEX,,,,44002792
D_43_BEX_CA3_1,43_BEX_CA3,"Crossness, Belvedere","https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy-and-guidance/conservation-and-heritage","https://www.bexley.gov.uk/sites/default/files/2020-05/Crossness-Conservation-Area-Appraisal-and-Management-Plan.pdf",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",local-authority:BEX,,,,44002812
D_43_BEX_CA4_1,43_BEX_CA4,"Erith Riverside, Erith","https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy-and-guidance/conservation-and-heritage","No appraisal document",area-appraisal,"",local-authority:BEX,,,,44002793
D_43_BEX_CA5_1,43_BEX_CA5,"Erith Road, Belvedere","https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy-and-guidance/conservation-and-heritage","https://www.bexley.gov.uk/sites/default/files/2020-05/Erith-Road-Conservation-Area-Appraisal-and-Management-Plan.pdf",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",local-authority:BEX,,,,44002810
D_43_BEX_CA6_1,43_BEX_CA6,"Foots Cray","https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy-and-guidance/conservation-and-heritage","https://www.bexley.gov.uk/sites/default/files/2020-05/Foots-Cray-Conservation-Area-Appraisal-and-Management-Plan.pdf",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",local-authority:BEX,,,,44002794
D_43_BEX_CA7_1,43_BEX_CA7,"The Green, Sidcup","https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy-and-guidance/conservation-and-heritage","https://www.bexley.gov.uk/sites/default/files/2020-05/The-Green-Conservation-Area-Appraisal-and-Management-Plan.pdf",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",local-authority:BEX,,,,44008960
D_43_BEX_CA8_1,43_BEX_CA8,"Halfway Street, Sidcup","https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy-and-guidance/conservation-and-heritage","https://www.bexley.gov.uk/sites/default/files/2020-05/Halfway-Street-Conservation-Area-Appraisal-and-Management-Plan.pdf",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",local-authority:BEX,,,,44002795
D_43_BEX_CA9_1,43_BEX_CA9,"High Beeches, North Cray","https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy-and-guidance/conservation-and-heritage","https://www.bexley.gov.uk/sites/default/files/2020-05/High-Beeches-Conservation-Area-Appraisal-and-Management-Plan.pdf",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",local-authority:BEX,,,,44002811
D_43_BEX_CA10_1,43_BEX_CA10,"The Hollies, Sidcup","https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy-and-guidance/conservation-and-heritage","https://www.bexley.gov.uk/sites/default/files/2021-01/The-Hollies-Area-Appraisal-and-Management-Plan.pdf",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",local-authority:BEX,,,,44006530
D_43_BEX_CA11_1,43_BEX_CA11,"Iron Mill Lane, Crayford","https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy-and-guidance/conservation-and-heritage","https://www.bexley.gov.uk/sites/default/files/2020-05/Iron-Mill-Lane-Conservation-Area-Appraisal-Management-Plan.pdf",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",local-authority:BEX,,,,44002796
D_43_BEX_CA12_1,43_BEX_CA12,"Lesney Park Road, Erith","https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy-and-guidance/conservation-and-heritage","https://www.bexley.gov.uk/sites/default/files/2020-05/Lesney-Park-Road-Conservation-Area-Appraisal-and-Management-Plan.pdf",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",local-authority:BEX,,,,44002797
D_43_BEX_CA13_1,43_BEX_CA13,"Longlands Road, Sidcup","https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy-and-guidance/conservation-and-heritage","https://www.bexley.gov.uk/sites/default/files/2020-05/Longlands-Road-Conservation-Area-Appraisal-and-Management-Plan.pdf",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",local-authority:BEX,,,,44002798
D_43_BEX_CA14_1,43_BEX_CA14,"North Cray Village, North Cray","https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy-and-guidance/conservation-and-heritage","https://www.bexley.gov.uk/sites/default/files/2020-05/North-Cray-village-Conservation-Area-Appraisal-and-Management-Plan.pdf",area-appraisal,"Best Map is shown on page 2 of the appraisal document. ",local-authority:BEX,,,,44008761
