reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date,ca_entity
265_RIB_CA1,"Bolton-by-Bowland",,"https://www.ribblevalley.gov.uk/downloads/file/41/bolton-by-bowland-conservation-area-appraisal","https://www.ribblevalley.gov.uk/downloads/download/13/bolton-by-bowland-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004055
265_RIB_CA2,"Chatburn",,"https://www.ribblevalley.gov.uk/downloads/file/44/chatburn-conservation-areas-apprasial","https://www.ribblevalley.gov.uk/downloads/download/14/chatburn-conservation-areas",,,"Extra documents are available. ",local-authority:RIB,,,,44004049
265_RIB_CA3,"Chipping",,"https://www.ribblevalley.gov.uk/downloads/file/47/chipping-conservation-area-management-guidance","https://www.ribblevalley.gov.uk/downloads/download/15/chipping-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004043
265_RIB_CA4,"Clitheroe",,"https://www.ribblevalley.gov.uk/downloads/file/48/clitheroe-conservation-area-map","https://www.ribblevalley.gov.uk/downloads/download/16/clitheroe-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004048
265_RIB_CA5,"Downham",,"https://www.ribblevalley.gov.uk/downloads/file/54/downham-conservation-area-appraisal","https://www.ribblevalley.gov.uk/downloads/download/17/downham-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004057
265_RIB_CA6,"Gisburn",,"https://www.ribblevalley.gov.uk/downloads/file/66/gisburn-conservation-area-appraisal","https://www.ribblevalley.gov.uk/downloads/download/21/gisburn-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004044
265_RIB_CA7,"Grindleton",,"https://www.ribblevalley.gov.uk/downloads/file/60/grindleton-conservation-area-appraisal","https://www.ribblevalley.gov.uk/downloads/download/19/grindleton-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004051
265_RIB_CA8,"Hurst Green",,"https://www.ribblevalley.gov.uk/downloads/file/68/hurst-green-conservation-area-appraisal","https://www.ribblevalley.gov.uk/downloads/download/22/hurst-green-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004058
265_RIB_CA9,"Longridge",,"https://www.ribblevalley.gov.uk/downloads/file/72/longridge-conservation-area-appraisal","https://www.ribblevalley.gov.uk/downloads/download/23/longridge-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004050
265_RIB_CA10,"St Lawrence's Church (Longridge)",,"No appraisal document","https://www.ribblevalley.gov.uk/conservation-listed-buildings/conservation-areas",,,"",local-authority:RIB,,,,44004059
265_RIB_CA11,"Newtown (Longridge)",,"No appraisal document","https://www.ribblevalley.gov.uk/conservation-listed-buildings/conservation-areas",,,"",local-authority:RIB,,,,44004060
265_RIB_CA12,"Newton",,"https://www.ribblevalley.gov.uk/downloads/file/77/newton-conservation-area-apprasial","https://www.ribblevalley.gov.uk/downloads/download/26/newton-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004046
265_RIB_CA13,"Pendleton",,"https://www.ribblevalley.gov.uk/downloads/file/80/pendleton-conservation-area-appraisal","https://www.ribblevalley.gov.uk/downloads/download/27/pendleton-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004052
265_RIB_CA14,"Ribchester",,"https://www.ribblevalley.gov.uk/downloads/file/83/ribchester-conservation-area-appraisal","https://www.ribblevalley.gov.uk/downloads/download/28/ribchester-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004054
265_RIB_CA15,"Sabden",,"https://www.ribblevalley.gov.uk/downloads/file/86/sabden-conservation-area-appraisal","https://www.ribblevalley.gov.uk/downloads/download/29/sabden-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004062
265_RIB_CA16,"Sawley",,"https://www.ribblevalley.gov.uk/downloads/file/89/sawley-conservation-area-appraisal","https://www.ribblevalley.gov.uk/downloads/download/30/sawley-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004053
265_RIB_CA17,"Slaidburn",,"https://www.ribblevalley.gov.uk/downloads/file/94/slaidburn-conservation-area-appraisal","https://www.ribblevalley.gov.uk/downloads/download/31/slaidburn-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004056
265_RIB_CA18,"Waddington",,"https://www.ribblevalley.gov.uk/downloads/file/95/waddington-conservation-area-appraisal","https://www.ribblevalley.gov.uk/downloads/download/32/waddington-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004045
265_RIB_CA19,"Whalley",,"https://www.ribblevalley.gov.uk/downloads/file/99/whalley-conservation-area-appraisal","https://www.ribblevalley.gov.uk/downloads/download/33/whalley-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004047
265_RIB_CA20,"Wiswell",,"https://www.ribblevalley.gov.uk/downloads/file/103/wiswell-conservation-area-appraisal","https://www.ribblevalley.gov.uk/downloads/download/34/wiswell-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004042
265_RIB_CA21,"Worston",,"https://www.ribblevalley.gov.uk/downloads/file/106/worston-conservation-area-appraisal","https://www.ribblevalley.gov.uk/downloads/download/35/worston-conservation-area",,,"Extra documents are available. ",local-authority:RIB,,,,44004061
265_RIB_CA22,"Kirk Mill",,"No appraisal document","https://www.ribblevalley.gov.uk/downloads/download/36/kirk-mill-conservation-area",,,"",local-authority:RIB,,,,44004063
