reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date,ca_entity
D_38_BAS_CA1_1,38_BAS_CA1,"Chew Magna","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals","https://beta.bathnes.gov.uk/sites/default/files/2020-01/chew_magna_caa.pdf",area-appraisal,"Best Map is shown on page 8,9 of the appraisal document. ",local-authority:BAS,,,,44000210
D_38_BAS_CA2_1,38_BAS_CA2,"Claverton","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals","https://beta.bathnes.gov.uk/sites/default/files/2020-01/claverton_ca.pdf",area-appraisal,"Best Map is shown on page 8,9 of the appraisal document. ",local-authority:BAS,,,,44000220
D_38_BAS_CA3_1,38_BAS_CA3,"Combe Hay","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals","https://beta.bathnes.gov.uk/sites/default/files/2020-01/combe_hay_appraisal_st3_v6.pdf",area-appraisal,"Best Map is shown on page 8,9 of the appraisal document. ",local-authority:BAS,,,,44000212
D_38_BAS_CA4_1,38_BAS_CA4,"Freshford and Sharpstone","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals","https://beta.bathnes.gov.uk/sites/default/files/2020-01/freshford_and_sharpstone_ca.pdf",area-appraisal,"Best Map is shown on page 9 of the appraisal document. ",local-authority:BAS,,,,44000221
D_38_BAS_CA5_1,38_BAS_CA5,"Hinton Blewett","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals","https://beta.bathnes.gov.uk/sites/default/files/hinton_blewett_stage2_v5.pdf",area-appraisal,"Best Map is shown on page 8,9 of the appraisal document. ",local-authority:BAS,,,,44000216
D_38_BAS_CA6_1,38_BAS_CA6,"Keynsham","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals","https://beta.bathnes.gov.uk/sites/default/files/2020-01/Keynsham%20Conservation%20Area%20Appraisal%20-%20Parts%201%2C%202%2C%203%204%20and%205%20optimised%20more.pdf",area-appraisal,"Best Map is shown on page 6 of the appraisal document. ",local-authority:BAS,,,,44006553
D_38_BAS_CA7_1,38_BAS_CA7,"Midsomer Norton and Welton","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals","https://beta.bathnes.gov.uk/sites/default/files/2020-01/midsomer_norton_caca_and_management_plan_jan_2019.pdf",area-appraisal,"",local-authority:BAS,,,,44006775
D_38_BAS_CA7_2,38_BAS_CA7,"Midsomer Norton and Welton","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals",https://beta.bathnes.gov.uk/sites/default/files/2020-01/msn_characterappraisalmaps_nov2018.pdf,area-map,"",local-authority:BAS,,,,44006775
D_38_BAS_CA8_1,38_BAS_CA8,"Paulton","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals","https://beta.bathnes.gov.uk/sites/default/files/2020-01/paulton_caa.pdf",area-appraisal,"Best Map is shown on page 10,11 of the appraisal document. ",local-authority:BAS,,,,44000218
